line	pos	sign	conf	value	grade
Carta 101	17	14		n	C
Carta 101	18	3		t	C
Carta 101	19	52		r	C
Carta 101	20	19		e	C
Carta 101	21	55		p	C
Carta 101	22	15		o	C
Carta 101	23	12		r	C
Carta 101	24	3		t	C
Carta 101	25	17		a	C
Carta 101	26	2		d	M
Carta 101	27	23		a	C
Carta 101	28	10		h	C
Carta 101	29	9		?	U
Carta 105	1	4		s	C
Carta 105	2	7		e	C
Carta 105	3	55		p	C
Carta 105	4	15		o	C
Carta 105	5	12		r	C
Carta 105	6	2		d	M
Carta 105	7	7		e	C
Carta 105	8	21		b	C
Carta 105	9	15		o	C
Carta 105	10	6		c	C
Carta 105	11	10		h	C
Carta 105	12	7		e	C
Carta 105	13	5		c	C
Carta 105	14	15		o	C
Carta 105	15	14		n	C
Carta 105	16	10		h	C
Carta 105	17	7		e	C
Carta 105	18	6		c	C
Carta 105	19	8		i	C
Carta 105	20	2		d	M
Carta 105	21	15		o	C
Carta 105	22	55		p	C
Carta 105	23	15		o	C
Carta 105	24	12		r	C
Carta 105	25	10		h	C
Carta 105	26	26		u	M
Carta 105	27	58		m	M
Carta 105	28	55		p	C
Carta 105	29	15		o	C
Carta 105	30	21		b	C
Carta 105	31	12		r	C
Carta 105	32	7		e	C
Carta 105	33	3		t	C
Carta 105	34	y		a	C
Carta 105	35	20		l	C
Carta 105	36	7		e	C
Carta 105	37	m		n	C
Carta 105	38	3		t	C
Carta 105	39	15		o	C
Passage 2a	1	19		e	C
Passage 2a	2	18		m	C
Passage 2a	3	13		q	C
Passage 2a	4	26		u	M
Passage 2a	5	7		e	C
Passage 2a	6	4		s	C
Passage 2a	7	15		o	C
Passage 2a	8	7		e	C
Passage 2a	9	m		n	C
Passage 2a	10	3		t	C
Passage 2a	11	12		r	C
Passage 2a	12	15		o	C
Passage 2a	13	26		u	M
Passage 2a	14	15		o	C
Passage 2a	15	55		p	C
Passage 2a	16	12		r	C
Passage 2a	17	8		i	C
Passage 2a	18	14		n	C
Passage 2a	19	6		c	C
Passage 2a	20	8		i	C
