line	pos	sign	conf	value	grade
Passage 3a	1	14		n	C
Passage 3a	2	17		a	C
Passage 3a	3	18		m	C
Passage 3a	4	21		b	C
Passage 3a	5	17		a	C
Passage 3a	6	4		s	C
Passage 3a	7	3		t	C
Passage 3a	8	23		a	C
Passage 3a	9	19		e	C
Passage 3a	10	4		s	C
Passage 3a	11	3		t	C
Passage 3a	12	24		h	M
Passage 3a	13	26		u	M
Passage 3a	14	19		e	C
Passage 3a	15	20		l	C
Passage 3a	16	10		h	C
Passage 3a	17	y		a	C
Passage 3a	18	5		c	C
Passage 3a	19	15		o	C
Passage 4a	1	8		i	C
Passage 4a	2	14		n	C
Passage 4a	3	c		u	M
Passage 4a	4	20		l	C
Passage 4a	5	19		e	C
Passage 4a	6	24		h	M
Passage 4a	7	4		s	C
