leaf	entry_label	position	token	token_type
m0280	Carta 13	1	7	num
m0280	Carta 13	2	4	num
m0280	Carta 13	3	a	ltr
m0280	Carta 13	4	z	ltr
m0280	Carta 13	5	4	num
m0280	Carta 13	6	18	num
m0280	Carta 13	7	m	ltr
m0280	Carta 13	8	8	num
m0280	Carta 13	9	4	num
m0280	Carta 13	10	a	ltr
m0280	Carta 13	11	52	num
m0280	Carta 13	12	15	num
m0280	Carta 13	13	4	num
m0280	Carta 13	14	z	ltr
m0280	Carta 13	15	4	num
m0280	Carta 13	16	a	ltr
m0280	Carta 13	17	y	ltr
m0280	Carta 13	18	18	num
m0280	Carta 13	19	13	num
m0280	Carta 13	20	c	ltr
m0280	Carta 13	21	z	ltr
m0280	Carta 13	22	18	num
m0280	Carta 13	23	15	num
m0280	Carta 13	24	4	num
m0280	Carta 13	25	5	num
m0280	Carta 13	26	15	num
m0280	Carta 13	27	m	ltr
m0280	Carta 13	28	c	ltr
m0280	Carta 13	29	z	ltr
m0280	Carta 13	30	m	ltr
m0280	Carta 13	31	5	num
m0280	Carta 13	32	z	ltr
m0280	Carta 13	33	18	num
m0280	Carta 13	34	y	ltr
m0280	Carta 13	35	8	num
m0280	Carta 13	36	4	num
m0280	Carta 13	37	15	num
m0280	Carta 13	38	4	num
m0280	Carta 13	39	55	num
m0280	Carta 13	40	z	ltr
m0280	Carta 13	41	5	num
m0280	Carta 13	42	2	num
m0280	Carta 13	43	z	ltr
m0280	Carta 13	44	10	num
m0280	Carta 13	45	z	ltr
m0280	Carta 13	46	4	num
m0280	Carta 13	47	z	ltr
m0280	Carta 13	48	18	num
m0280	Carta 13	49	4?	num
m0280	Carta 13	50	8	num
m0280	Carta 13	51	18	num
m0280	Carta 13	52	8	num
m0280	Carta 13	53	8	num
m0280	Carta 13	54	a	ltr
m0280	Carta 13	55	z	ltr
m0280	Carta 13	56	z	ltr
m0280	Carta 13	57	8	num
m0280	Carta 13	58	300	num
m0280	Carta 13	59	a	ltr
