line	pos	sign	value	grade
5200p1L06	1	s:flourish	?	U
5200p1L06	3	25	NULL	H
5200p1L06	4	31	NULL	H
5200p1L06	5	74	NULL	H
5200p1L06	6	17	NULL	H
5200p1L06	7	20	NULL	H
5200p1L06	8	25	NULL	H
5200p1L06	9	40	NULL	H
5200p1L06	10	51	r	H
5200p1L06	11	15	e	H
5200p1L06	12	s:n	?	U
5200p1L06	13	11	NULL	H
5200p1L06	14	12	d	H
5200p1L06	15	28	NULL	H
5200p1L06	16	27	i	H
5200p1L06	17	57	t	H
5200p1L06	18	s:i	?	U
5200p1L06	19	40	NULL	H
5200p1L06	20	s:q	?	U
5200p1L06	21	39	n	H
5200p1L07	1	25	NULL	H
5200p1L07	2	31	NULL	H
5200p1L07	3	12	d	H
5200p1L07	4	13	NULL	H
5200p1L07	5	14	NULL	H
5200p1L07	6	15	e	H
5200p1L07	7	16	NULL	H
5200p1L07	8	35	NULL	H
5200p1L07	9	36	m	H
5200p1L07	10	42	o	H
5200p1L07	11	39	n	H
5200p1L07	12	57	t	H
5200p1L07	13	54	s	H
5200p1L07	14	53	NULL	H
5200p1L07	15	25	NULL	H
5200p1L07	16	17	NULL	H
5200p1L07	18	20	NULL	H
5200p1L07	19	25	NULL	H
5200p1L07	20	40	NULL	H
5200p1L07	21	17	NULL	M
5200p1L08	1	9	c	H
5200p1L08	2	3	a	H
5200p1L08	3	54	s	H
5200p1L08	4	53	NULL	H
5200p1L08	5	40	NULL	H
5200p1L08	6	50	NULL	H
5200p1L08	7	s:f	?	U
5200p1L08	8	3	a	H
5200p1L08	9	57	t	H
5200p1L08	10	27	i	H
5200p1L08	11	42	o	H
5200p1L08	12	39	n	H
5200p1L08	13	25	NULL	H
5200p1L08	14	12	d	H
5200p1L08	15	14	NULL	H
5200p1L08	16	15	e	H
5200p1L08	17	17	NULL	H
5200p1L08	18	25	NULL	H
5200p1L08	19	36	m	H
5200p1L08	20	15	e	H
5200p1L08	21	54	s	H
5200p1L08	22	51	r	H
5200p1L08	23	15	e	H
5200p1L08	24	27	i	H
5200p1L09	1	57	t	H
