code	value	grade	source	note
3	a	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
6	b	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
9	c	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
12	d	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
15	e	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
18	f	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
21	g	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
24	h	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
27	i	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	table: i.j
30	k	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
33	l	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
36	m	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
39	n	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
42	o	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
45	p	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
48	q	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
51	r	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
54	s	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
57	t	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
60	u	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	table: u.v
66	x	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	table: w.x
69	y	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
72	z	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	
63	?	U	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	table column heading printed as '....' (no letter)
1	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
2	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
4	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
5	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
7	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
8	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
10	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
11	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
13	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
14	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
16	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
17	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
19	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
20	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
22	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
23	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
25	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
26	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
28	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
29	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
31	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
32	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
34	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
35	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
37	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
38	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
40	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
41	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
43	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
44	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
46	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
47	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
49	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
50	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
52	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
53	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
55	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
56	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
58	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
59	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
61	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
62	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
64	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
65	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
67	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
68	NULL	H	printed table, Algemeene Konst- en Letterbode reprint, 5198 PDF p8 (p.19)	'de overige cijfers zijn zoogenaamde non-valeurs'
