line	position	sign	confidence	alt	why
hstam_4_h_1411_0012_L44_s1	1	47	H		agree
hstam_4_h_1411_0012_L44_s1	2	O	H		agree
hstam_4_h_1411_0012_L44_s1	3	60	H		agree
hstam_4_h_1411_0012_L44_s1	4	93	H		agree
hstam_4_h_1411_0012_L44_s1	5	54	H		agree
hstam_4_h_1411_0012_L44_s1	6	61	H		agree
hstam_4_h_1411_0012_L44_s1	7	7	H		agree
hstam_4_h_1411_0012_L44_s1	8	97	H		agree
hstam_4_h_1411_0012_L44_s1	9	95	H		agree
hstam_4_h_1411_0012_L44_s1	10	10	M	B:20	differ
hstam_4_h_1411_0012_L44_s1	11	16	H		agree
hstam_4_h_1411_0012_L44_s1	12	63	H		agree
hstam_4_h_1411_0012_L44_s1	13	18	M	B:28	differ
hstam_4_h_1411_0012_L44_s1	14	61	H		agree
hstam_4_h_1411_0012_L44_s1	15	83	H		agree
hstam_4_h_1411_0012_L44_s1	16	129	H		agree
hstam_4_h_1411_0012_L44_s1	17	76	H		agree
hstam_4_h_1411_0012_L44_s1	18	G	H		agree
hstam_4_h_1411_0012_L44_s1	19	42	H		agree
hstam_4_h_1411_0012_L44_s1	20	51	H		agree
hstam_4_h_1411_0012_L44_s1	21	35	H		agree
hstam_4_h_1411_0012_L44_s1	22	22	H		agree
hstam_4_h_1411_0012_L44_s1	23	11	H		agree
hstam_4_h_1411_0012_L44_s1	24	29	H		agree
hstam_4_h_1411_0012_L44_s1	25	58	H		agree
hstam_4_h_1411_0012_L44_s1	26	89	H		agree
hstam_4_h_1411_0012_L44_s1	27	31	H		agree
hstam_4_h_1411_0012_L44_s1	28	91	H		agree
hstam_4_h_1411_0012_L44_s1	29	35	H		agree
hstam_4_h_1411_0012_L44_s1	30	42	H		agree
hstam_4_h_1411_0012_L44_s1	31	49	H		agree
hstam_4_h_1411_0012_L44_s1	32	63	H		agree
hstam_4_h_1411_0012_L45_s1	1	63	H		agree
hstam_4_h_1411_0012_L45_s1	2	58	H		agree
hstam_4_h_1411_0012_L45_s1	3	22	H		agree
hstam_4_h_1411_0012_L45_s1	4	56	H		agree
hstam_4_h_1411_0012_L45_s1	5	84	H		agree
hstam_4_h_1411_0012_L45_s1	6	85	M	B:35	differ
hstam_4_h_1411_0012_L45_s1	7	55	H		agree
hstam_4_h_1411_0012_L45_s1	8	10	H		agree
hstam_4_h_1411_0012_L45_s1	9	48	H		agree
hstam_4_h_1411_0012_L45_s1	10	97	H		agree
hstam_4_h_1411_0012_L45_s1	11	46	H		agree
hstam_4_h_1411_0012_L45_s1	12	61	H		agree
hstam_4_h_1411_0012_L45_s1	13	42	H		agree
hstam_4_h_1411_0012_L45_s1	14	97	H		agree
hstam_4_h_1411_0012_L45_s1	15	35	H		agree
hstam_4_h_1411_0012_L45_s1	16	42	H		agree
hstam_4_h_1411_0012_L45_s1	17	69	H		agree
hstam_4_h_1411_0012_L45_s1	18	7	H		agree
hstam_4_h_1411_0012_L45_s1	19	61	H		agree
hstam_4_h_1411_0012_L45_s1	20	63	H		agree
hstam_4_h_1411_0012_L45_s1	21	92	H		agree
hstam_4_h_1411_0012_L45_s1	22	45	H		agree
hstam_4_h_1411_0012_L45_s1	23	83	H		agree
