code	gloss	grade
23	a	M
24	b	M
25	c	M
26	d	H
27	e	M
28	f	M
29	g	H
30	h	M
31	i	H
32	k	M
33	e or l or s	M
34	m	M
35	n	M
36	o	H
37	p	M
38	q	M
39	r	H
40	s	H
41	t	H
42	u	H
43	w	H
44	x	H
45	y	H
46	z	M
47	a	M
48	b	H
49	c	H
50	d	H
51	e	M
52	f	M
53	g	M
54	h	H
55	i	M
56	k	M
57	l	H
58	m	H
59	n	H
60	o	H
61	p	M
62	q	M
63	r	H
64	s	H
65	t	H
66	u	M
67	w	M
68	x	M
69	y	M
70	z	M
76	a	H
79	ad	H
83	am	H
84	and	H
86	ar	H
88	at	H
112	affair	H
113	against	H
118	ambition	H
127	assure	H
128	away	H
133	b	H
134	ba	H
135	be	H
136	bi	M
137	bo	M
138	bu	H
143	believe	H
146	Bishop	H
157	before	H
158	c	H
160	ie or ca	M
161	ce	H
162	co	H
204	d	H
205	da	M
206	de	H
207	di	H
208	do	H
229	Duke	H
237	e	H
240	ed	H
245	en	H
265	enemie	H
267	Essex	H
278	fa	H
279	be or fe	M
280	fi	H
301	friend	H
311	g	H
312	ga	M
313	ge	H
314	gi	H
315	go	H
330	great	H
336	h	H
337	ha	H
338	he	H
374	i	H
376	im	H
377	in	H
379	is	H
382	ill	H
414	ke	H
425	knave	H
431	l	H
433	l or le	M
434	li	M
435	lo	H
462	London	H
466	me	H
467	mi	M
468	mo	H
469	mu	H
489	M Duke	H
501	more	H
506	n	H
508	wwy or ne	M
510	no	H
519	not	H
543	o	H
547	of	H
551	on	H
566	Dor or or	M
568	out	H
581	pa	H
582	pe	H
585	per	H
588	pre	H
590	per	M
598	part	H
599	pass	H
634	r	H
636	re	H
655	resolve	H
678	s	H
679	sa	H
680	se	H
718	sea	H
721	t	H
722	ta	H
723	te	M
724	ti	M
725	to	H
734	the	H
735	this	H
736	that	H
767	u	H
769	ve	H
770	vi	H
786	Palmt	H
799	w	H
808	will	H
810	world	H
827	with	H
830	when	H
836	which	H
839	D York	H
841	you	H
878	ten	H
920	Barlington	H
1039	Portsmouth	H
1054	Radnor	H
1063	Sunderland	H
