pos	sign
0	s16
1	s4
2	s17
3	s12
4	s1
5	s26
6	s1
7	s7
8	s12
9	s7
10	s16
11	s20
12	s17
13	s8
14	s12
15	s2
16	s24
17	s5
18	s13
19	s21
20	s7
21	s11
22	s13
23	s16
24	s8
25	s13
26	s3
27	s20
28	s19
29	s8
30	s22
31	s27
32	s4
33	s22
34	s8
35	s13
36	s9
37	s4
38	s21
39	s3
40	s23
41	s0
42	s10
43	s3
44	s15
45	s22
46	s5
47	s10
48	s4
49	s24
50	s0
51	s16
52	s8
53	s13
54	s28
55	s7
56	s18
57	s26
58	s6
59	s19
60	s7
61	s21
62	s4
63	s6
64	s18
65	s2
66	s12
67	s5
68	s17
69	s4
70	s5
71	s9
72	s10
73	s2
74	s23
75	s5
76	s10
77	s22
78	s8
79	s13
80	s0
81	s21
82	s6
83	s10
84	s10
85	s4
86	s19
87	s6
88	s13
89	s20
90	s4
91	s11
92	s0
93	s18
94	s19
95	s12
96	s11
97	s7
98	s15
99	s19
100	s18
101	s3
102	s6
103	s23
104	s4
105	s14
106	s22
107	s27
108	s3
109	s2
110	s13
111	s21
112	s6
113	s18
114	s13
115	s8
116	s3
117	s22
118	s8
119	s13
120	s9
121	s6
122	s23
123	s8
124	s22
125	s22
126	s6
127	s21
128	s4
129	s9
130	s9
131	s5
132	s16
133	s12
134	s0
135	s15
136	s22
137	s4
138	s17
139	s5
140	s19
141	s5
142	s15
143	s4
144	s18
145	s11
146	s0
147	s19
148	s11
149	s12
150	s1
151	s23
152	s5
153	s15
154	s22
155	s0
156	s7
157	s29
158	s12
159	s4
160	s10
161	s10
162	s3
163	s21
164	s1
165	s11
166	s0
167	s13
168	s4
169	s24
170	s5
171	s13
172	s1
173	s21
174	s0
175	s28
176	s7
177	s15
178	s15
179	s5
180	s24
181	s23
182	s17
183	s8
184	s14
185	s4
186	s6
187	s9
188	s10
189	s2
190	s12
191	s1
192	s10
193	s1
194	s21
195	s1
196	s24
197	s6
198	s25
199	s25
200	s2
201	s7
202	s24
203	s21
204	s30
205	s10
206	s21
207	s1
208	s11
209	s8
210	s16
211	s20
212	s18
213	s6
214	s15
215	s1
216	s25
217	s13
218	s7
219	s18
220	s0
221	s6
222	s15
223	s4
224	s18
225	s11
226	s1
227	s19
228	s8
229	s18
230	s4
231	s23
232	s6
233	s23
234	s19
235	s7
236	s10
237	s5
238	s24
239	s1
240	s8
241	s3
242	s25
243	s14
