plain_line	plain_raw	cipher_line	cipher_raw
67:1	promissiones	67:1	49 46 41 ereti 25 23 13 50 46 21 21 46 13 nos,
67:2	aula defuncto	67:2	quas ab illa 17 12 49 17 43 14 40 12 51 42
67:3	Principi	67:3	25 23 46 51 42 46 25 46 adducebant, et —
67:4	hinc	67:4	44 46 51 42 ducebant, quod nunc propter
67:5	delationes	67:5	illorum iniquas 43 14 49 17 20 46 13 nos,
67:6	falsa comperta	67:6	plura 40 17 49 21 17 sunt 42 13 50 25 er:
67:7		67:7	20 17. profecto quddam ad risum move=
67:8		67:8	vent, quddam admirationem causarent,
67:9		67:9	quddam vero, pro pudore, silentio obvol=
67:10		67:10	vi deberent. Deus instissimus secun=
67:11		67:11	dum opera et conscientiam illorum, de
67:12	vindictam sumat	67:12	12 46 51 43 46 42 20 17 50, 21 12=
67:13		67:13	50 17 20.
67:14	Pergenbeio	67:14	De 41 14 41 14 51 29 46 13 fiat, quo per
67:15		67:15	fraudes unius sui falsi Amici, ab ali=
67:16	occisus	67:16	quo iam tempore 13 42 42 46 21 12 21.
67:17	caput Honorarie	67:17	eiusq' 42 17 25 12 20, in rem 44 13 51 13=
67:18		67:18	20 17 23 46 46 missum. Sed istius 41 14=
67:19	Pergenbeii Sityk	67:19	41 14 n? 29 14 46 46 Socius, nomine 41 46=
67:20	oriente	67:20	20 y 48, plus quam ille de facto, in 13 23 46=
67:21	operatur	67:21	en 20 14, 13 25 e? 23 a? 20 17 23.
