# tools/print_check.py, 25 Sep 2026. A search result, not a novelty verdict (CLAUDE.md rule 10).
phrase	source	result	detail	url
Coningh van Denemarcken uyt Londen heeft geschreven	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22Coningh%20van%20Denemarcken%20uyt%20Londen%20heeft%20geschreven%22&country=US&maxResults=10
Rijcxhoffmeester	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22Rijcxhoffmeester%22
geobtineert op sijn versoeck	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22geobtineert%20op%20sijn%20versoeck%22
onopgelost cijfer van een andere hand	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22onopgelost%20cijfer%20van%20een%20andere%20hand%22
Vereenichde Nederlanden te discrediteren	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22Vereenichde%20Nederlanden%20te%20discrediteren%22
prompte realiteyten is hier het credijt	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22prompte%20realiteyten%20is%20hier%20het%20credijt%22
Coningh van Denemarcken uyt Londen heeft geschreven	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22Coningh%20van%20Denemarcken%20uyt%20Londen%20heeft%20geschreven%22
(keywords) Karl de Leeuw cryptology Dutch Republic Van Beuningen De Witt	openalex	no hits		https://api.openalex.org/works?per-page=5&search=Karl%20de%20Leeuw%20cryptology%20Dutch%20Republic%20Van%20Beuningen%20De%20Witt
(keywords) Postma Johan de Witt Coenraad van Beuningen correspondentie Noordse oorlog	openalex	no hits		https://api.openalex.org/works?per-page=5&search=Postma%20Johan%20de%20Witt%20Coenraad%20van%20Beuningen%20correspondentie%20Noordse%20oorlog
Rijcxhoffmeester	s2	no hits		https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22Rijcxhoffmeester%22
geobtineert op sijn versoeck	s2	no hits		https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22geobtineert%20op%20sijn%20versoeck%22
onopgelost cijfer van een andere hand	s2	2990 paper(s)	Feiten en cijfers gezelschapsdieren : verkenning haalbaarhei (2025) 10.31715/2025.6; Ouderen in de dienst, een andere manier van werken?! (2017) 10.1007/s12414-017-0224-z; De werkhouding bevorderen aan de hand van een growth mindset (2017) 667903b8eb0d733b7d1fdc6b9b2e7a022238ca47; Een andere rol (2019) 10.1007/s12479-019-0041-4; Misverstanden over trauma:  een illustratie aan de hand van  (2020) 10.5553/proces/016500762020099001006	https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22onopgelost%20cijfer%20van%20een%20andere%20hand%22
Vereenichde Nederlanden te discrediteren	s2	1 paper(s)	Abschied des Autoris, den er zu Batavia Erhalten (None) 10.1007/978-94-015-0837-7_1	https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22Vereenichde%20Nederlanden%20te%20discrediteren%22
prompte realiteyten is hier het credijt	s2	no hits		https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22prompte%20realiteyten%20is%20hier%20het%20credijt%22
Coningh van Denemarcken uyt Londen heeft geschreven	s2	no hits		https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22Coningh%20van%20Denemarcken%20uyt%20Londen%20heeft%20geschreven%22
(keywords) Karl de Leeuw cryptology Dutch Republic Van Beuningen De Witt	s2	1 paper(s)	Cryptology and statecraft in the Dutch Republic (2000) e7dc5bfe7f16cb2cb0b73eb6f1d84049e3771e4b	https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=Karl%20de%20Leeuw%20cryptology%20Dutch%20Republic%20Van%20Beuningen%20De%20Witt
(keywords) Postma Johan de Witt Coenraad van Beuningen correspondentie Noordse oorlog	s2	not searched (blocked: HTTP 429 on https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=Postma%20Johan%20de%20Witt%20Coenraad%20van%20Beuningen%20correspondentie%20Noordse%20oorlog)		https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=Postma%20Johan%20de%20Witt%20Coenraad%20van%20Beuningen%20correspondentie%20Noordse%20oorlog
(keywords) Karl de Leeuw cryptology Dutch Republic Van Beuningen De Witt	crossref	10288996 record(s), top 5 by relevance	Cryptology in the Dutch Republic 10.1016/b978-044451608-4/50013-4; Missive van den Heer de Lionne, aen den Heer Coenraed van Be 10.1163/2214-8264_dutchpamphlets-kb1-kb11079; Missive van de heer C. van Beuningen [...] aengaende de defe 10.1163/2214-8264_dutchpamphlets-kb1-kb10846; K.M.M. de Leeuw, Cryptology and statecraft in the Dutch Repu 10.18352/bmgn-lchr.5629; De substantie van 'tgene de heere Conradus van Beuningen [.. 10.1163/2214-8264_dutchpamphlets-kb1-kb10552	https://api.crossref.org/works?rows=5&query.bibliographic=Karl%20de%20Leeuw%20cryptology%20Dutch%20Republic%20Van%20Beuningen%20De%20Witt
(keywords) Postma Johan de Witt Coenraad van Beuningen correspondentie Noordse oorlog	crossref	432603 record(s), top 5 by relevance	Bericht van de heer raedt-pensionnaris Johan de Witt, noopen 10.1163/2214-8264_dutchpamphlets-kb1-kb11913; Bericht van de heer raedt-pensionnaris Johan de Witt, noopen 10.1163/2214-8264_dutchpamphlets-kb1-kb11914; Bericht van de heer raedt-pensionnaris Johan de Witt, noopen 10.1163/2214-8264_dutchpamphlets-kb1-kb11912; Vertrouwlyke correspondentie, of Verzameling van brieven [.. 10.1163/2214-8264_dutchpamphlets-kb2-kb23131; Oprecht en onpartĳdig verhaal van 'tgene sich heeft toegedra 10.1163/2214-8264_dutchpamphlets-kb1-kb14328	https://api.crossref.org/works?rows=5&query.bibliographic=Postma%20Johan%20de%20Witt%20Coenraad%20van%20Beuningen%20correspondentie%20Noordse%20oorlog
(keywords) Van Beuningen De Witt 1657 cipher Denmark	crossref	11756410 record(s), top 5 by relevance	Missive van den Heer de Lionne, aen den Heer Coenraed van Be 10.1163/2214-8264_dutchpamphlets-kb1-kb11079; Missive van de heer C. van Beuningen [...] aengaende de defe 10.1163/2214-8264_dutchpamphlets-kb1-kb10846; De Steenkolen-Oeconomie der Voornaamste Europeesche Producti 10.1007/978-94-011-8998-9; Beuningen, Daniël George van 10.1093/gao/9781884446054.article.t008522; Enkele Karakteristieken van de Mijnbouwindustrie 10.1007/978-94-011-8998-9_2	https://api.crossref.org/works?rows=5&query.bibliographic=Van%20Beuningen%20De%20Witt%201657%20cipher%20Denmark
