line	pos	sign	value	grade
f88.1	1	to	i	M
f88.1	2	g	de	H
f88.1	3	ı	?	U
f88.1	4	L	f	M
f88.1	5	x	a|d	M
f88.1	6	‡	i	H
f88.1	7	q	te	H
f88.1	8	λ	la	H
f88.1	9	q	te	H
f88.1	10	π	o	H
f88.1	11	⊥	n	M
f88.1	12	y	s	H
f88.1	13	v	li	H
f88.1	14	E	re	M
f88.1	15	2	sa	M
f88.1	16	4	x|bien	M
f88.1	17	4	x|bien	M
f88.1	18	T	n|T	M
f88.1	19	n	et	M
f88.1	20	∂	a	M
f88.1	21	o-	tu	M
f88.1	22	L	f	H
f88.1	23	∂	a	M
f88.1	24	##	?	U
f88.1	25	,,	?	U
f88.2	1	T	n|T	M
f88.2	2	ɔ	?	U
f88.2	3	p	da	H
f88.2	4	L	f	M
f88.2	5	o	a|b	M
f88.2	6	f	e	H
f88.2	7	E	re	M
f88.2	8	y	s	M
f88.2	9	L	f	M
f88.2	10	T	n|T	M
f88.3	1	to	i	M
f88.3	2	o	a|b	M
f88.3	3	g	de	H
f88.3	4	∂	a	M
f88.3	5	o	a|b	M
f88.3	6	y	s	M
f88.3	7	4	x|bien	M
f88.3	8	20	u	M
f88.3	9	8	t	H
f88.3	10	##	?	U
f88.3	11	π	o	H
f88.3	12	⊥	n	M
f88.4	1	12	du	H
f88.4	2	Δ	o	M
f88.4	3	C	y	M
f88.4	4	m	m	H
f88.4	5	7	p|s	M
f88.4	6	c	s|a|y	M
f88.4	7	12	du	H
f88.4	8	ı	?	U
f88.4	9	b	s	M
f88.4	10	F	Armes	H
f88.4	11	oo	b	H
f88.4	12	+	nostre	M
f88.4	13	40	?	U
f88.4	14	w	fu	M
f88.4	15	L	f	M
f88.4	16	x	a|d	M
f88.4	17	o-	tu	M
f88.4	18	e	to	H
f88.4	19	y	s	H
f88.4	20	4	x|bien	M
f88.4	21	x	a|d	M
f88.4	22	‡	i	M
f88.4	23	q	te	H
f88.4	24	ı	?	U
f88.4	25	o	a|b	M
f88.4	26	E	re	M
f88.4	27	q	te	H
f88.4	28	4	x|bien	M
f88.4	29	xx	t	M
f88.4	30	ur	e	M
f88.4	31	f	e	H
f88.4	32	##	?	U
f88.4	33	ɤ	t	M
f88.4	34	π	o	H
f88.4	35	C	y	M
f88.4	36	L	f	M
f88.4	37	x	a|d	M
f88.4	38	q	te	H
f88.4	39	3	ri|z	M
f88.4	40	0	?	U
f88.4	41	11	?	U
f88.4	42	Δ	o	H
f88.4	43	ſ	s|m	M
f88.4	44	ll	bon	M
f176.1	1	∂	a	M
f176.1	2	o	a|b	M
f176.1	3	y	s	M
f176.1	4	c	s|a|y	M
f176.1	5	t3	ci	M
f176.1	6	π	o	M
f176.1	7	⊥	n	M
f176.2	1	ſ	s|m	M
f176.2	2	·	?	U
f176.2	3	V	lo	H
f176.2	4	T	n|T	M
f176.2	5	v	li	M
f176.2	6	∂	a	M
f176.2	7	ß	n	M
f176.2	8	m	m	H
f176.2	9	o	a|b	M
f176.2	10	⊥	n	M
f176.2	11	Δ	o	H
f176.2	12	T	n|T	M
f176.2	13	X	o	M
f176.2	14	X	o	M
f176.2	15	o	a|b	M
f176.2	16	tt	po	M
f176.3	1	·	?	U
f176.3	2	ſ	s|m	M
f176.3	3	14	b	H
f176.3	4	1	n	H
f176.3	5	ſ	s|m	M
f176.3	6	y	s	H
f176.3	7	x	a|d	M
f176.3	8	=	d	M
f176.3	9	9	e	M
f176.3	10	20	u	H
f176.3	11	///	r	H
f176.3	12	0	?	U
f176.3	13	3	ri|z	M
f176.4	1	oo	b	H
f176.4	2	+	nostre	M
f176.4	3	∂	a	M
f176.4	4	h	?	U
f176.4	5	4	x|bien	M
f176.4	6	#	?	U
f176.4	7	L	f	M
f176.4	8	x	a|d	M
f176.4	9	‡	i	H
f176.4	10	#	?	U
f176.4	11	T	n|T	M
f176.4	12	δ	rencontre	H
f176.4	13	E	re	H
f176.4	14	r	s	M
f176.4	15	o	a|b	M
f176.4	16	λ	la	H
f176.4	17	g	de	H
f176.5	1	4	x|bien	M
f176.5	2	0	?	U
f176.5	3	L	f	H
f176.5	4	p	da	H
f176.5	5	r	s	M
f176.5	6	r'	?	U
f176.5	7	e	to	H
f176.6	1	g+	gu	M
f176.6	2	p	da	M
f176.6	3	r	s	M
f176.6	4	o	a|b	M
f176.6	5	n	et	M
f176.6	6	ı	?	U
f176.6	7	y	s	M
f176.6	8	h	?	U
f176.6	9	o	a|b	M
f176.6	10	t	ru	M
f176.6	11	o	a|b	M
f176.6	12	8	t	H
f176.6	13	π	o	H
f176.6	14	4	x|bien	M
f176.6	15	c	s|a|y	M
f176.6	16	t	ru	M
f176.6	17	o	a|b	M
f176.6	18	ı	?	U
f176.6	19	o	a|b	M
f176.6	20	X	o	H
f176.6	21	ur	e	M
f176.6	22	p	da	M
f176.6	23	v	li	M
f176.6	24	f	e	M
f176.7	1	///	r	M
f176.7	2	4	x|bien	M
f176.7	3	#	?	U
f176.7	4	9	e	M
f176.7	5	ı	?	U
f176.7	6	y	s	H
f176.7	7	L	f	H
f176.7	8	xxx	Italiens	M
f176.7	9	π	o	H
f176.7	10	+	nostre	M
f176.7	11	oo	b	H
f176.7	12	p	da	H
f176.7	13	m	m	H
f176.7	14	∂	a	M
f176.7	15	p	da	H
f176.7	16	o	a|b	M
f176.7	17	g	de	H
f176.7	18	‡	i	M
f176.7	19	f	e	H
f176.7	20	x	a|d	M
f176.7	21	c	s|a|y	M
f176.7	22	b	s	M
f176.7	23	ſ	s|m	M
f176.7	24	n	et	H
f176.7	25	T	n|T	M
f176.7	26	o	a|b	M
f176.7	27	o	a|b	M
f176.7	28	m	m	H
f176.7	29	‡	i	M
f176.7	30	q	te	M
f176.7	31	E	re	M
f176.8	1	‡	i	M
f176.8	2	V	lo	M
f176.8	3	v	li	H
f176.8	4	y	s	H
f176.8	5	pi	que	M
f176.8	6	oo	b	H
f176.8	7	+	nostre	M
f176.8	8	4	x|bien	M
f176.8	9	#	?	U
f176.8	10	φ	ca	H
f176.8	11	f	e	H
f176.8	12	#	?	U
f176.8	13	Δ	o	H
f176.8	14	oto	y	H
f176.8	15	q	te	H
f176.8	16	ʒ	z	M
f176.8	17	·	?	U
f176.8	18	+	nostre	M
f176.8	19	o	a|b	M
f176.8	20	7	p|s	M
f176.8	21	///	r	M
f176.8	22	p	da	M
f176.8	23	//	c	M
f176.8	24	x	a|d	M
f176.8	25	ur	e	H
f176.8	26	p	da	M
f176.8	27	ı	?	U
f176.8	28	v	li	M
f176.8	29	m	m	M
f176.9	1	68	?	U
f176.9	2	X	o	H
f176.9	3	o	a|b	M
f176.10	1	o-	tu	M
f176.10	2	##	?	U
f176.10	3	T	n|T	M
f176.10	4	4	x|bien	M
f176.10	5	4	x|bien	M
f176.10	6	v	li	H
f176.10	7	p	da	M
f176.10	8	y	s	H
f176.11	1	.:.	Je	M
f176.11	2	~	?	U
f176.11	3	Δ	o	M
f176.11	4	10	p	H
f176.11	5	C	y	M
f176.11	6	o	a|b	M
f176.11	7	t	ru	M
f176.11	8	o	a|b	M
f176.11	9	29	x	H
f176.12	1	7	p|s	M
f176.12	2	8	t	M
f176.12	3	0	?	U
f176.12	4	4	x|bien	M
f176.12	5	ʃ	m	M
f176.12	6	+	nostre	M
f176.12	7	to	i	H
f176.12	8	///	r	M
f176.12	9	E	re	M
f176.12	10	r	s	M
f176.12	11	9	e	M
f176.12	12	#	?	U
f176.12	13	3	ri|z	M
f176.12	14	0	?	U
