line	signs_A	signs_B	agree	columns	share
05811_p2_L01	16	16	16	16	1.000
05811_p2_L02	21	21	21	21	1.000
05811_p2_L03	20	20	18	20	0.900
05811_p2_L04	18	18	17	18	0.944
05811_p2_L05	17	17	14	17	0.824
05811_p2_L06	19	19	17	19	0.895
05811_p2_L07	17	17	14	17	0.824
05811_p2_L08	19	19	16	19	0.842
05811_p2_L09	18	18	18	18	1.000
05811_p2_L10	18	18	16	18	0.889
05811_p2_L11	19	19	17	19	0.895
05811_p2_L12	17	17	16	17	0.941
05811_p2_L13	19	19	16	19	0.842
05811_p2_L14	12	12	9	12	0.750
05811_p2_L24	7	7	5	7	0.714
05811_p2_L26	15	0	0	15	0.000
05811_p2_L27	15	15	3	16	0.188
05811_p2_L28	11	15	3	16	0.188
05811_p2_L29	13	11	1	13	0.077
05811_p2_L30	14	13	2	14	0.143
05811_p2_L31	14	14	3	15	0.200
05811_p2_L32	10	14	2	14	0.143
05811_p2_L33	4	10	3	10	0.300
05811_p2_L34	0	4	0	4	0.000
