line	signs_A	signs_B	agree	columns	share
p1_L01	1	1	1	1	1.000
p1_L02	1	1	1	1	1.000
p1_L03	1	1	1	1	1.000
p1_L04	15	14	8	15	0.533
p1_L05	23	22	20	23	0.870
p1_L06	21	21	19	21	0.905
p1_L07	20	20	17	20	0.850
p1_L08	20	20	20	20	1.000
p1_L09	19	19	17	19	0.895
p1_L10	20	20	19	20	0.950
p1_L11	20	19	19	20	0.950
p1_L12	20	20	17	20	0.850
p1_L13	20	20	19	20	0.950
p1_L14	18	18	16	18	0.889
p1_L15	21	21	19	21	0.905
p1_L16	19	19	14	19	0.737
p1_L17	19	18	15	19	0.789
p1_L18	12	12	9	12	0.750
p1_L19	15	14	11	15	0.733
p1_L20	13	13	5	14	0.357
p1_L21	5	5	4	5	0.800
p1_L22	1	1	1	1	1.000
p1_L23	1	1	1	1	1.000
p1_L24	1	1	1	1	1.000
