cipher_line	idx	raw	kind	value	repair	plain_chunk	status
101L47	0	373	num	373		t	single
101L47	1	26	num	26		h	conflict:a
101L47	2	12	num	12		e	agrees
101L47	3	18	num	18		p	conflict:e
101L47	4	343	num	343		ofture	conflict:of
101L47	5	407	num	407		of	conflict:the
101L47	6	42	num	42		t	conflict:e
101L47	7	27	num	27		h	conflict:n
101L47	8	18	num	18		e	agrees
101L47	9	16	num	16		e	single
101L47	10	24	num	24		n	single
101L49	0	404	num	404		t	conflict:into
101L49	1	478	num	478		o	conflict:you
101L49	2	320	num	320		y	conflict:a
101L49	3	54	num	54		o	conflict:r
101L49	4	31	num	31		u	conflict:a
101L49	5	6	num	6		n	conflict:t
101L49	6	8	num	8		o	conflict:i
101L49	7	19	num	19		t	conflict:o
101L49	8	52	num	52		r	agrees
101L49	9	7	num	7		a	agrees
101L49	10	33	num	33		t	conflict:l
101L49	11	404	num	404		iona	conflict:into
101L49	12	55	num	55		l	agrees
101L49	13	6	num	6		l	conflict:t
101L49	14	50	num	50		e	conflict:t
101L49	15	42	num	42		t	conflict:e
101L49	16	48	num	48		o	single
101L49	17	101	num	101		attemp	single
101L49	18	68	num	68		t	single
101L49	19	407	num	407		thebur	conflict:the
101L49	20	36	num	36		n	conflict:b
101L49	21	45	num	45		e	conflict:b
101L49	22	54	num	54		i	conflict:r
101L49	23	76	num	76		n	conflict:c
101L49	24	49	num	49		g	single
101L49	25	52	num	52		e	conflict:r
101L49	26	20	num	20		o	conflict:g
101L49	27	18	num	18		f	conflict:e
101L49	28	343	num	343		the	conflict:of
101L49	29	407	num	407		spanifh	conflict:the
101L49	30	495	num	495		fleet	agrees
101L49	31	343	num	343		in	conflict:of
101L51	0	500	num	500		c	single
101L51	1	251	num	251		a	single
101L51	2	501	num	501		d	single
101L51	3	401	num	401		iz	single
101L51	4	343	num	343		fome	conflict:of
101L51	5	480	num	480		of	conflict:letter
101L51	6	494	num	494		your	conflict:growfonumerous
101L51	7	309	num	309		fh	single
101L51	8	36	num	36		i	conflict:b
101L51	9	18	num	18		p	conflict:e
101L51	10	23	num	23		s	agrees
101L51	11	25	num	25		m	conflict:e
101L51	12	7	num	7		a	agrees
101L51	13	12	num	12		y	conflict:e
101L51	14	93	num	93		b	conflict:e
101L51	15	11	num	11		e	agrees
101L51	16	251	num	251		fpared	conflict:a
101L51	17	404	num	404		into	agrees
101L51	18	407	num	407		the	agrees
101L51	19	28	num	28		c	agrees
101L51	20	2	num	2		h	single
101L51	21	31	num	31		a	agrees
101L51	22	27	num	27		n	agrees
101L51	23	42	num	42		e	agrees
101L51	24	33	num	33		l	agrees
101L53	0	343	num	343		tra	conflict:of
101L53	1	50	num	50		d	conflict:t
101L53	2	54	num	54		e	conflict:r
101L53	3	31	num	31		a	agrees
101L53	4	11	num	11		n	conflict:e
101L53	5	42	num	42		d	conflict:e
101L53	6	105	num	105		the	conflict:e
101L53	7	407	num	407		blockeinge	conflict:the
101L53	8	87	num	87		u	single
101L53	9	33	num	33		p	conflict:l
101L53	10	19	num	19		o	agrees
101L53	11	91	num	91		f	single
101L53	12	25	num	25		d	conflict:e
101L53	13	8	num	8		u	conflict:i
101L53	14	27	num	27		n	agrees
101L53	15	20	num	20		k	conflict:g
101L53	16	18	num	18		i	conflict:e
101L53	17	16	num	16		r	conflict:e
101L53	18	47	num	47		k	single
101L53	19	343	num	343		and	conflict:of
101L53	20	170	num	170		ofte	single
101L53	21	45	num	45		n	conflict:b
101L53	22	27	num	27		d	conflict:n
101L53	23	25	num	25		w	conflict:e
101L53	24	96	num	96		h	single
101L53	25	54	num	54		e	conflict:r
101L53	26	25	num	25		r	conflict:e
101L53	27	18	num	18		e	agrees
101L53	28	105	num	105		th	conflict:e
101L53	29	30	num	30		e	agrees
101L55	0	23	num	23		p	conflict:s
101L55	1	50	num	50		i	conflict:t
101L55	2	180	num	180		rates	single
101L55	3	53	num	53		a	single
101L55	4	37	num	37		n	conflict:h
101L55	5	42	num	42		d	conflict:e
101L55	6	103	num	103		fhip	conflict:r
101L55	7	18	num	18		s	conflict:e
101L55	8	the	clear				clear
101L55	9	47	num	47		o	conflict:k
101L55	10	24	num	24		f	conflict:n
101L55	11	54	num	54		w	conflict:r
101L55	12	5	num	5		a	single
101L55	13	6	num	6		r	conflict:t
101L55	14	18	num	18		r	conflict:e
101L55	15	23	num	23		e	conflict:s
101L55	16	and	clear				clear
101L55	17	494	num	494		growfonumerous	single-segment
101L55	18	343	num	343		thatlately	conflict:of
101L55	19	449	num	449		eighteenorni	single
101L55	20	20	num	20		n	conflict:g
101L55	21	12	num	12		e	agrees
101L55	22	19	num	19		t	conflict:o
101L55	23	21	num	21		e	conflict:w
101L55	24	90	num	90		e	conflict:f
101L55	25	30	num	30		n	conflict:e
101L55	26	42	num	42		o	conflict:e
101L55	27	27	num	27		f	conflict:n
101L55	28	26	num	26		t	conflict:a
101L55	29	16	num	16		h	conflict:e
101L55	30	18	num	18		e	agrees
101L55	31	54	num	54		m	conflict:r
101L55	32	30	num	30		i	conflict:e
101L55	33	26	num	26		n	conflict:a
101L57	0	59	num	59		a	agrees
101L57	1	406	num	406			null-or-unaligned
101L57	2	279	num	279			null-or-unaligned
101L57	3	6	num	6			null-or-unaligned
101L57	4	42	num	42			null-or-unaligned
101L57	5	281	num	281			null-or-unaligned
101L57	6	110	num	110			null-or-unaligned
101L57	7	or	clear				clear
101L57	8	19	num	19			null-or-unaligned
101L57	9	343	num	343		b	conflict:of
101L57	10	409	num	409		o	conflict:i
101L57	11	251	num	251		d	conflict:a
101L57	12	a	clear				clear
101L57	13	495	num	495		y	conflict:fleet
101L59	0	413	num	413		t	single
101L59	1	196	num	196		h	single
101L59	2	18	num	18		e	agrees
101L59	3	452	num	452		refore	conflict:wee
101L59	4	234	num	234		we	conflict:have
101L59	5	394	num	394		hav	conflict:e
101L59	6	11	num	11		e	agrees
101L59	7	404	num	404		refolv	conflict:into
101L59	8	9	num	9		e	single
101L59	9	7	num	7		d	conflict:a
101L59	10	5	num	5		t	conflict:a
101L59	11	33	num	33		o	conflict:l
101L59	12	251	num	251		call	conflict:a
101L59	13	404	num	404		into	agrees
101L59	14	420	num	420		thefe	conflict:o
101L59	15	23	num	23		f	agrees
101L59	16	18	num	18		e	agrees
101L59	17	7	num	7		a	agrees
101L59	18	25	num	25		s	conflict:e
101L59	19	47	num	47		p	conflict:k
101L59	20	31	num	31		a	agrees
101L59	21	54	num	54		r	agrees
101L59	22	50	num	50		t	agrees
101L59	23	343	num	343		of	agrees
101L59	24	407	num	407		the	agrees
101L59	25	495	num	495		fleet	agrees
101L61	0	27	num	27		n	agrees
101L61	1	19	num	19		o	agrees
101L61	2	53	num	53		w	conflict:a
101L61	3	21	num	21		w	agrees
101L61	4	8	num	8		i	agrees
101L61	5	6	num	6		t	agrees
101L61	6	37	num	37		h	agrees
101L61	7	478	num	478		y	conflict:you
101L61	8	102	num	102		o	conflict:e
101L61	9	404	num	404		u	conflict:into
101L61	10	219	num	219		t	conflict:noti
101L61	11	344	num	344		o	conflict:a
101L61	12	39	num	39		g	single
101L61	13	183	num	183		iv	single
101L61	14	23	num	23		e	conflict:s
101L61	15	404	num	404		order	conflict:into
101L61	16	97	num	97		s	single
101L61	17	56	num	56		t	single
101L61	18	76	num	76		o	conflict:c
101L61	19	494	num	494		ten	conflict:growfonumerous
