cipher_line	idx	raw	kind	value	repair	plain_chunk	status
35689	0	11	num	11		f	conflict:d
35689	1	23	num	23		e	conflict:f
35689	2	42	num	42		n	conflict:e
35689	3	76	num	76		d	single
35689	4	39	num	39		h	conflict:d
35689	5	37	num	37		o	conflict:h
35689	6	30	num	30		m	single
35689	7	48	num	48		e	single
35689	8	93	num	93		t	conflict:e
35689	9	10	num	10		h	agrees
35689	10	61	num	61		e	single
35689	11	407	num	407		g	conflict:the
35689	12	222	num	222		reat	single
35689	13	494	num	494		fhips	single-segment
35689	14	452	num	452		wee	agrees
35689	15	234	num	234		have	agrees
35689	16	394	num	394		refolve	single
35689	17	71	num	71		d	agrees
35689	18	258	num	258		it	agrees
35689	19	251	num	251		in	agrees
35689	20	407	num	407		the	agrees
35689	21	332	num	332		neg	single-segment
35689	22	31	num	31		a	agrees
35693	0	6	num	6		t	agrees
35693	1	49	num	49		i	conflict:e
35693	2	45-42	doubtful			ve	doubtful
35693	3	19	num	19		o	agrees
35693	4	26	num	26		u	agrees
35693	5	12	num	12		r	agrees
35693	6	54	num	54		r	agrees
35693	7	18	num	18		e	agrees
35693	8	7	num	7		a	agrees
35693	9	25	num	25		f	agrees
35693	10	74	num	74		o	agrees
35693	11	27	num	27		n	agrees
35693	12	90	num	90		s	agrees
35693	13	1	num	1			null-or-unaligned
35693	14	147	num	147		are	single-segment
35697	0	452	num	452		wee	agrees
35697	1	234	num	234		have	agrees
35697	2	323	num	323		noe	conflict:have
35697	3	88	num	88		o	single
35697	4	12	num	12		r	agrees
35697	5	11	num	11		d	agrees
35697	6	18	num	18		e	agrees
35697	7	12	num	12		r	agrees
35697	8	197	num	197		from	agrees
35697	9	529	num	529		engl	agrees
35697	10	196	num	196		for	agrees
35697	11	258	num	258		it	agrees
35697	12	452	num	452		we	conflict:wee
35697	13	234	num	234		have	agrees
35697	14	412	num	412		this	agrees
35697	15	247	num	247		harbour	single-segment
35697	16	404	num	404		t	conflict:to
35697	17	29	num	29		o	single
35697	18	54	num	54		f	conflict:r
35697	19	42	num	42		f	conflict:e
35697	20	49	num	49		e	single-segment
35697	21	j6	doubtful			in	doubtful
35701	0	71	num	71		d	agrees
35701	1	19690	doubtful			forf	doubtful
35701	2	2	num	2		h	single
35701	3	93	num	93		e	agrees
35701	4	33	num	33		l	agrees
35701	5	6	num	6		t	agrees
35701	6	18	num	18		e	agrees
35701	7	103	num	103		r	agrees
35701	8	105	num	105		and	agrees
35701	9	i	num	1		p	agrees
35701	10	73	num	73		r	agrees
35701	11	19	num	19		o	agrees
35701	12	94-77	doubtful			vi	doubtful
35701	13	59	num	59		f	agrees
35701	14	8	num	8		i	agrees
35701	15	3°27	doubtful			on	doubtful
35701	16	23	num	23		s	agrees
35701	17	452	num	452		wee	agrees
35701	18	321	num	321		nowheare	single-segment
35701	19	236406500233	doubtful			thatspaynhath	doubtful
35705	0	74	num	74		o	agrees
35705	1	12	num	12		r	agrees
35705	2	II	num	11		d	agrees
35705	3	18	num	18		e	agrees
35705	4	54	num	54		r	agrees
35705	5	3	num	3		e	single
35705	6	39	num	39		d	agrees
35705	7	404	num	404		to	agrees
35705	8	205	num	205		fitt	single-segment
35705	9	(18	clear				clear
35705	10	499)	clear				clear
35705	11	105	num	105		galloons	conflict:and
35705	12	(12	clear				clear
35705	13	350	num	350		and	single-segment
35705	14	494)	clear				clear
35705	15	458	num	458		other	single-segment
35705	16	452	num	452		fhipps	conflict:wee
35705	17	260	num	260		which	single-segment
35705	18	460	num	460		weejudgewill	single-segment
35705	19	36	num	36		b	agrees
35705	20	18	num	18		e	agrees
35705	21	42	num	42		e	agrees
35708	0	19	num	19		u	conflict:o
35708	1	266	num	266		t	single-segment
35708	2	329	num	329		neare	single-segment
35708	3	407	num	407		the	agrees
35708	4	275	num	275		la	single-segment
35708	5	650	num	650		t	single-segment
35708	6	11	num	11		t	conflict:d
35708	7	12	num	12		e	conflict:r
35708	8	180	num	180		r	single-segment
35708	9	343	num	343		end	conflict:of
35708	10	8	num	8		o	conflict:i
35708	11	7	num	7		f	conflict:a
35708	12	2745	doubtful			jan	doubtful
35708	13	31	num	31		u	conflict:a
35708	14	5443	doubtful			a	doubtful
35708	15	10	num	10		r	conflict:h
35708	16	99	num	99		y	single
35708	17	105	num	105		and	agrees
35708	18	254	num	254		if	agrees
35708	19	185	num	185		ever	single-segment
35708	20	413	num	413		there	single-segment
35711	0	36	num	36		b	agrees
35711	1	56	num	56		e	agrees
35711	2	93	num	93		e	agrees
35711	3	IO	num	10		h	agrees
35711	4	2	num	2			null-or-unaligned
35711	5	19	num	19		o	agrees
35711	6	8	num	8		p	conflict:i
35711	7	18	num	18		e	agrees
35711	8	25	num	25		s	agrees
35711	9	404	num	404		to	agrees
35711	10	200	num	200		fight	single-segment
35711	11	5OO	num	500		spayne	single-segment
35711	12	406	num	406		that	agrees
35711	13	259	num	259		is	agrees
35711	14	287	num	287		like	single-segment
35711	15	4O4	num	404		to	agrees
35711	16	87	num	87		b	single
35711	17	18	num	18		e	agrees
35711	18	93	num	93		e	agrees
35711	19	407	num	407		the	agrees
35711	20	408.	num	408		tyme	single-segment
35714	0	251	num	251		in	agrees
35714	1	T92	doubtful			execution	doubtful
35714	2	236	num	236		here	agrees
35714	3	342	num	342		of	single-segment
35714	4	452	num	452		wee	agrees
35714	5	47	num	47		p	agrees
35714	6	12	num	12		r	agrees
35714	7	18	num	18		e	agrees
35714	8	78	num	78		p	single
35714	9	7	num	7		a	agrees
35714	10	73	num	73		r	agrees
35714	11	93	num	93		e	agrees
35714	12	454	num	454		what	single-segment
35714	13	452	num	452		wee	agrees
35714	14	114	num	114		are	single-segment
35714	15	112	num	112		able	single-segment
35714	16	251	num	251		in	agrees
35714	17	412	num	412		this	agrees
35714	18	374	num	374		place	single-segment
35714	19	105	num	105		and	agrees
35714	20	254	num	254		if	agrees
35716	0	452	num	452		w	conflict:wee
35716	1	234	num	234		ee	conflict:have
35716	2	323	num	323		have	single-segment
35716	3	328	num	328		noe	single-segment
35716	4	25	num	25		k	conflict:f
35716	5	197	num	197		from	agrees
35716	6	529	num	529		engl	agrees
35716	7	412	num	412		this	agrees
35716	8	21	num	21		w	agrees
35716	9	93	num	93		e	agrees
35716	10	56	num	56		e	agrees
35716	11	44	num	44		k	single-segment
35716	12	42	num	42		e	agrees
35716	13	407	num	407		the	agrees
35716	14	325	num	325		next	single-segment
35716	15	452	num	452		wee	agrees
35716	16	316	num	316		meane	single-segment
35716	17	404	num	404		to	agrees
35716	18	23	num	23		f	agrees
35716	19	18	num	18		e	agrees
35716	20	27	num	27		n	agrees
35716	21	39	num	39		d	agrees
35719	0	407	num	407		t	conflict:the
35719	1	37	num	37		h	single
35719	2	31	num	31		e	conflict:a
35719	3	1647	doubtful			h	doubtful
35719	4	59	num	59		a	conflict:f
35719	5	2	num	2		m	conflict:h
35719	6	8	num	8		p	conflict:i
35719	7	12	num	12		f	conflict:r
35719	8	18	num	18		h	conflict:e
35719	9	10	num	10		i	conflict:h
35719	10	IO4	num	104		r	conflict:o
35719	11	64	num	64		e	single
35719	12	49	num	49		w	conflict:e
35719	13	6	num	6		i	conflict:t
35719	14	2	num	2		t	conflict:h
35719	15	IO	num	10		h	agrees
35719	16	7	num	7		a	agrees
35719	17	27	num	27		n	agrees
35719	18	42	num	42		e	agrees
35719	19	34	num	34		x	single
35719	20	I	num	1		p	agrees
35719	21	12	num	12		r	agrees
35719	22	§6	doubtful			e	doubtful
35719	23	33	num	33		f	conflict:l
35719	24	25	num	25		f	agrees
35719	25	18	num	18		e	agrees
35719	26	404	num	404		to	agrees
35719	27	412	num	412		this	agrees
35722	0	1	num	1		p	agrees
35722	1	26	num	26		u	agrees
35722	2	12	num	12		r	agrees
35722	3	47	num	47		p	agrees
35722	4	18	num	18		o	conflict:e
35722	5	23.	num	23		s	agrees
35732	0	343	num	343		of	agrees
