plain_line	plain_raw	cipher_line	cipher_raw
35659	T       h       i        s         1       aft       wee       k       theca'bal       I       men	35661	3?     H    l9    34    28    3  34  39  43  IX   «   l8  39  J4  n   7  3  2   3  23   19  22   11    27
35662	tion        edlat        ely  wasdeliveredo	35664	39  19  26    27    II   6  23   3   39   II   23   47     43  3  36  6  11   23   19  38   II   35   II   6  26
35666	fat       h       i       n       g       t       he       ycal       t       h       ear       mi       e       sadr	35668	10  3  39  14  19  27  17  4r  H  13  47  9  5  23  4i  16  11  5  ^   22  21  11  36  5  8  35
35670	efs;  it'sindeedprettywell        f	35672	13  36  34;    21  39  36  19  29  6  11  13  8  33  35  11  39  41  49  45  11  23  25  12
35674	ea-tu       r       'd,     p       r       omi       fe       sal       1       g       o       odinf       h	35676	ii  5  41  40  37  8,  31  35   28  24  19  36  II  34  5  25  23  17  26  28  6  21  7  36    14
35678	ew;    but   i   n   t   hee   ndlfear   ewi   1   p   r	35680	11  43'   4  38  4i  19  29  4i  16  11  13  29  6  21  12  13  5  35  11  45  19  25  33  35
35682	oveaferp       en        t.	35684	26  40  13  3  34  11  37  33  13  29  39-
35686	all        theofficersintovvne,       e'xc	35688	5  23  25  39  l6  3  28  i2  i°  19  7  J3  37  36  2I  27  4i  26  43  39  JI>  JI  42  9
35690	ept    twoor   three,   figneditatf	35692	13  31     39    41   43   26  28    37    39    16   25   II    Ij,   34  21    15  29    13    8   21    29   3   41    12
35693	ir         ft         r        eadin        g,     andft        rovewhof	35695	19  37  36   39  35  13  3  8  2I  27  *5»  5  29  8  36  39  35  26  38  13  45  14  28  36
35697	hou       ldbefo       r       mo       ft.	35699	14  26  38   23  6  4  13   10  28   35  24  26  36  39.
35701	Twoo        r         three       officers       a       tire	35702	39     45     28     26     3J    41      14    35    I     13    28    IO    12    21    9    II    IS    34    28    12    19    35    13
35704	I  a       ndandScot       1       andp       re       fen       tat        fi	35706	25  5  27  8  3  29  6  36  9  26  39  23  3  29  6  33   35  u  36  13  27  41  5  39  34  19
35708	gning,       giveit        titl        etobealfo	35709	17     27    21    29    15,    17    19    40    13    21    29    41     19    39    23    II    39    28    2    13    5    23    36   28
35710	theacto       fthefear       mies.	35712	41  16  11  S9  39   28  I0  4i  14  26  34  11  3  35   24  19  13  34.
35714	Th       eel       o       fecont       r       i       v       e       r       s       were        fd	35715	41    16   II    7   25   26  34   II   9   26  29  42   35  12   40  13   3J   36  45   II   35  13  W.W.
35716	Sydenham,     Berry,      Huf       on.        Atlaft	35718	34  49  6   11  29  -14  5  23,  4  11  37  35  47>  14  40  36  26  29.  5  39  23  3  34  39
35720	W       h      a        1       1  e       yandGot       fwer       ecal       d      i      n ;     a	35722	45    16    5    23    25    11  47   5  27  8   17  26  10  10  43   11   35  13  9  3  23  8  19  29 j  3
35723	llother       signorantti       loffe       r	35725	25  23  26  39  H  11  35  36  2I  x7  27  26  3J   5  29  39  41  19  23  28  12  10  13  35
35727	dtobefigned.	35729	8   39  26  4  13   36  21    17  27  II   8.
35731	Mat        terscertainlygrowwors	35733	24  3  29  41  11  35  34  9  13  37  29  3  19  27  23  47  17  37  28  45  43  26  35  34
35735	andwor        severyday.  Sudden       lye	35737	5  29  8  45  26  3y   34  11  38  13  37  47  6  5  49.      34  40  8  6  u  29  25  47  9
35739	lafhingliketobeinthecounc	35741	23      5    34    16    19    29    15    25    21    20    II    39    28    4    II    19    27    41    14    13    7    29    38    29  9
35742	el.  Nonehereaftertobeadmit	35744	II  25.  29    26    27    II     14    13    35    II    5    10    41    13    37    41    26    2    13    3    8    22    21    3$
35745	t       edmembe       r        s       the       re,      o       rof       t        h       earir	35747	41     II    6    22    13    24    2    II    37    34   41    14    13    35    II    28    35    26    12    39    \6    13    5    35   24
35748	y       t        h       atpr       o       n       ou       ncen       otS       hibbo       le	35750	49  4i  16  3  3  33  35  28  27  36   38  29  7  IJ  29  28  4*  34  16  19  2  4  26   25  1:
35752	t       h.  Thcp       re       fe       n       taimeconceive	35754	41    14.  4.1     14    13    31    37    II    36    13    27    29    3    21    22    13    7    26    29    9    II    19    40   I-
35756	dt        oexcludetandbrfr        omcouncel.	35758	6  41  28  13  44  9  23  38  8  11  B  3  29  6  F.  10  37  26  24  9  26  38  29  7  13  23,
35760	dman        imaginethefadconfequ	35761	A.     22      5     49     19     24    3    15    21    27    13    41    14    13    34    5    8    7    28    29    34    13    30  4
35768	cnce      soft      h       i       s,     andt       hat       t      he       ywi       1    A  D  16  %8	35769	II    27    9    11   36  26  12   39   16"  19   34  3   29   6  41    14  5   39   29    14  13  49  45   I9   25
35770	notrefthere.	35772	29  36  39  35  11  36  41   14  13  35  "•
35774	Ibelie        ve  wil        fhortlybefen	35776	21  2  13  25  11  29  38  13  A.  43  19  25  34  16  26  3J   41  23  47  4  11  34  13  27
35778	t      f      o       r       o      v       e      r.	35779	41    20   28    35   26  40    II    37.
35792	is        furetobeofthecouncelw	35794	A.  19  34  36  38  35   13  4i  26  2  13  26  12  39  16  11  7  26  38  27  9  13  23  43
35796	he        n        hecome        sover        order       is       aire	35797	14    13    29    16    II   9  28   24  II   36  28   38    13   35  26  37  6   13   35  21   36  3^   5    II
35798	a       d      y       i      n      i        t.	35799	II    56  47    19    27    21    29.
