plain_line	plain_raw	cipher_line	cipher_raw
49481	right  hon.  They  that  hate  you  feare  you  too,	49483	Shdburn       fltion  from  aI1  Parties-     39  16  11  47.41   i4.5  39  l6  3  4i   11  49  26  38  12  n  5
49485	and  therefore  oppoie  it.	49487	3j   13  47  28  40  39   28  26,  5  27  6  39  14  13  3J   10  26  35   II  28  33  31  26   36
49489	They  that  love  you  have  apprchenfions,	49491	II  19  41.   41  14  13  49  39  16  3  41  25  26  40  13  49  28  38  l6  5  38  II  $   33
49493	neither  Ireland  nor  Henry  Cromwell  are  Secure,	49495	31  35  11  16  13  29  34  19  28  27  36,   27  11  49  39  14  13  37  21  35   13  23  5  27
49497	if  ieparated.	49499	8  27  28  37  A.  5  3J   11  34  13  7  38  37  13  21  10  34  13  33  3  37  5  39   JI  6.
49501	This  lord  Falc.  allures  Hen.  Crom.  is  the  only  rcafon  he  can  learne	49503	39  lS  l9   34  B.  5  36   34  38  37  34  A.  19  36  39  16   11  28  27  13  25  47  35   13
49505	that  makes  protestor	49507	_    5  34  2-8  27  16  11   13  9  3  29  25   n  5  35  27    13    41    14   5   39  24  3  18   13  34
49509	backward  in  it.	49511	Z.  4  3  9  20  43  5  37  6  21  27   19  41.
49513	As  to  our  affaires  the  factious  party,  discovering	49515	5  34  39  2^  26  40  34  5  20  12  3  21  35  13  34,  39  16  11  12  3  9  39  21  26  40'
49517	themielves  not  strong  enough	49519	34  31  3  37  39   49  6  19   34  9  26  40  11  35   21  27  17  41  16  n  24  34  13  23
49521	to  carry  on  delignes  aione,	49523	40  II  36  27  28  41  26  39  35    28  29  15  II  29  26  40  17  14  41  26  7  5  36   3449
49525	are  treating  with  the	49527	26  9  6  13  34  19  17  29  11  34  5  23  26  29  11  3  15   13  39  35  13   5   41  19  27
49529	men  the  and  that  rabble,	49531	l7   45  *9  41  14  41  16  11  I.  22  13  29  39   14  13  D.  3  27  8  41  14  3  3^  35   3
49533	and,  wee  heare,  wil  put  it  to	49535	4  2  25  11,  3  29  6  43  13  11  14  13  3  37  11  43  19  25  33  38  41  21  39   41  26
49537	a  pufh  that  way.	49539	5  33  40  34  14  39  ^  5  4  45  5  47-
49541	ant"  Desbrowi;  are  the  neads,  keeps  his  ground  ;	49543	O.  5   27  6  V.  5  35  13  41  14  XI  16  11  5  6  36.     Z.  18  11  13  31  36  14  21
49545	but  truly  gets  none  of  them  ;	49547	34  !7  35   28  38  27  8,  2  40  39   39  3J   38  23  49  15  13  39  36  29  26  27  13  28  10
49554	for  things  run  in  the  fame  channel,  AT)     6   8	49556	39    \6    13    22,    12    26    35    41    14    19    29    17    34   37    28    29    21    27    39    14    13    36   3    22<J-v^W*
49558	managed  by  the  feme  hands  as  formerly ;	49560	13  9  14  5  29  27  11  25  22  5  27  3  15  13  6  2  49  39  16  11  34  5  22  13  16  3
49562	and  truly  thinks	49564	29  6  36  5  34  J2  26  35  24  11  37  25  47;  3  29  6  41  35  38  25  47  B.  39  16   21
49566	nothing  would  conduce  to  pubhek  good	49568	27  18  36  29  26  39  14  21  27  17    45  26  38  25  6  9  28  27  6  40  7  13  39  28  31
49570	more  then  fome attempt  of	49571	98  4  25   19  9   18   15  28  26  6  24  26  27   II   39   16  II  29  34   26    24  13  5  41  39
49573	theirs,  if  it  pleafe  God	49575	11  24  31  41  28  10  39  16   11  21  35   36,  21  10  19  41  33   23  13  5  34  11  17  26
49577	to  make  it  unfuccelsful.	49579	8  41  26  22  5  20  11  19  41  38  29  34  40  9  7  11  36  10  38  23.
49581	made  a  i'peech  to  all  the  officers  lafl:  h'iday,	49583	Z.  24  3  8  11  5  36  31   13   11  7  16  39   28  5  25  23  39  16  11  26  12  10  21  7
49585	but  with  very  great  moderation	49587	n  37  36  23  5   34  4'  i°  37  47  8  5  49,  2  38  41  45  19  39  16  40  11  37  47  17
49589	and  kindnefs,  has  commanded	49591	35  l3  3  4i   22  28  6  13  35  3  39  21  26  29  5  27  6  18  21  27  8  29  n  36,  14  5
49593	not  to  go  yet  into  the  country,	49594	34  7  28  24  22   5  27  6  11   8    B.    27   26  41   39  26  15  28   II   47   13  39   19  29  41
49596	which  I  aflure	49598	26  39  16  11  7  28  38  29  39  3J   47  45  14  21  716215  36  34  38  38  35  11  A
49600	obeys  unwillingly,  unles  he  could  be  more	49602	B  28  2  13  47  36  38  27  45  19  25  23  31  29  15  25  47  38  27  23  13  36   14  13
49604	ierviceable  to  him  '	49606	11  7  28  38  25  6  4  11  22  28  35   13  34  13  35  38  19  9  11  5  4  23  13  39  28  14  21
