plain_line	plain_raw	cipher_line	cipher_raw
56505	men  the  par.    are  very  numerous	56507	The  I  22  13  27  in  39  16  11  K  5  3  11  40  11  35  49  29  38  24  11  27   26  40
56509	'    beyona  meaiure  boid,  but  more	56511	36  and  4  11  49  26  29  8  24  11  5  36  38  37  13  2  28  25  6  2  38  41  22  28  25
56513	then  doubly  overt aPatiCxl  by	56515	13  4i  I4   13  29  6  28  38  4  23  47  26  40  11  35  4  5  25  23  3  37  9  6  2  49  a
56517	fober  party.  this  make  tncir	56519	2,6   26  4  11  37  33  3  35  41  47.  Soe  that  though  41  14  21  34  24  5  20  11  29  1^
56521	refuits  ilow,  wee  lee  noe	56523	11  J9  37  35  I3   34  40  23  41  36   36  25  28  43  45  11  13  34  13  11  29  26  13  17
56525	great  cauie  as  yet  reaie  that	56527	37  ll   5  4i  9  3  4o  34  13  5  34  4-7  13   4*  to  12  11  3  27   13  of  39  16  5  41  16
56529	hand.	56531	5  27  6.
56533	worfr.  factious  part  or  the	56535	I  The  45  26  27   34  41  is,  the  10  5  7  39  21  26  40  34  31  5  37  39  28  10  29   14
56537	officers  here  renew  their  old	56539	13  28  12  10  21  7  13  35  34  16  11  37  13  25   11  29  13  45  39  16   11  19  27   28
56541	practice  remonftratmg ;	56543	23  8  33  35  5  7  41  9  ll   of  35   ?3  24  26  27  36  39  27  5   41  19  29  l5  >   and  a
56545	few  dayes  ltnce  had  certainly	56547	12  11  45  6  3  47  11  34  34  21  27  9  13  14  5  8  7  13  35  41  5  19  27  25  47  5
56549	alarmed  Whitehal  Weitmintter,	56551	23   3  37   24  6  both  43  16  19  41  n  16  5  23  and  45  11  34  41  22  19  29  34  39
56553	had  they  not  difagreed  about	56555	*3  35  14  5  8  39  l6  ll   49  27  l6  Afi  6   2I  34  5  *7  34  13  "  8  5  2  26  38  41
56557	wording  their  declaration.	56559	43  28  35  8  19  29  17  39  16  13  21  25   8  11  7  25  5  35  3  41  19  26  29.
56561	Thofe  that  bandied  things  were	56563	39  16  26  36  11  41  14  5  39  2  3  27  8  19  13  6  39  14  21  29  17  34  43  11  25
56565	parties  of  iJesborough     LamDert  ;       the  laft  appearing	56567	13  the  31  5  35  41  19  11  36  28  10  V  and,  O ;  39  16   13  23  5  34  41  5  33   31
56569	only  under  covert,  nines	56571	11    3    15   21   29  J5  26  29  23  49  38  27  8   13  37  9  26  40  11  25  4i>    the  26  39
56573	ojrenly.	56575	16  13  37  28  31       129  25  47.
56577	,        They  broke  off  fome  heat,	56579	'     41  14  13  49  2  37  26  20  11  28  12  10  in  36  26  22  13  16  11  5  29->    which
56581	has  given  little  refpit ;  but  hold	56583	16  5  34  15. *9  4°  IJ  29  a  23  *9  41  39  25  Ir  37  x*  36  31  19  41 *  2  38  41  J4
56585	their  meetings,  unconrroukd.	56587	26  23  8  39  16   11  19  37  24  13  11  29   2I  27  J7  34>  and  40  27  9  26  29  29  37
56589	they  feem  more  calme.	56591	28  38  25  6.     Ac  prefent  41   14  13  49  34  13   n   24  a  little  22  28  37  n  7  5  23
56593	F.  Desb.     have  appointed  committee	56595	.  24  13.  And  W.  and  V.  14  5  40  11  5  31  33  26  19  29  39  13  6  a  7  26   24  22
56597	that  gang  to  draw  up  fome	56599	19  41  39  13  11  of  29  l6  5   4i  17*3  27  l5   41  26  6  37  3   43  38  31  34  28  22-
56601	heads  to  be  offerd  H.  H.	56603	13  16  11  56  36  29  28  4  13  28  12  10  11  36  8  to  Z.
