plain_line	plain_raw	cipher_line	cipher_raw
42246	Inthepoflef-  Things  are  ftiU  at  a  ftanrl,  haw	42248	fionofthe  41    H   21    27    15  36   5   35    1 3   34  39  21    25   5   39   3  36   39   3   27   8    14   5   38   13
42250	right  hon.  the  a  mew  °*  clu'ec »  '  *DUC  'n  cruth  any	42252	earl  ofShel-   |   34    16    II   45   28    10   30   38    21  13  39  5   2  40  39   21    7   41  35  40  39  14  5   27  49
42254	born.  .  thing  rather.	42256	41  14  21  27  15  35  5  39  14  13  37.
42258	The  coancel  doe  juit  nothing,	42260	39  16  11  7  28  38  29  9  11  23  6  28  11  21  38  34  41  27  26  41  16  21  29  15,
42262	think  not  eyther  how  to  recon-	42264	39  14  21  29  20  29  26  41  II  49  39  l6  II  37  l6  26  45  41  26  35  13  7  28  27
42266	cue  things,  or  quell  the  height	42268	9  21  23  11  41  16  19  29  15  34,  26  37  32  38  11  25  39  16  11  14  13  19  17  16
42270	of  fticklers  in  time,  whome	42272	39  26  12  34  41  21  7  18  25  II  35  34  21  29  41  19  24  II,  43  l6   26  22  13  28
42274	onely  our  negligence  makes	42276	27  II  25  47  26  40  35  29  II  17  23  21  15  13  27  9  II  22  5  l8  II  36    7  28
42278	confiderable.	42280	27  36  21  6  11  35  5  4  23  13.
42282	If  thefe  be  let  alone,  wel  di£	42284	21    IO   39    l6    13    34    II    2    13    25    II    41    5    23    28    27    II,   43    13    25   6    19   3633
42285	poled  people  will  at  length  ga-	42287	26  34  11  8  31  11  28  33  23  13  45  21  23  5  41  23  13  27  17  3^  16   17  5  39
42289	ther  to  them,  it  tor  nothing	42291	14    II     37    41     28    41     14    II    22,    21    12    IO    26   37    27    26   41     l6    19     29    15    II    23
42292	«lie,  yet  to  make  their  owne  peace  ;	42294	36    13,    47    13    41    39     28     24   5    18    II    41    14    13     21    34   28   43    29    II    31    13   3  9
42295	and  when  once  in,  not  to  be  reco-	42297	11  ;  5  27  6  43  16  11  27  26  29  7  11  21  27,  29  26  41  39  28  4  11  37   II  7  26
42299	ver'd  againe.	42301	38  *3  35  8  5  15  3  21  27  13.
42303	I  am  abfolutciy  ot  opinion,	42304	19     5    22    3    4    34    26     23    40     39    II    25   49     26    12     28    31    21     27    21    26    29,    A
42305	muft  not  venture  over,	42307	2.2  38  36  41  27  26  41  38  13  27  3<)   40  37  11  16   40  11  35,   and  fo  is  Mr,
42309	Pim-point.	42311	31   21   11  37  33  26  19  29  41.     God  Almighty  dy reft  you.
