value	meaning	n	agree	others
40	e	1	1	
46	p	2	1	t:1
49	t	1	1	
50	t	1	1	
51	a	3	1	t:1,u:1
63	d	1	1	
73	s	1	1	
89	k	2	1	m:1
92	u	1	1	
96	e	1	1	
97	t	1	1	
100	i	1	1	
102	ra	1	1	
103	t	1	1	
116	nonecan	1	1	
122	in	1	1	
127	do	2	1	fa:1
133	w	1	1	
149	to	2	2	
183	ab	1	1	
192	ma	1	1	
198	hence	1	1	
203	of	1	1	
211	now	2	1	s:1
213	ihall	1	1	
217	r	1	1	
230	ps	1	1	
237	but	1	1	
244	meet	1	1	
245	w	1	1	
257	at	1	1	
259	co	3	1	fen:1,fo:1
261	out	2	1	rn:1
264	all	3	1	now:1,u:1
266	u	1	1	
278	a	1	1	
284	n	1	1	
285	of	3	2	the:1
292	an	1	1	
300	ro	1	1	
306	and	2	1	ge:1
307	can	2	1	for:1
318	t	1	1	
320	and	1	1	
324	end	2	1	i:1
326	moft	1	1	
342	be	1	1	
343	s	6	2	chst:1,put:1,rd:1,re:1
367	un	1	1	
372	letter	2	1	th:1
386	onthere	1	1	
403	englyetmrs	1	1	
404	are	1	1	
407	give	1	1	
411	all	2	1	urton:1
413	l	1	1	
419	ac	1	1	
423	s	1	1	
424	rteen	1	1	
429	coun	1	1	
443	re	1	1	
446	fa	1	1	
454	hi	1	1	
460	a	1	1	
464	il	1	1	
505	prince	1	1	
506	in	1	1	
511	and	1	1	
517	d	1	1	
528	ye	1	1	
535	collen	1	1	
540	ffiwentthis	1	1	
545	da	1	1	
570	yo	1	1	
593	rs	1	1	
597	have	1	1	
