# tools/print_check.py, 25 Sep 2026. A search result, not a novelty verdict (CLAUDE.md rule 10).
phrase	source	result	detail	url
seu lugar junto com	gbooks	300 volume(s)	I70tAAAAYAAJ O texto, ou, A vida 2006; DwYsAAAAYAAJ Caminhos da esperança 1991; -_JFAAAAYAAJ Exame 1987; gsEuAAAAYAAJ Estudos judaicos 2005; jMweAQAAIAAJ Canibal de Copacabana 2008	https://www.googleapis.com/books/v1/volumes?q=%22seu%20lugar%20junto%20com%22&country=US&maxResults=10
para supprir o seu lugar	gbooks	300 volume(s)	ogx6DwAAQBAJ A Conexão Entre A Santidade Presente E A 2017-07-18; uqxyEQAAQBAJ Experiências de um pós-bariátrico sleeve 2024-03-22; hcYTAAAAIAAJ Série de publicações 1925; dVeuEAAAQBAJ Emmett 2023-02-16; 0xUrAQAAMAAJ Anais do Congresso de História do Segund 1984	https://www.googleapis.com/books/v1/volumes?q=%22para%20supprir%20o%20seu%20lugar%22&country=US&maxResults=10
segredo ate o ministerio	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22segredo%20ate%20o%20ministerio%22
segredo até o ministério	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22segredo%20at%C3%A9%20o%20minist%C3%A9rio%22
pela memoria do	openalex	20 work(s)	O HIATO DO PRESENTE (2016) https://openalex.org/W2599392776; GRUPO DE PESQUISA EM GESTÃO AMBIENTAL E DINÂMICA SOCIOESPACI (2019) https://openalex.org/W2953443052; A ARTE DE CONSTRUIR A HISTÓRIA ATRAVÉS DA MEMÓRIA: UMA EXPER (2018) https://openalex.org/W2904888102; OS EMBATES PELA MEMÓRIA MAÇÔNICA DE FREI CANECA: A POLÊMICA  (2018) https://openalex.org/W2801328054; O pêndulo de Rosalina: Repressão e Liberdade em Ópera dos Mo (2005) https://openalex.org/W2749826745	https://api.openalex.org/works?per-page=5&search=%22pela%20memoria%20do%22
pela memória do	openalex	1053 work(s)	DISPUTAS PELA MEMÓRIA DO TERRITÓRIO CONTESTADO: UM MAPEAMENT (2021) https://doi.org/10.22533/at.ed.7572105089; Registros de sessão terapêutica: relato, gravação ou transcr (2014) https://doi.org/10.1590/s0103-56652014000200008; 1964: golpe ou revolução? A disputa pela memória nas páginas (2017) https://doi.org/10.5752/p.2237-8871.2017v18n29p564; Ecologias antirracistas na Bahia: retratos da luta Pataxó co (2023) https://doi.org/10.20435/tellus.v23i50.923; Forte São Joaquim: de marco da ocupação portuguesa do vale d (2016) https://doi.org/10.18227/2217-1448ted.v0i28.3390	https://api.openalex.org/works?per-page=5&search=%22pela%20mem%C3%B3ria%20do%22
supprir o seu lugar	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22supprir%20o%20seu%20lugar%22
suprir o seu lugar	openalex	1 work(s)	Progresso e Declínio n'A Riqueza das Nações (2023) https://doi.org/10.48075/ra.v11i1.31159	https://api.openalex.org/works?per-page=5&search=%22suprir%20o%20seu%20lugar%22
seu lugar junto com	openalex	7 work(s)	Os caminhos da pragmática no Brasil (1999) https://doi.org/10.1590/s0102-44501999000300013; Alteridade, literatura e saúde: uma abordagem interdisciplin (2025) https://doi.org/10.14393/er-v32e2025-25; ENTRE MEXICANOS E CHICANOS: AS MARCAS DA DIÁSPORA NA OBRA LO (2018) https://doi.org/10.32988/783; Dinâmicas científicas e contingências sociais: um estudo exp (2011) https://openalex.org/W169660811; O direito na teoria crítica dos sistemas: da justiça autossu (2016) https://doi.org/10.11606/d.2.2016.tde-08042016-163250	https://api.openalex.org/works?per-page=5&search=%22seu%20lugar%20junto%20com%22
para supprir o seu lugar	openalex	no hits		https://api.openalex.org/works?per-page=5&search=%22para%20supprir%20o%20seu%20lugar%22
(keywords) Linhares cipher Portuguese diplomatic Vieyra dictionary code	openalex	no hits		https://api.openalex.org/works?per-page=5&search=Linhares%20cipher%20Portuguese%20diplomatic%20Vieyra%20dictionary%20code
(keywords) Sousa Coutinho cifra dicionario chave	openalex	4 work(s)	Aspectos da pesca da baleia no Brasil colonial (III) (1958) https://doi.org/10.11606/issn.2316-9141.rh.1958.106737; A Balança Imperial : a Fazenda Pública na província de Perna (2024) https://openalex.org/W7120625553; Bastidores da política externa brasileira (1930-1945). Getúl (2023) https://doi.org/10.34019/ufjf/te/2023/00099; Alvitres e quimeras políticas de Diogo do Couto (2019) https://openalex.org/W7113199757	https://api.openalex.org/works?per-page=5&search=Sousa%20Coutinho%20cifra%20dicionario%20chave
segredo ate o ministerio	s2	4491 paper(s)	Política fiscal: O ajuste fiscal e as contas do Governo (1994) ed741878c180e54d0e447822aab862ec38740a67; O ministério dos catequistas compreendido à partir dos tempo (2024) 10.20911/21799024v15n1p89/2024; O Ministério Público Federal e o dever de aproveitamento de  (2024) 10.63601/bcesmpu.2023.n60.271-291; FATORES ASSOCIADOS À INTENÇÃO MATERNA DE AMAMENTAR ATÉ O SEX (2024) 10.13102/semic.vi27.10734; O Ministério Público Estadual do Tocantins como garantidor d (2026) 10.69849/k7575e58	https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22segredo%20ate%20o%20ministerio%22
segredo até o ministério	s2	not searched (blocked: HTTP 429 on https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22segredo%20at%C3%A9%20o%20minist%C3%A9rio%22)		https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22segredo%20at%C3%A9%20o%20minist%C3%A9rio%22
pela memoria do	s2	not searched (blocked: HTTP 429 on https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22segredo%20at%C3%A9%20o%20minist%C3%A9rio%22)		https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22pela%20memoria%20do%22
pela memória do	s2	not searched (blocked: HTTP 429 on https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22segredo%20at%C3%A9%20o%20minist%C3%A9rio%22)		https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22pela%20mem%C3%B3ria%20do%22
supprir o seu lugar	s2	not searched (blocked: HTTP 429 on https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22segredo%20at%C3%A9%20o%20minist%C3%A9rio%22)		https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22supprir%20o%20seu%20lugar%22
suprir o seu lugar	s2	not searched (blocked: HTTP 429 on https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22segredo%20at%C3%A9%20o%20minist%C3%A9rio%22)		https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22suprir%20o%20seu%20lugar%22
seu lugar junto com	s2	not searched (blocked: HTTP 429 on https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22segredo%20at%C3%A9%20o%20minist%C3%A9rio%22)		https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22seu%20lugar%20junto%20com%22
para supprir o seu lugar	s2	not searched (blocked: HTTP 429 on https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22segredo%20at%C3%A9%20o%20minist%C3%A9rio%22)		https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22para%20supprir%20o%20seu%20lugar%22
(keywords) Linhares cipher Portuguese diplomatic Vieyra dictionary code	s2	not searched (blocked: HTTP 429 on https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22segredo%20at%C3%A9%20o%20minist%C3%A9rio%22)		https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=Linhares%20cipher%20Portuguese%20diplomatic%20Vieyra%20dictionary%20code
(keywords) Sousa Coutinho cifra dicionario chave	s2	not searched (blocked: HTTP 429 on https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=%22segredo%20at%C3%A9%20o%20minist%C3%A9rio%22)		https://api.semanticscholar.org/graph/v1/paper/search?limit=5&fields=title,authors,year,venue,externalIds&query=Sousa%20Coutinho%20cifra%20dicionario%20chave
(keywords) Linhares cipher Portuguese diplomatic Vieyra dictionary code	crossref	1401758 record(s), top 5 by relevance	The Cipher in Code (detail 1), and: The Cipher in Code (deta 10.1353/cal.2006.0141; The Diplomatic Front 10.1057/9781137402080.0010; cipher 10.5040/9781780935898.0011-22; cipher, v. 10.1093/oed/2878099668; cipher, n. 10.1093/oed/2629711394	https://api.crossref.org/works?rows=5&query.bibliographic=Linhares%20cipher%20Portuguese%20diplomatic%20Vieyra%20dictionary%20code
(keywords) Sousa Coutinho cifra dicionario chave	crossref	206347 record(s), top 5 by relevance	Dicionario Laban 10.47749/t/unicamp.2001.209661; Bebés / Babies 10.21814/uminho.ed.36.6; Cifra, La 10.1093/gmo/9781561592630.article.o005641; Acido abietico e (+)-esclareolideo como materias-prima na pr 10.47749/t/unicamp.2007.410020; Cifra. Клиническая медицина, Выпуск 1 (1) 2024 10.62993/cmed.2024.1	https://api.crossref.org/works?rows=5&query.bibliographic=Sousa%20Coutinho%20cifra%20dicionario%20chave
(keywords) Linhares Sousa Coutinho cipher diplomatic Portugal 1811	crossref	405582 record(s), top 5 by relevance	Coutinho, D. Rodrigo de Sousa 10.58277/yexx2703; THE IMPORTANCE OF DEEP SOIL LAYERS TO SUPPLY WATER TO AGRO-F 10.17660/actahortic.2005.693.89; Portugal - Diplomatic Privileges &amp; Immunity 10.1163/2213-2996_flg_com_157055; PARECHOVIRUS GENOTYPE 3 (HPEV3) OUTBREAK AMONG INFANTS, PORT 10.26226/morressier.58fa1768d462b80290b50c61; A correspondência inédita do embaixador de Portugal em Paris 10.14195/2183-8925_10_8	https://api.crossref.org/works?rows=5&query.bibliographic=Linhares%20Sousa%20Coutinho%20cipher%20diplomatic%20Portugal%201811
