line	signs_A	signs_B	agree	columns	share
p1_L01	24	25	18	25	0.720
p1_L02	23	23	22	23	0.957
p1_L03	25	25	22	25	0.880
p1_L04	21	21	14	21	0.667
p1_L05	27	26	25	27	0.926
p1_L06	24	24	19	24	0.792
p1_L07	22	22	18	22	0.818
p1_L08	23	23	21	23	0.913
p1_L09	22	22	16	22	0.727
p1_L10	23	24	20	24	0.833
p1_L11	21	21	15	21	0.714
p1_L12	24	24	21	24	0.875
p1_L13	22	22	18	22	0.818
p1_L14	23	23	23	23	1.000
p1_L15	23	23	23	23	1.000
p1_L16	24	24	24	24	1.000
p1_L17	21	22	18	22	0.818
p1_L18	24	24	21	24	0.875
p1_L19	25	25	23	25	0.920
p1_L20	25	25	21	25	0.840
p1_L21	23	23	21	23	0.913
p1_L22	23	23	22	23	0.957
p1_L23	21	21	17	21	0.810
p1_L24	21	21	16	21	0.762
p1_L25	21	21	20	21	0.952
p1_L26	22	21	16	22	0.727
p1_L27	21	22	20	22	0.909
p1_L28	23	23	23	23	1.000
p1_L29	23	28	13	28	0.464
p1_L30	22	7	7	22	0.318
p1_L31	22	23	19	23	0.826
p1_L32	25	25	24	25	0.960
p1_L33	22	22	20	22	0.909
p1_L34	22	21	15	22	0.682
p1_L35	21	21	19	21	0.905
p1_L36	21	22	19	22	0.864
p1_L37	24	24	22	24	0.917
p1_L38	20	20	15	20	0.750
p1_L39	20	20	20	20	1.000
p1_L40	18	19	18	19	0.947
p1_L41	1	1	1	1	1.000
p1_L42	1	1	1	1	1.000
p1_L43	1	1	1	1	1.000
p2_L01	24	24	24	24	1.000
p2_L02	24	24	22	24	0.917
p2_L03	24	24	21	24	0.875
p2_L04	22	22	20	22	0.909
p2_L05	23	23	20	23	0.870
p2_L06	21	21	21	21	1.000
p2_L07	19	18	17	19	0.895
p2_L08	22	22	18	22	0.818
p2_L09	22	21	16	22	0.727
p2_L10	21	21	21	21	1.000
p2_L11	21	19	17	21	0.810
p2_L12	21	21	19	21	0.905
p2_L13	19	19	0	19	0.000
p2_L14	21	5	0	21	0.000
p2_L15	19	5	1	20	0.050
p2_L16	16	7	6	16	0.375
p2_L17	13	20	7	21	0.333
p2_L18	18	18	15	18	0.833
p2_L19	13	13	9	13	0.692
p2_L20	16	12	6	16	0.375
p2_L21	21	21	17	21	0.810
p2_L22	21	23	18	23	0.783
p2_L23	21	11	7	21	0.333
p2_L24	17	16	12	17	0.706
p2_L25	20	9	1	20	0.050
p2_L26	19	19	0	19	0.000
p2_L27	12	20	1	20	0.050
p2_L28	14	20	1	20	0.050
p2_L29	19	12	0	19	0.000
p2_L30	24	14	3	24	0.125
p2_L31	11	15	1	15	0.067
p2_L32	17	9	0	17	0.000
p2_L33	11	5	3	11	0.273
p2_L34	1	1	1	1	1.000
p2_L35	1	1	1	1	1.000
p2_L36	1	20	0	20	0.000
p3_L01	22	22	19	22	0.864
p3_L02	21	21	16	21	0.762
p3_L03	20	21	11	21	0.524
p3_L04	15	14	8	15	0.533
p3_L05	17	14	4	17	0.235
p3_L06	15	12	4	15	0.267
p3_L07	12	12	6	12	0.500
p3_L08	12	14	3	14	0.214
p3_L09	3	3	2	3	0.667
p3_L10	1	1	1	1	1.000
p3_L11	13	11	4	13	0.308
p3_L12	5	5	3	5	0.600
p3_L13	1	1	1	1	1.000
p3_L14	1	1	1	1	1.000
p3_L15	1	1	1	1	1.000
