line	position	sign	confidence
05801_p3_L01	1	=vu	L
05801_p3_L01	2	70	H
05801_p3_L01	3	67	H
05801_p3_L01	4	113	H
05801_p3_L01	5	103	M
05801_p3_L01	6	22	H
05801_p3_L01	7	22	H
05801_p3_L01	8	10	H
05801_p3_L01	9	5	H
05801_p3_L01	10	32	H
05801_p3_L01	11	92	M
05801_p3_L01	12	28	H
05801_p3_L01	13	13	H
05801_p3_L01	14	32	H
05801_p3_L01	15	82	H
05801_p3_L01	16	24	M
05801_p3_L01	17	22	H
05801_p3_L01	18	2	H
05801_p3_L01	19	30	H
05801_p3_L01	20	331	M
05801_p3_L01	21	1	M
05801_p3_L01	22	82	H
05801_p3_L01	23	74	M
05801_p3_L01	24	22	H
05801_p3_L01	25	32	H
05801_p3_L01	26	102	H
05801_p3_L01	27	79	M
05801_p3_L01	28	2	H
05801_p3_L01	29	34	M
05801_p3_L01	30	13	H
05801_p3_L01	31	311	M
05801_p3_L01	32	26	H
05801_p3_L01	33	62	M
05801_p3_L01	34	3	M
05801_p3_L01	35	28	H
05801_p3_L01	36	82	H
05801_p3_L01	37	27	H
05801_p3_L01	38	34	H
05801_p3_L01	39	87	M
05801_p3_L01	40	9	H
05801_p3_L01	41	140	M
05801_p3_L01	42	56	M
05801_p3_L01	43	53	M
05801_p3_L01	44	82	H
05801_p3_L01	45	60	M
05801_p3_L01	46	7	H
05801_p3_L01	47	39	H
05801_p3_L01	48	26	M
05801_p3_L01	49	72	M
05801_p3_L01	50	38	H
05801_p3_L01	51	23	H
05801_p3_L01	52	82	H
05801_p3_L01	53	132	H
05801_p3_L01	54	190	M
05801_p3_L01	55	82	M
05801_p3_L01	56	132	H
05801_p3_L01	57	42	M
05801_p3_L01	58	39	H
05801_p3_L01	59	27	H
05801_p3_L01	60	132	H
05801_p3_L01	61	84	M
05801_p3_L01	62	87	M
05801_p3_L01	63	103	M
05801_p3_L01	64	117	M
05801_p3_L01	65	47	M
05801_p3_L01	66	2	H
05801_p3_L01	67	54	L
05801_p3_L01	68	=que	M
05801_p3_L01	69	59	M
05801_p3_L01	70	132	H
05801_p3_L01	71	191	M
05801_p3_L01	72	126	H
05801_p3_L01	73	129	H
05801_p3_L01	74	172	M
05801_p3_L02	1	83	M
05801_p3_L02	2	61	M
05801_p3_L02	3	102	M
05801_p3_L02	4	112	M
05801_p3_L02	5	92	M
05801_p3_L02	6	9	M
05801_p3_L02	7	34	M
05801_p3_L02	8	72	M
05801_p3_L02	9	9	M
05801_p3_L02	10	2	M
05801_p3_L02	11	32	H
05801_p3_L02	12	82	H
05801_p3_L02	13	5	H
05801_p3_L02	14	39	H
05801_p3_L02	15	85	M
05801_p3_L02	16	24	M
05801_p3_L02	17	126	H
05801_p3_L02	18	129	H
05801_p3_L02	19	150	M
05801_p3_L02	20	58	L
05801_p3_L02	21	9	M
05801_p3_L02	22	5	M
05801_p3_L02	23	77	H
05801_p3_L02	24	105	H
05801_p3_L02	25	78	H
05801_p3_L02	26	8	H
05801_p3_L02	27	3	H
05801_p3_L02	28	30	H
05801_p3_L02	29	=de	M
05801_p3_L02	30	=la	M
05801_p3_L02	31	142	M
05801_p3_L02	32	129	H
05801_p3_L02	33	127	M
05801_p3_L02	34	3	M
05801_p3_L02	35	67	L
