line	position	sign	confidence
05801_p4_L01	1	=et	L
05801_p4_L01	2	140	H
05801_p4_L01	3	124	H
05801_p4_L01	4	30	L
05801_p4_L01	5	102	H
05801_p4_L01	6	27	H
05801_p4_L01	7	132	H
05801_p4_L01	8	140	H
05801_p4_L01	9	29	H
05801_p4_L01	10	82	H
05801_p4_L01	11	125	H
05801_p4_L01	12	40	M
05801_p4_L01	13	84	H
05801_p4_L01	14	3	H
05801_p4_L01	15	183	M
05801_p4_L01	16	23	L
05801_p4_L01	17	125	H
05801_p4_L01	18	22	H
05801_p4_L01	19	81	M
05801_p4_L01	20	7	H
05801_p4_L01	21	9	H
05801_p4_L01	22	4	H
05801_p4_L01	23	34	H
05801_p4_L01	24	24	M
05801_p4_L01	25	140	H
05801_p4_L01	26	124	H
05801_p4_L01	27	62	H
05801_p4_L01	28	37	H
05801_p4_L01	29	82	M
05801_p4_L01	30	84	H
05801_p4_L01	31	3	H
05801_p4_L01	32	10	M
05801_p4_L01	33	82	H
05801_p4_L01	34	34	H
05801_p4_L01	35	19	H
05801_p4_L01	36	41	M
05801_p4_L01	37	7	H
05801_p4_L01	38	78	H
05801_p4_L01	39	84	H
05801_p4_L01	40	75	M
05801_p4_L01	41	82	H
05801_p4_L01	42	3	H
05801_p4_L01	43	83	M
05801_p4_L01	44	85	L
05801_p4_L01	45	117	H
05801_p4_L01	46	132	H
05801_p4_L01	47	3	M
05801_p4_L01	48	81	M
05801_p4_L01	49	2	H
05801_p4_L01	50	132	H
05801_p4_L01	51	190	H
05801_p4_L01	52	3	M
05801_p4_L01	53	112	H
05801_p4_L01	54	36	H
05801_p4_L01	55	62	H
05801_p4_L01	56	58	M
05801_p4_L01	57	77	H
05801_p4_L01	58	88	M
05801_p4_L01	59	79	H
05801_p4_L01	60	90	H
05801_p4_L01	61	30	M
05801_p4_L01	62	103	H
05801_p4_L01	63	8	L
05801_p4_L01	64	39	M
05801_p4_L01	65	27	M
05801_p4_L01	66	137	M
05801_p4_L01	67	134	M
05801_p4_L01	68	117	H
05801_p4_L01	69	102	H
05801_p4_L01	70	82	M
05801_p4_L01	71	37	H
05801_p4_L01	72	90	H
05801_p4_L01	73	82	M
05801_p4_L01	74	113	M
05801_p4_L01	75	356	L
05801_p4_L02	1	32	H
05801_p4_L02	2	132	H
05801_p4_L02	3	140	H
05801_p4_L02	4	82	M
05801_p4_L02	5	132	H
05801_p4_L02	6	124	H
05801_p4_L02	7	121	H
05801_p4_L02	8	141	H
05801_p4_L02	9	59	M
05801_p4_L02	10	5	H
05801_p4_L02	11	130	H
05801_p4_L02	12	86	M
05801_p4_L02	13	28	H
05801_p4_L02	14	128	H
05801_p4_L02	15	77	H
05801_p4_L02	16	81	H
05801_p4_L02	17	29	H
05801_p4_L02	18	88	M
05801_p4_L02	19	83	M
05801_p4_L02	20	23	H
05801_p4_L02	21	85	M
05801_p4_L02	22	139	H
05801_p4_L02	23	150	M
05801_p4_L02	24	121	H
05801_p4_L02	25	125	H
05801_p4_L02	26	=trouve	L
05801_p4_L02	27	121	H
05801_p4_L02	28	140	H
05801_p4_L02	29	115	M
05801_p4_L02	30	65	M
05801_p4_L02	31	81	M
05801_p4_L02	32	30	L
05801_p4_L02	33	84	M
05801_p4_L02	34	115	M
05801_p4_L02	35	21	H
05801_p4_L02	36	83	M
05801_p4_L02	37	81	H
05801_p4_L02	38	28	H
05801_p4_L02	39	34	H
05801_p4_L02	40	132	H
05801_p4_L02	41	125	H
05801_p4_L02	42	98	M
05801_p4_L02	43	64	M
05801_p4_L02	44	29	H
05801_p4_L02	45	33	H
05801_p4_L02	46	81	H
05801_p4_L02	47	85	M
05801_p4_L02	48	82	M
05801_p4_L02	49	132	H
05801_p4_L02	50	140	H
05801_p4_L02	51	30	L
05801_p4_L02	52	89	M
05801_p4_L02	53	37	H
05801_p4_L02	54	132	H
05801_p4_L02	55	85	M
05801_p4_L02	56	132	H
05801_p4_L02	57	140	H
05801_p4_L03	1	88	M
05801_p4_L03	2	54	M
05801_p4_L03	3	132	H
05801_p4_L03	4	117	H
05801_p4_L03	5	89	M
05801_p4_L03	6	34	H
05801_p4_L03	7	31	H
05801_p4_L03	8	85	M
05801_p4_L03	9	108	L
05801_p4_L03	10	30	M
05801_p4_L03	11	51	M
05801_p4_L03	12	28	H
05801_p4_L03	13	82	M
05801_p4_L03	14	177	M
05801_p4_L03	15	29	L
05801_p4_L03	16	84	H
05801_p4_L03	17	31	H
05801_p4_L03	18	23	H
05801_p4_L03	19	82	M
05801_p4_L03	20	132	H
05801_p4_L03	21	15	L
05801_p4_L03	22	28	H
05801_p4_L03	23	59	M
05801_p4_L03	24	28	H
05801_p4_L03	25	81	M
05801_p4_L03	26	132	H
05801_p4_L03	27	191	M
05801_p4_L03	28	46	M
05801_p4_L03	29	102	H
05801_p4_L03	30	30	M
05801_p4_L03	31	103	H
05801_p4_L03	32	111	H
05801_p4_L03	33	139	H
05801_p4_L03	34	16	L
05801_p4_L03	35	36	M
05801_p4_L03	36	82	M
05801_p4_L03	37	88	M
05801_p4_L03	38	16	L
05801_p4_L03	39	36	M
05801_p4_L03	40	101	H
05801_p4_L03	41	112	H
05801_p4_L03	42	132	H
05801_p4_L03	43	79	M
05801_p4_L03	44	101	M
05801_p4_L03	45	39	M
05801_p4_L03	46	132	H
05801_p4_L03	47	84	M
05801_p4_L03	48	72	M
05801_p4_L03	49	75	M
05801_p4_L03	50	7	M
05801_p4_L03	51	116	M
05801_p4_L03	52	86	M
05801_p4_L03	53	92	M
05801_p4_L03	54	2	H
05801_p4_L03	55	82	M
05801_p4_L03	56	132	H
05801_p4_L03	57	140	H
05801_p4_L03	58	129	H
05801_p4_L03	59	7	M
05801_p4_L03	60	3	H
05801_p4_L03	61	27	H
05801_p4_L03	62	132	H
05801_p4_L03	63	81	M
05801_p4_L03	64	32	M
05801_p4_L03	65	73	L
05801_p4_L03	66	53	L
05801_p4_L03	67	12	M
05801_p4_L03	68	105	M
05801_p4_L03	69	33	M
05801_p4_L03	70	82	M
05801_p4_L03	71	105	M
05801_p4_L03	72	52	M
05801_p4_L03	73	27	H
05801_p4_L03	74	132	H
05801_p4_L03	75	129	H
05801_p4_L03	76	140	H
05801_p4_L03	77	81	M
05801_p4_L03	78	96	L
05801_p4_L03	79	57	M
05801_p4_L03	80	132	H
05801_p4_L03	81	88	M
05801_p4_L03	82	140	H
05801_p4_L03	83	129	M
05801_p4_L04	1	47	M
05801_p4_L04	2	2	H
05801_p4_L04	3	132	H
05801_p4_L04	4	77	M
05801_p4_L04	5	60	L
05801_p4_L04	6	75	M
05801_p4_L04	7	83	M
05801_p4_L04	8	29	M
05801_p4_L04	9	72	M
05801_p4_L04	10	102	H
05801_p4_L04	11	92	M
05801_p4_L04	12	152	M
05801_p4_L04	13	141	M
05801_p4_L04	14	52	M
05801_p4_L04	15	36	H
05801_p4_L04	16	21	H
05801_p4_L04	17	26	M
05801_p4_L04	18	134	M
05801_p4_L04	19	126	H
05801_p4_L04	20	14	M
05801_p4_L04	21	4	M
05801_p4_L04	22	75	M
05801_p4_L04	23	140	H
05801_p4_L04	24	16	L
05801_p4_L04	25	102	H
05801_p4_L04	26	132	H
05801_p4_L04	27	126	H
05801_p4_L04	28	77	M
05801_p4_L04	29	30	M
05801_p4_L04	30	132	H
05801_p4_L04	31	61	L
05801_p4_L04	32	129	H
05801_p4_L04	33	47	M
05801_p4_L04	34	3	H
05801_p4_L04	35	134	M
05801_p4_L04	36	126	H
05801_p4_L04	37	78	M
05801_p4_L04	38	7	H
05801_p4_L04	39	5	H
05801_p4_L04	40	132	H
05801_p4_L04	41	126	H
05801_p4_L04	42	81	M
05801_p4_L04	43	2	H
05801_p4_L04	44	87	L
05801_p4_L04	45	30	M
05801_p4_L04	46	31	M
05801_p4_L04	47	21	H
05801_p4_L04	48	82	M
05801_p4_L04	49	132	H
05801_p4_L04	50	27	H
05801_p4_L04	51	52	M
05801_p4_L04	52	130	M
05801_p4_L04	53	36	H
05801_p4_L04	54	37	H
05801_p4_L04	55	82	M
05801_p4_L04	56	103	M
05801_p4_L04	57	112	H
05801_p4_L04	58	115	M
05801_p4_L04	59	83	M
05801_p4_L04	60	3	H
05801_p4_L04	61	34	H
05801_p4_L05	1	111	H
05801_p4_L05	2	81	M
05801_p4_L05	3	32	H
05801_p4_L05	4	34	M
05801_p4_L05	5	24	M
05801_p4_L05	6	82	M
05801_p4_L05	7	29	M
05801_p4_L05	8	124	H
05801_p4_L05	9	82	M
05801_p4_L05	10	31	H
05801_p4_L05	11	117	H
05801_p4_L05	12	83	M
05801_p4_L05	13	3	H
05801_p4_L05	14	132	H
05801_p4_L05	15	124	H
05801_p4_L05	16	26	H
05801_p4_L05	17	81	M
05801_p4_L05	18	3	H
05801_p4_L05	19	32	H
05801_p4_L05	20	102	M
05801_p4_L05	21	32	M
05801_p4_L05	22	69	M
05801_p4_L05	23	37	H
05801_p4_L05	24	70	M
05801_p4_L05	25	124	H
05801_p4_L05	26	7	M
05801_p4_L05	27	67	L
05801_p4_L05	28	73	L
05801_p4_L05	29	132	H
05801_p4_L05	30	22	M
05801_p4_L05	31	124	H
05801_p4_L05	32	125	H
05801_p4_L05	33	130	M
05801_p4_L05	34	147	L
05801_p4_L05	35	101	M
05801_p4_L05	36	152	M
05801_p4_L05	37	72	M
05801_p4_L05	38	57	M
05801_p4_L05	39	62	M
05801_p4_L05	40	37	M
05801_p4_L05	41	27	M
05801_p4_L05	42	3	H
05801_p4_L05	43	30	M
05801_p4_L05	44	55	M
05801_p4_L05	45	14	L
05801_p4_L05	46	3	M
05801_p4_L05	47	132	H
05801_p4_L06	1	32	H
05801_p4_L06	2	29	M
05801_p4_L06	3	134	M
05801_p4_L06	4	125	M
05801_p4_L06	5	82	M
05801_p4_L06	6	112	H
05801_p4_L06	7	132	H
05801_p4_L06	8	82	M
05801_p4_L06	9	75	M
05801_p4_L06	10	69	M
05801_p4_L06	11	40	M
05801_p4_L06	12	26	H
05801_p4_L06	13	29	M
05801_p4_L06	14	81	M
05801_p4_L06	15	132	H
05801_p4_L06	16	124	H
05801_p4_L06	17	141	M
05801_p4_L06	18	82	M
05801_p4_L06	19	121	H
05801_p4_L06	20	72	M
05801_p4_L06	21	82	M
05801_p4_L06	22	28	H
05801_p4_L06	23	101	M
05801_p4_L06	24	32	M
05801_p4_L06	25	62	M
05801_p4_L06	26	111	H
05801_p4_L06	27	102	M
05801_p4_L06	28	83	M
05801_p4_L06	29	3	H
05801_p4_L06	30	27	H
05801_p4_L06	31	140	H
05801_p4_L06	32	121	H
05801_p4_L06	33	85	M
05801_p4_L06	34	27	M
05801_p4_L06	35	86	M
05801_p4_L06	36	72	M
05801_p4_L06	37	132	H
05801_p4_L06	38	54	M
05801_p4_L06	39	114	M
05801_p4_L06	40	28	H
05801_p4_L06	41	130	H
05801_p4_L06	42	124	H
05801_p4_L06	43	83	M
05801_p4_L06	44	140	H
05801_p4_L06	45	121	H
05801_p4_L06	46	96	L
05801_p4_L06	47	23	M
05801_p4_L06	48	72	M
05801_p4_L06	49	27	H
05801_p4_L06	50	5	H
05801_p4_L06	51	33	M
05801_p4_L06	52	133	M
05801_p4_L06	53	=seroit	M
05801_p4_L06	54	=une	H
05801_p4_L06	55	=chose	H
05801_p4_L06	56	=fort	H
05801_p4_L06	57	=necessaire	M
05801_p4_L06	58	=et	M
05801_p4_L06	59	=causer	M
05801_p4_L06	60	122	M
05801_p4_L06	61	135	M
05801_p4_L06	62	87	L
05801_p4_L06	63	34	M
05801_p4_L06	64	87	M
05801_p4_L06	65	139	H
05801_p4_L06	66	113	M
05801_p4_L06	67	82	M
05801_p4_L06	68	175	M
05801_p4_L06	69	87	M
05801_p4_L06	70	5	H
05801_p4_L06	71	87	M
05801_p4_L06	72	7	M
05801_p4_L06	73	23	M
05801_p4_L06	74	7	M
05801_p4_L06	75	17	L
05801_p4_L06	76	9	M
05801_p4_L06	77	31	M
05801_p4_L06	78	85	M
05801_p4_L06	79	114	M
05801_p4_L06	80	117	M
05801_p4_L06	81	80	L
05801_p4_L07	1	78	M
05801_p4_L07	2	7	M
05801_p4_L07	3	2	M
05801_p4_L07	4	91	L
05801_p4_L07	5	81	M
05801_p4_L07	6	69	M
05801_p4_L07	7	3	H
05801_p4_L07	8	32	M
05801_p4_L07	9	82	M
05801_p4_L07	10	132	H
05801_p4_L07	11	129	H
05801_p4_L07	12	115	M
05801_p4_L07	13	81	M
05801_p4_L07	14	2	H
05801_p4_L07	15	52	M
05801_p4_L07	16	140	H
05801_p4_L07	17	124	H
05801_p4_L07	18	78	M
05801_p4_L07	19	62	M
05801_p4_L07	20	87	L
05801_p4_L07	21	132	H
05801_p4_L07	22	90	M
05801_p4_L07	23	6	M
05801_p4_L07	24	102	H
05801_p4_L07	25	87	M
05801_p4_L07	26	73	M
05801_p4_L07	27	27	H
05801_p4_L07	28	30	M
05801_p4_L07	29	83	M
05801_p4_L07	30	47	M
05801_p4_L07	31	9	M
05801_p4_L07	32	52	M
05801_p4_L07	33	62	M
05801_p4_L07	34	59	M
05801_p4_L07	35	60	M
05801_p4_L07	36	87	M
05801_p4_L07	37	8	M
05801_p4_L07	38	22	M
05801_p4_L07	39	83	M
05801_p4_L07	40	82	M
05801_p4_L07	41	28	H
05801_p4_L07	42	132	H
05801_p4_L07	43	129	H
05801_p4_L07	44	85	M
05801_p4_L07	45	2	H
05801_p4_L07	46	9	M
05801_p4_L07	47	24	M
05801_p4_L07	48	124	H
05801_p4_L07	49	72	M
05801_p4_L07	50	23	M
05801_p4_L07	51	37	M
05801_p4_L07	52	103	M
05801_p4_L07	53	22	M
05801_p4_L07	54	63	L
05801_p4_L08	1	72	M
05801_p4_L08	2	40	M
05801_p4_L08	3	25	M
05801_p4_L08	4	132	H
05801_p4_L08	5	125	H
05801_p4_L08	6	37	H
05801_p4_L08	7	81	M
05801_p4_L08	8	2	H
05801_p4_L08	9	40	M
05801_p4_L08	10	85	M
05801_p4_L08	11	12	M
05801_p4_L08	12	72	M
05801_p4_L08	13	88	M
05801_p4_L08	14	3	H
05801_p4_L08	15	77	M
05801_p4_L08	16	152	M
05801_p4_L08	17	124	M
05801_p4_L08	18	82	M
05801_p4_L08	19	30	M
05801_p4_L08	20	78	M
05801_p4_L08	21	4	M
05801_p4_L08	22	132	H
05801_p4_L08	23	124	H
05801_p4_L08	24	52	M
05801_p4_L08	25	97	M
05801_p4_L08	26	9	M
05801_p4_L08	27	81	M
05801_p4_L08	28	130	H
05801_p4_L08	29	121	H
05801_p4_L08	30	127	M
05801_p4_L08	31	62	M
05801_p4_L08	32	132	H
05801_p4_L08	33	7	M
05801_p4_L08	34	70	M
05801_p4_L08	35	11	M
05801_p4_L08	36	113	M
05801_p4_L08	37	82	M
05801_p4_L08	38	90	M
05801_p4_L08	39	71	M
05801_p4_L08	40	51	M
05801_p4_L08	41	132	H
05801_p4_L08	42	124	H
05801_p4_L08	43	130	M
05801_p4_L08	44	39	M
05801_p4_L08	45	36	H
05801_p4_L08	46	23	M
05801_p4_L08	47	84	M
05801_p4_L08	48	85	M
05801_p4_L08	49	28	H
05801_p4_L08	50	31	M
05801_p4_L08	51	121	H
05801_p4_L08	52	105	M
05801_p4_L08	53	2	H
05801_p4_L08	54	71	M
05801_p4_L08	55	7	M
05801_p4_L08	56	26	M
05801_p4_L08	57	32	M
05801_p4_L08	58	64	M
05801_p4_L08	59	7	M
05801_p4_L08	60	35	M
05801_p4_L08	61	125	M
05801_p4_L08	62	132	H
05801_p4_L08	63	84	M
05801_p4_L08	64	35	M
05801_p4_L08	65	112	M
05801_p4_L08	66	81	M
05801_p4_L08	67	72	M
05801_p4_L08	68	67	M
05801_p4_L08	69	116	M
05801_p4_L08	70	81	M
05801_p4_L08	71	34	M
05801_p4_L08	72	141	M
05801_p4_L08	73	126	M
05801_p4_L09	1	83	M
05801_p4_L09	2	28	H
05801_p4_L09	3	117	H
05801_p4_L09	4	83	M
05801_p4_L09	5	59	M
05801_p4_L09	6	139	H
05801_p4_L09	7	140	H
05801_p4_L09	8	129	H
05801_p4_L09	9	=principalemt	M
05801_p4_L09	10	72	M
05801_p4_L09	11	132	H
05801_p4_L09	12	140	H
