line	position	sign	confidence
05801_p2_L01	1	72	M
05801_p2_L01	2	26	H
05801_p2_L01	3	132	H
05801_p2_L01	4	61	M
05801_p2_L01	5	37	M
05801_p2_L01	6	32	M
05801_p2_L01	7	27	M
05801_p2_L01	8	81	M
05801_p2_L01	9	90	M
05801_p2_L01	10	=Ville	H
05801_p2_L01	11	312	M
05801_p2_L01	12	27	M
05801_p2_L01	13	132	H
05801_p2_L01	14	195	M
05801_p2_L01	15	121	M
05801_p2_L01	16	62	M
05801_p2_L01	17	32	M
05801_p2_L01	18	35	M
05801_p2_L01	19	82	M
05801_p2_L01	20	3	M
05801_p2_L01	21	76	M
05801_p2_L01	22	79	L
05801_p2_L01	23	4	M
05801_p2_L01	24	35	M
05801_p2_L01	25	54	M
05801_p2_L01	26	28	M
05801_p2_L01	27	53	M
05801_p2_L01	28	22	M
05801_p2_L01	29	81	M
05801_p2_L01	30	29	M
05801_p2_L01	31	82	M
05801_p2_L01	32	71	M
05801_p2_L01	33	8	M
05801_p2_L01	34	38	M
05801_p2_L01	35	4	M
05801_p2_L01	36	30	M
05801_p2_L01	37	=apres	H
05801_p2_L01	38	=que	H
05801_p2_L01	39	132	H
05801_p2_L01	40	129	M
05801_p2_L01	41	126	M
05801_p2_L01	42	81	M
05801_p2_L01	43	37	M
05801_p2_L01	44	24	M
05801_p2_L01	45	7	M
05801_p2_L01	46	3	M
05801_p2_L01	47	27	M
05801_p2_L01	48	152	M
05801_p2_L02	1	22	M
05801_p2_L02	2	82	M
05801_p2_L02	3	7	M
05801_p2_L02	4	77	M
05801_p2_L02	5	132	H
05801_p2_L02	6	126	M
05801_p2_L02	7	28	M
05801_p2_L02	8	102	M
05801_p2_L02	9	132	H
05801_p2_L02	10	92	M
05801_p2_L02	11	66	M
05801_p2_L02	12	3	M
05801_p2_L02	13	77	M
05801_p2_L02	14	82	M
05801_p2_L02	15	139	M
05801_p2_L02	16	37	M
05801_p2_L02	17	22	M
05801_p2_L02	18	33	L
05801_p2_L02	19	83	M
05801_p2_L02	20	85	M
05801_p2_L02	21	79	L
05801_p2_L02	22	82	M
05801_p2_L02	23	138	M
05801_p2_L02	24	125	M
05801_p2_L02	25	72	M
05801_p2_L02	26	2	M
05801_p2_L02	27	9	M
05801_p2_L02	28	85	M
05801_p2_L02	29	98	M
05801_p2_L02	30	27	M
05801_p2_L02	31	81	M
05801_p2_L02	32	68	M
05801_p2_L02	33	=ainsi	H
05801_p2_L02	34	132	H
05801_p2_L02	35	87	L
05801_p2_L02	36	9	M
05801_p2_L02	37	139	M
05801_p2_L02	38	19	L
05801_p2_L02	39	24	M
05801_p2_L02	40	71	M
05801_p2_L02	41	82	M
05801_p2_L02	42	231	L
05801_p2_L02	43	199	M
05801_p2_L02	44	=Or	M
05801_p2_L02	45	=que	H
05801_p2_L02	46	=Dieu	H
05801_p2_L02	47	=qu'ils	M
05801_p2_L02	48	=ayent	M
05801_p2_L02	49	=raison	H
05801_p2_L02	50	=si	H
05801_p2_L02	51	=est-ce	M
05801_p2_L02	52	=qu'ils	M
05801_p2_L02	53	=ne	H
05801_p2_L02	54	=considerent	M
05801_p2_L02	55	=point	H
05801_p2_L02	56	=que	H
05801_p2_L02	57	139	M
05801_p2_L02	58	126	M
05801_p2_L02	59	132	H
05801_p2_L02	60	62	M
05801_p2_L02	61	135	M
05801_p2_L02	62	87	L
05801_p2_L02	63	85	M
05801_p2_L02	64	39	M
05801_p2_L02	65	32	M
05801_p2_L02	66	85	M
05801_p2_L02	67	132	H
05801_p2_L02	68	128	M
05801_p2_L02	69	135	M
05801_p2_L02	70	=argent	M
05801_p2_L02	71	330	L
05801_p2_L02	72	82	M
05801_p2_L02	73	34	M
05801_p2_L02	74	78	M
05801_p2_L02	75	84	M
05801_p2_L02	76	79	M
05801_p2_L02	77	23	M
05801_p2_L02	78	84	M
05801_p2_L02	79	83	M
05801_p2_L02	80	83	M
05801_p2_L02	81	132	H
05801_p2_L02	82	192	L
05801_p2_L02	83	82	M
05801_p2_L02	84	9	M
05801_p2_L02	85	32	M
05801_p2_L02	86	23	M
05801_p2_L02	87	82	M
05801_p2_L02	88	22	M
05801_p2_L02	89	3	M
05801_p2_L02	90	27	M
05801_p2_L02	91	62	L
05801_p2_L02	92	331	M
05801_p2_L02	93	=que	M
05801_p2_L02	94	90	M
05801_p2_L02	95	102	M
05801_p2_L02	96	30	M
05801_p2_L02	97	82	L
05801_p2_L02	98	=guere	M
05801_p2_L02	99	82	M
05801_p2_L02	100	42	L
05801_p2_L02	101	40	M
05801_p2_L02	102	22	M
05801_p2_L02	103	132	H
05801_p2_L02	104	85	M
05801_p2_L02	105	84	M
05801_p2_L02	106	2	M
05801_p2_L02	107	28	M
05801_p2_L02	108	32	M
05801_p2_L02	109	82	M
05801_p2_L02	110	2	M
05801_p2_L02	111	39	M
05801_p2_L02	112	113	M
05801_p2_L02	113	81	M
05801_p2_L02	114	62	L
05801_p2_L02	115	87	L
05801_p2_L02	116	98	L
05801_p2_L02	117	82	M
05801_p2_L02	118	25	M
05801_p2_L03	1	106	L
05801_p2_L03	2	83	M
05801_p2_L03	3	47	M
05801_p2_L03	4	3	M
05801_p2_L03	5	39	M
05801_p2_L03	6	54	M
05801_p2_L03	7	90	M
05801_p2_L03	8	27	M
05801_p2_L03	9	7	M
05801_p2_L03	10	30	M
05801_p2_L03	11	31	M
05801_p2_L03	12	84	M
05801_p2_L03	13	92	M
05801_p2_L03	14	27	M
05801_p2_L03	15	132	H
05801_p2_L03	16	140	M
05801_p2_L03	17	49	M
05801_p2_L03	18	55	M
05801_p2_L03	19	81	M
05801_p2_L03	20	2	M
05801_p2_L03	21	26	M
05801_p2_L03	22	82	M
05801_p2_L03	23	92	M
05801_p2_L03	24	86	M
05801_p2_L03	25	61	M
05801_p2_L03	26	101	M
05801_p2_L03	27	22	M
05801_p2_L03	28	82	M
05801_p2_L03	29	132	H
05801_p2_L03	30	195	M
05801_p2_L03	31	7	M
05801_p2_L03	32	132	H
05801_p2_L03	33	195	M
05801_p2_L03	34	57	M
05801_p2_L03	35	2	M
05801_p2_L03	36	132	H
05801_p2_L03	37	11	M
05801_p2_L03	38	3	M
05801_p2_L03	39	32	M
05801_p2_L03	40	125	M
05801_p2_L03	41	126	M
05801_p2_L03	42	59	M
05801_p2_L03	43	70	M
05801_p2_L03	44	30	M
05801_p2_L03	45	132	H
05801_p2_L03	46	190	M
05801_p2_L03	47	82	M
05801_p2_L03	48	24	M
05801_p2_L03	49	7	M
05801_p2_L03	50	37	M
05801_p2_L03	51	39	M
05801_p2_L03	52	6	M
05801_p2_L03	53	9	M
05801_p2_L03	54	27	M
05801_p2_L03	55	105	M
05801_p2_L03	56	72	M
05801_p2_L03	57	52	L
05801_p2_L03	58	132	H
05801_p2_L03	59	126	M
05801_p2_L03	60	131	M
05801_p2_L03	61	58	M
05801_p2_L03	62	24	M
05801_p2_L03	63	132	H
05801_p2_L03	64	9	M
05801_p2_L03	65	5	M
05801_p2_L03	66	27	M
05801_p2_L03	67	81	M
05801_p2_L03	68	102	M
05801_p2_L03	69	113	M
05801_p2_L03	70	129	M
05801_p2_L03	71	83	M
05801_p2_L03	72	111	M
05801_p2_L03	73	112	M
05801_p2_L03	74	83	M
05801_p2_L03	75	26	M
05801_p2_L03	76	132	H
05801_p2_L03	77	87	L
05801_p2_L03	78	62	M
