line	position	sign	confidence	alt	why
07205_p6_L01	1	10	M	B:-	gap
07205_p6_L01	2	10	M	B:-	gap
07205_p6_L01	3	10	M	B:-	gap
07205_p6_L01	4	13	M	B:07	differ
07205_p6_L01	5	16	M		agree-flagged
07205_p6_L01	6	9	M		agree-flagged
07205_p6_L01	7	11	M		agree-flagged
07205_p6_L01	8	34	M		agree-flagged
07205_p6_L01	9	112	M		agree-flagged
07205_p6_L01	10	7	M	B:-	gap
07205_p6_L01	11	1	M		agree-flagged
07205_p6_L01	12	31	M		agree-flagged
07205_p6_L01	13	140	M	A:-	gap
07205_p6_L01	14	80	M	B:70	differ
07205_p6_L01	15	81	M		agree-flagged
07205_p6_L01	16	32	M		agree-flagged
07205_p6_L01	17	121	M		agree-flagged
07205_p6_L01	18	33	M		agree-flagged
07205_p6_L01	19	82	M	B:2	differ
07205_p6_L01	20	22	M		agree-flagged
07205_p6_L01	21	78	M		agree-flagged
07205_p6_L01	22	83	M		agree-flagged
07205_p6_L01	23	80	M		agree-flagged
07205_p6_L01	24	89	M	B:-	gap
07205_p6_L01	25	131	M	B:-	gap
07205_p6_L01	26	12	M	B:9	differ
07205_p6_L01	27	w:que	M	B:130	differ
07205_p6_L01	28	w:bien	M	B:11	differ
07205_p6_L01	29	w:affermer	M	B:w:quoy	differ
07205_p6_L01	30	w:apres	M	B:w:loy	differ
07205_p6_L01	31	w:laccordement	M	B:w:courues	differ
07205_p6_L01	32	w:bourguoingne	M	B:w:marquis	differ
07205_p6_L01	33	w:pourra	M	B:w:sur	differ
07205_p6_L01	34	w:retourner	M		agree-flagged
07205_p6_L01	35	w:aultres	M	A:-	gap
07205_p6_L01	36	w:aultresfois	M	B:w:foid	differ
07205_p6_L01	37	w:a	M		agree-flagged
07205_p6_L01	38	w:nostre	M	B:w:nous	differ
07205_p6_L01	39	w:pris	M	B:w:prier	differ
07205_p6_L01	40	w:ainsi	M		agree-flagged
07205_p6_L01	41	w:que	M		agree-flagged
07205_p6_L01	42	w:par	M		agree-flagged
07205_p6_L01	43	w:ma	M		agree-flagged
07205_p6_L01	44	w:derniere	M	A:-	gap
07205_p6_L01	45	w:lettre	M		agree-flagged
07205_p6_L01	46	w:han	M	B:-	gap
07205_p6_L01	47	w:faict	M		agree-flagged
07205_p6_L01	48	137	M	B:13	differ
07205_p6_L01	49	129	M		agree-flagged
07205_p6_L01	50	120	M		agree-flagged
07205_p6_L01	51	82	M		agree-flagged
07205_p6_L01	52	39	M		agree-flagged
07205_p6_L01	53	9	M		agree-flagged
07205_p6_L01	54	87	M		agree-flagged
07205_p6_L01	55	112	M		agree-flagged
07205_p6_L01	56	6	M	B:0	differ
07205_p6_L01	57	104	M		agree-flagged
07205_p6_L01	58	22	M		agree-flagged
07205_p6_L01	59	82	M		agree-flagged
07205_p6_L01	60	1	M		agree-flagged
07205_p6_L01	61	79	M		agree-flagged
07205_p6_L01	62	102	M		agree-flagged
07205_p6_L01	63	11	M		agree-flagged
07205_p6_L01	64	104	M		agree-flagged
07205_p6_L01	65	93	M		agree-flagged
07205_p6_L01	66	81	M		agree-flagged
07205_p6_L01	67	71	M		agree-flagged
07205_p6_L01	68	82	M		agree-flagged
07205_p6_L01	69	81	M	B:61	differ
07205_p6_L01	70	37	M		agree-flagged
07205_p6_L01	71	37	M		agree-flagged
07205_p6_L01	72	23	M		agree-flagged
07205_p6_L01	73	82	M	B:62	differ
07205_p6_L01	74	52	M		agree-flagged
07205_p6_L01	75	81	M		agree-flagged
07205_p6_L01	76	32	M		agree-flagged
07205_p6_L01	77	34	M		agree-flagged
07205_p6_L01	78	10	M		agree-flagged
07205_p6_L01	79	38	M		agree-flagged
07205_p6_L01	80	31	M		agree-flagged
07205_p6_L01	81	7	M	B:-	gap
07205_p6_L01	82	38	M		agree-flagged
07205_p6_L01	83	37	M		agree-flagged
07205_p6_L01	84	84	M		agree-flagged
07205_p6_L01	85	21	M		agree-flagged
07205_p6_L01	86	3	M		agree-flagged
07205_p6_L01	87	84	M		agree-flagged
07205_p6_L01	88	119	M		agree-flagged
07205_p6_L02	1	36	M	B:-	gap
07205_p6_L02	2	38	M	B:-	gap
07205_p6_L02	3	33	M	B:94	differ
07205_p6_L02	4	81	M	B:58	differ
07205_p6_L02	5	17	M	B:65	differ
07205_p6_L02	6	82	M		agree-flagged
07205_p6_L02	7	2	M	B:72	differ
07205_p6_L02	8	31	M		agree-flagged
07205_p6_L02	9	14	M	B:84	differ
07205_p6_L02	10	82	M		agree-flagged
07205_p6_L02	11	2	M		agree-flagged
07205_p6_L02	12	77	M	B:29	differ
07205_p6_L02	13	85	M		agree-flagged
07205_p6_L02	14	23	M		agree-flagged
07205_p6_L02	15	31	M		agree-flagged
07205_p6_L02	16	8	M		agree-flagged
07205_p6_L02	17	37	M		agree-flagged
07205_p6_L02	18	32	M		agree-flagged
07205_p6_L02	19	113	M		agree-flagged
07205_p6_L02	20	81	M		agree-flagged
07205_p6_L02	21	28	M	B:26	differ
07205_p6_L02	22	32	M		agree-flagged
07205_p6_L02	23	61	M	B:101	differ
07205_p6_L02	24	83	M		agree-flagged
07205_p6_L02	25	79	M		agree-flagged
07205_p6_L02	26	84	M		agree-flagged
07205_p6_L02	27	39	M		agree-flagged
07205_p6_L02	28	9	M		agree-flagged
07205_p6_L02	29	80	M	A:-	gap
07205_p6_L02	30	121	M	A:-	gap
07205_p6_L02	31	15	M	A:-	gap
07205_p6_L02	32	60	M	B:55	differ
07205_p6_L02	33	12	M	B:85	differ
07205_p6_L02	34	66	M		agree-flagged
07205_p6_L02	35	188	M		agree-flagged
07205_p6_L02	36	87	M		agree-flagged
07205_p6_L02	37	4	M		agree-flagged
07205_p6_L02	38	10	M	B:104	differ
07205_p6_L02	39	24	M		agree-flagged
07205_p6_L02	40	84	M		agree-flagged
07205_p6_L02	41	27	M		agree-flagged
07205_p6_L02	42	12	M		agree-flagged
07205_p6_L02	43	62	M	B:52	differ
07205_p6_L02	44	24	M		agree-flagged
07205_p6_L02	45	70	M		agree-flagged
07205_p6_L02	46	82	M		agree-flagged
07205_p6_L02	47	114	M		agree-flagged
07205_p6_L02	48	61	M	B:81	differ
07205_p6_L02	49	81	M		agree-flagged
07205_p6_L02	50	31	M		agree-flagged
07205_p6_L02	51	28	M		agree-flagged
07205_p6_L02	52	102	M		agree-flagged
07205_p6_L02	53	82	M		agree-flagged
07205_p6_L02	54	2	M		agree-flagged
07205_p6_L02	55	22	M		agree-flagged
07205_p6_L02	56	103	M		agree-flagged
07205_p6_L02	57	81	M		agree-flagged
07205_p6_L02	58	9	M		agree-flagged
07205_p6_L02	59	35	M	B:36	differ
07205_p6_L02	60	8	M		agree-flagged
07205_p6_L02	61	37	M		agree-flagged
07205_p6_L02	62	25	M	B:26	differ
07205_p6_L02	63	80	M		agree-flagged
07205_p6_L02	64	82	M		agree-flagged
07205_p6_L02	65	22	M		agree-flagged
07205_p6_L02	66	83	M		agree-flagged
07205_p6_L02	67	57	M		agree-flagged
07205_p6_L02	68	18	M		agree-flagged
07205_p6_L02	69	39	M		agree-flagged
07205_p6_L02	70	82	M		agree-flagged
07205_p6_L02	71	112	M		agree-flagged
07205_p6_L02	72	16	M		agree-flagged
07205_p6_L02	73	38	M		agree-flagged
07205_p6_L02	74	85	M	B:80	differ
07205_p6_L02	75	64	M		agree-flagged
07205_p6_L02	76	29	M		agree-flagged
07205_p6_L02	77	28	M		agree-flagged
07205_p6_L02	78	3	M		agree-flagged
07205_p6_L02	79	5	M	A:-	gap
07205_p6_L02	80	40	M	A:-	gap
07205_p6_L02	81	15	M	A:-	gap
07205_p6_L02	82	41	M	A:-	gap
07205_p6_L02	83	158	M	B:8	differ
07205_p6_L02	84	20	M		agree-flagged
07205_p6_L02	85	112	M		agree-flagged
07205_p6_L02	86	3	M		agree-flagged
07205_p6_L02	87	82	M		agree-flagged
07205_p6_L02	88	129	M	B:127	differ
07205_p6_L02	89	105	M		agree-flagged
07205_p6_L02	90	9	M		agree-flagged
07205_p6_L02	91	2	M		agree-flagged
07205_p6_L02	92	72	M		agree-flagged
07205_p6_L02	93	33	M		agree-flagged
07205_p6_L02	94	82	M		agree-flagged
07205_p6_L02	95	115	M	B:113	differ
07205_p6_L02	96	82	M		agree-flagged
07205_p6_L02	97	1	M		agree-flagged
07205_p6_L02	98	32	M		agree-flagged
07205_p6_L02	99	139	M		agree-flagged
07205_p6_L02	100	17	M		agree-flagged
07205_p6_L02	101	38	M		agree-flagged
07205_p6_L02	102	84	M		agree-flagged
07205_p6_L02	103	112	M		agree-flagged
07205_p6_L02	104	28	M		agree-flagged
07205_p6_L02	105	82	M		agree-flagged
07205_p6_L02	106	74	M		agree-flagged
07205_p6_L02	107	18	M	A:-	gap
07205_p6_L02	108	55	M	A:-	gap
07205_p6_L02	109	101	M	A:-	gap
07205_p6_L02	110	11	M	A:-	gap
07205_p6_L02	111	13	M	B:138	differ
07205_p6_L02	112	23	M		agree-flagged
07205_p6_L02	113	28	M	B:26	differ
07205_p6_L02	114	40	M		agree-flagged
07205_p6_L02	115	28	M		agree-flagged
07205_p6_L02	116	54	M	B:84	differ
07205_p6_L02	117	40	M		agree-flagged
07205_p6_L02	118	8	M		agree-flagged
07205_p6_L02	119	28	M	B:2	differ
07205_p6_L02	120	29	M		agree-flagged
07205_p6_L02	121	123	M		agree-flagged
07205_p6_L02	122	28	M		agree-flagged
07205_p6_L02	123	82	M		agree-flagged
07205_p6_L02	124	39	M	B:139	differ
07205_p6_L02	125	21	M		agree-flagged
07205_p6_L02	126	81	M		agree-flagged
07205_p6_L02	127	120	M		agree-flagged
07205_p6_L02	128	81	M		agree-flagged
07205_p6_L02	129	32	M		agree-flagged
