# Generated by tools/decode_key.py from ciphertext_5797.tsv + key_full.tsv (AX-NAMES2, 26 Sept 2026); do not edit.
# key_full.tsv = key.tsv + names.tsv rows licensed by the LANE AX re-gate (axnames/build_key_full.py); the key.tsv reading is reading_5797.txt, unchanged. tokens 73: H 2, C 15, S 0, M 41, I 3, U 12
p5_spot5 | {ist}·{gestern}
p5_spot3 | {Bey}[herzogvonsachsen]{und}[landgraf]·{ist}
p6_spot4 | ·zeuget{diesen}{morgen}h·{der}{hofnung}
p6_control_abso | {nicht}{allein}{von}[herzogvonalba]·abso
p7_spot2 | [pfaltzgraf]·{helt}{sich}{wol}
p7_spot6 | ··{ist}{willig}{und}{urbietig}{Ja}{hat}{ein}{verlangens}{und}{lusten}{dazu}{Dass}{er}mit·
p5_control_election | {das}election
p8_spot7 | ·{begert}{meiner}
p3_spot1_open | {So}{viel}{den}·secours·{und}entrepr{betrifft}
