line	idx	sign	value	grade
05799_p1_L04	4	41	a	M
05799_p1_L04	5	22	r	M
05799_p1_L04	6	98	e	M
05799_p1_L04	7	125	e	M
05799_p1_L04	8	116	e	M
05799_p1_L04	9	21	s	M
05799_p1_L04	10	107	e	M
05799_p1_L04	11	25	e	M
05799_p1_L04	12	60	e	M
05799_p1_L04	13	130	c	M
05799_p1_L04	14	140	s	M
05799_p1_L04	15	137	autan	M
05799_p1_L04	16	117	e	M
05799_p1_L04	17	98	e	M
05799_p1_L04	18	49	e	M
05799_p1_L04	19	52	d	M
05799_p1_L04	20	77	e	M
05799_p1_L04	21	69	e	M
05799_p1_L04	22	28	e	M
05799_p1_L04	23	99	e	M
05799_p1_L04	24	69	e	M
05799_p1_L04	25	99	e	M
05799_p1_L04	26	59	e	M
05799_p1_L05	1	127	d	M
05799_p1_L05	2	35	s	M
05799_p1_L05	3	100	e	M
05799_p1_L05	4	132	e	M
05799_p1_L05	5	48	m	M
05799_p1_L05	6	54	e	M
05799_p1_L05	7	67	e	M
05799_p1_L05	8	37	s	M
05799_p1_L05	9	119	e	M
05799_p1_L05	10	129	e	M
05799_p1_L05	11	95	n	M
05799_p1_L05	12	117	e	M
05799_p1_L05	13	78	e	M
05799_p1_L05	14	39	u	M
05799_p1_L05	15	99	e	M
05799_p1_L05	16	135	d	M
05799_p1_L05	17	52	d	M
05799_p1_L05	18	22	r	M
05799_p1_L05	19	125	e	M
05799_p1_L05	20	56	u	M
05799_p1_L05	21	52	d	M
05799_p1_L05	22	58	m	M
05799_p1_L05	23	132	e	M
05799_p1_L05	24	126	e	M
05799_p1_L06	3	139	t	M
05799_p1_L06	4	66	n	M
05799_p1_L06	5	96	i	H
05799_p1_L06	6	61	e	M
05799_p1_L06	7	97	e	M
05799_p1_L06	8	98	e	M
05799_p1_L06	9	39	u	M
05799_p1_L06	10	100	e	M
05799_p1_L06	11	23	d	M
05799_p1_L06	12	38	u	M
05799_p1_L06	13	123	e	M
05799_p1_L06	14	128	de	M
05799_p1_L06	15	117	e	M
05799_p1_L06	16	22	r	M
05799_p1_L06	17	37	s	M
05799_p1_L06	18	52	d	M
05799_p1_L06	19	77	e	M
05799_p1_L06	20	27	e	M
05799_p1_L06	21	135	d	M
05799_p1_L06	22	126	e	M
05799_p1_L06	23	97	e	M
05799_p1_L06	24	32	e	M
05799_p1_L07	1	107	e	M
05799_p1_L07	2	37	s	M
05799_p1_L07	3	77	e	M
05799_p1_L07	4	26	t	M
05799_p1_L07	5	118	d	M
05799_p1_L07	6	24	t	M
05799_p1_L07	7	125	e	M
05799_p1_L07	8	105	o	M
05799_p1_L07	9	53	e	M
05799_p1_L07	10	57	i	M
05799_p1_L07	11	29	r	M
05799_p1_L07	12	97	e	M
05799_p1_L07	13	124	e	M
05799_p1_L07	14	125	e	M
05799_p1_L07	15	46	n	M
05799_p1_L07	16	120	e	M
05799_p1_L07	17	67	e	M
05799_p1_L07	18	118	d	M
05799_p1_L07	19	27	e	M
05799_p1_L07	20	77	e	M
05799_p1_L07	21	58	m	M
05799_p1_L07	22	124	e	M
05799_p1_L07	23	42	e	M
05799_p1_L07	24	21	s	M
05799_p1_L07	25	78	e	M
05799_p1_L07	26	67	e	M
05799_p1_L08	1	22	r	M
05799_p1_L08	2	52	d	M
05799_p1_L08	3	24	t	M
05799_p1_L08	4	67	e	M
05799_p1_L08	5	52	d	M
05799_p1_L08	6	77	e	M
05799_p1_L08	7	29	r	M
05799_p1_L08	8	127	d	M
05799_p1_L08	9	120	e	M
05799_p1_L08	10	38	u	M
05799_p1_L08	11	90	n	M
05799_p1_L08	12	80	e	M
05799_p1_L08	13	34	i	M
05799_p1_L08	14	30	e	M
05799_p1_L08	15	99	e	M
05799_p1_L08	16	39	u	M
05799_p1_L08	17	67	e	M
05799_p1_L08	18	98	e	M
05799_p1_L08	19	103	e	M
05799_p1_L08	20	24	t	M
05799_p1_L08	21	107	e	M
05799_p1_L08	22	127	d	M
05799_p1_L08	23	67	e	M
05799_p1_L08	24	99	e	M
05799_p1_L08	25	128	de	M
05799_p1_L09	1	47	e	M
05799_p1_L09	2	77	e	M
05799_p1_L09	3	77	e	M
05799_p1_L09	4	118	d	M
05799_p1_L09	5	58	m	M
05799_p1_L09	6	30	e	M
05799_p1_L09	8	110	?	U
05799_p1_L09	9	55	e	M
05799_p1_L09	10	62	e	M
05799_p1_L09	11	65	t	M
05799_p1_L09	12	119	e	M
05799_p1_L09	13	58	m	M
05799_p1_L09	14	102	t	M
05799_p1_L09	15	117	e	M
05799_p1_L09	16	58	m	M
05799_p1_L09	17	27	e	M
05799_p1_L09	18	124	e	M
05799_p1_L09	19	101	s	M
05799_p1_L09	20	100	e	M
05799_p1_L09	21	130	c	M
05799_p1_L09	22	94	?	U
05799_p1_L09	23	117	e	M
05799_p1_L09	24	78	e	M
05799_p1_L09	25	39	u	M
05799_p1_L09	26	98	e	M
05799_p1_L10	1	86	n	M
05799_p1_L10	2	96	i	H
05799_p1_L10	3	62	e	M
05799_p1_L10	4	98	e	M
05799_p1_L10	5	35	s	M
05799_p1_L10	6	64	e	M
05799_p1_L10	7	98	e	M
05799_p1_L10	8	126	e	M
05799_p1_L10	15	126	e	M
05799_p1_L10	16	132	e	M
05799_p1_L10	17	47	e	M
05799_p1_L10	18	120	e	M
05799_p1_L10	19	79	e	M
05799_p1_L10	20	15	e	M
05799_p1_L10	21	135	d	M
05799_p1_L10	22	137	autan	M
05799_p1_L11	1	60	e	M
05799_p1_L11	2	10	r	H
05799_p1_L11	3	101	s	M
05799_p1_L11	4	117	e	M
05799_p1_L11	5	46	n	M
05799_p1_L11	6	50	s	M
05799_p1_L11	7	54	e	M
05799_p1_L11	8	78	e	M
05799_p1_L11	9	59	e	M
05799_p1_L11	10	29	r	M
05799_p1_L11	11	100	e	M
05799_p1_L11	12	64	e	M
05799_p1_L11	13	99	e	M
05799_p1_L11	14	58	m	M
05799_p1_L11	15	29	r	M
05799_p1_L11	16	126	e	M
05799_p1_L11	17	125	e	M
05799_p1_L11	18	137	autan	M
05799_p1_L14	16	3	e	M
05799_p1_L15	3	1573	?	U
