line	idx	sign	value	grade
p1_r01	3	?	?	U
p1_r01	7	?	?	U
p1_r01	12	?	?	U
p1_r01	13	?	?	U
p1_r01	14	?	?	U
p1_r01	20	?	?	U
p1_r01	21	?	?	U
p1_r01	1001	?	?	U
p1_r02	4	?	?	U
p1_r02	5	?	?	U
p1_r02	6	?	?	U
p1_r02	8	?	?	U
p1_r03	8	?	?	U
p1_r02	14	?	?	U
p1_r03	15	?	?	U
p1_r03	4	?	?	U
p1_r03	7	?	?	U
p1_r03	8	?	?	U
p1_r03	10	?	?	U
p1_r03	13	150	best	M
p1_r03	14	141	e	M
p1_r03	15	54	e	M
p1_r03	16	38	u	M
p1_r03	17	26	t	M
p1_r03	18	62	e	M
p1_r03	19	22	r	M
p1_r03	20	68	e	M
p1_r03	21	81	e	M
p1_r03	22	27	e	M
p1_r03	23	47	e	M
p1_r03	24	29	r	M
p1_r03	25	149	n	M
p1_r03	26	65	t	M
p1_r03	27	6	e	M
p1_r03	28	25	e	M
p1_r03	1001	?	?	U
p1_r04	1	78	e	M
p1_r04	2	111	e	M
p1_r04	3	42	e	M
p1_r04	4	30	e	M
p1_r04	5	12	e	M
p1_r04	6	67	e	M
p1_r04	7	26	t	M
p1_r04	8	12	e	M
p1_r04	9	88	r	M
p1_r04	10	77	e	M
p1_r04	11	116	e	M
p1_r04	12	?	?	U
p1_r04	13	31	i	M
p1_r04	14	33	e	M
p1_r04	15	69	e	M
p1_r04	16	36	e	M
p1_r04	17	81	e	M
p1_r04	18	27	e	M
p1_r04	19	47	e	M
p1_r04	20	28	e	M
p1_r04	21	42	e	M
p1_r04	22	2	a	M
p1_r04	23	31	i	M
p1_r04	24	62	e	M
p1_r04	25	14	a	M
p1_r04	26	68	e	M
p1_r04	27	4	d	M
p1_r05	1	72	e	M
p1_r05	2	12	e	M
p1_r05	3	276	?	U
p1_r05	4	?	?	U
p1_r05	6	?	?	U
p1_r05	7	?	?	U
p1_r05	8	81	e	M
p1_r05	9	32	e	M
p1_r05	10	150	best	M
p1_r05	11	71	a	M
p1_r05	12	2	a	M
p1_r05	13	26	t	M
p1_r05	14	14	a	M
p1_r05	15	38	u	M
p1_r05	16	66	n	M
p1_r05	17	77	e	M
p1_r05	18	42	e	M
p1_r05	19	40	s	M
p1_r05	20	27	e	M
p1_r05	21	?	?	U
p1_r05	22	9	e	M
p1_r05	23	4	d	M
p1_r05	24	27	e	M
p1_r06	1	85	u	M
p1_r06	2	117	e	M
p1_r06	3	59	e	M
p1_r06	4	25	e	M
p1_r06	5	77	e	M
p1_r06	6	84	o	M
p1_r06	7	127	d	M
p1_r06	8	138	e	M
p1_r06	9	73	n	M
p1_r06	10	42	e	M
p1_r06	11	77	e	M
p1_r06	12	118	d	M
p1_r06	13	12	e	M
p1_r06	14	28	e	M
p1_r06	15	63	e	M
p1_r06	16	79	e	M
p1_r06	17	39	u	M
p1_r06	18	?	?	U
p1_r06	19	61	e	M
p1_r06	20	9	e	M
p1_r06	21	40	s	M
p1_r06	22	4	d	M
p1_r06	23	12	e	M
p1_r06	24	83	r	M
p1_r06	25	3	e	M
p1_r06	26	83	r	M
p1_r07	1	16	n	M
