line	pos	sign	value	grade
f66_L07	1	8+	tous	H
f66_L07	2	L	f	H
f66_L07	3	I	?	U
f66_L07	4	ls	m	M
f66_L07	5	x	a	M
f66_L07	6	g	de|f	M
f66_L07	7	pi	o	H
f66_L07	8	7	p|s	M
f66_L07	9	dbl	n|m	M
f66_L07	10	inT	n	H
f66_L07	11	2	sa	H
f66_L07	12	4	x|i	M
f66_L07	13	A	?	U
f66_L07	14	T	n	M
f66_L07	15	pl	so	M
f66_L07	16	1	n	M
f66_L07	17	o	a	H
f66_L07	18	dbl	n|m	M
f66_L07	19	u	u	M
f66_L07	20	9	e|do	M
f66_L07	21	2	sa	M
f66_L07	22	4	x|i	M
f66_L07	23	v+	p	M
f66_L07	24	e	e|to	M
f66_L07	25	4+	bien	M
f66_L07	26	g	de|f	M
f66_L07	27	lam	la	H
f66_L07	28	alpha	co	M
f66_L07	29	inT	n	H
f66_L07	30	x	a	M
f66_L07	31	pl	so	M
f66_L07	32	x	a	H
f66_L07	33	o	a	H
f66_L07	34	4+	bien	M
f66_L07	35	X	o	M
f66_L07	36	T	n	M
f66_L07	37	n	et	M
f66_L07	38	pl	so	M
f66_L07	39	h	?	U
f66_L07	40	6	di|s	M
f66_L07	41	E	re	M
f66_L07	42	20	u	H
f66_L08	1	v	li|lo	M
f66_L08	2	n	et	M
f66_L08	3	4	x|i	M
f66_L08	4	dbl	n|m	M
f66_L08	5	j	?	U
f66_L08	6	7	p|s	M
f66_L08	7	h	?	U
f66_L08	8	++	u	M
f66_L08	9	y	s	H
f66_L08	10	5'	?	U
f66_L08	11	I	?	U
f66_L08	12	j	?	U
f66_L08	13	X	o	M
f66_L08	14	r	s	M
f66_L08	15	d	be|a	M
f66_L08	16	4+	bien	M
f66_L08	17	b	s	M
f66_L08	18	2	sa	M
f66_L08	19	dbl	n|m	M
f66_L09	1	+	nostre	M
f66_L09	2	o	a	M
f66_L09	3	6	di|s	M
f66_L09	4	x	a	H
f66_L09	5	X	o	M
f66_L09	6	g	de|f	M
f66_L09	7	E	re	H
f66_L09	8	r	s	H
f66_L09	9	o	a	H
f66_L09	10	T	n	M
f66_L09	11	///	r	M
f66_L09	12	q	te	H
f66_L09	13	y	s	H
f66_L09	14	pl	so	M
f66_L09	15	dbl	n|m	M
f66_L09	16	4	x|i	M
f66_L09	17	alpha	co	M
f66_L09	18	r	s	M
f66_L09	19	X	o	M
f66_L09	20	T	n	M
f66_L09	21	8	t	M
f66_L09	22	lam	la	M
f66_L09	23	r	s	H
f66_L09	24	o	a	H
f66_L09	25	dbl	n|m	M
f66_L09	26	s	n	M
f66_L09	27	5'	?	U
f66_L09	28	c	s|a	M
f66_L09	29	del	a	H
f66_L09	30	v	li|lo	M
f66_L09	31	n	et	M
f66_L09	32	dbl	n|m	M
f66_L09	33	y	s	H
f66_L09	34	q	te	H
f66_L09	35	pl	so	M
f66_L09	36	v	li|lo	M
f66_L09	37	u	u	M
f66_L09	38	r	s	M
f66_L09	39	s	n	M
f66_L09	40	o	a	M
f66_L09	41	d	be|a	M
f66_L09	42	pl	so	M
f66_L09	43	X	o	M
f66_L10	1	alpha	co	M
f66_L10	2	o	a	H
f66_L10	3	n	et	M
f66_L10	4	6	di|s	M
f66_L10	5	q	te	H
f66_L10	6	g	de|f	M
f66_L10	7	c	s|a	M
f66_L10	8	9	e|do	M
f66_L10	9	7	p|s	M
f66_L10	10	f	e	M
f66_L10	11	d	be|a	M
f66_L10	12	o	a	H
f66_L10	13	pl	so	M
f66_L10	14	n	et	M
f66_L10	15	9	e|do	M
f66_L10	16	6	di|s	M
f66_L10	17	j	?	U
f66_L10	18	g	de|f	M
f66_L10	19	b	s	M
f66_L10	20	q	te	H
f66_L10	21	1	n	M
f66_L10	22	l	cu	H
f66_L10	23	x	a	H
f66_L10	24	E	re	H
f66_L10	25	X	o	M
f66_L10	26	X	o	M
f66_L10	27	q	te	H
f66_L10	28	1	n	M
f66_L10	29	pl	so	M
f66_L10	30	q	te	M
f66_L10	31	m+	?	U
f66_L10	32	9	e|do	M
f66_L10	33	g	de|f	M
f66_L10	34	g	de|f	M
f66_L10	35	+	nostre	M
f66_L10	36	o	a	H
f66_L10	37	r	s	M
f66_L10	38	V	lo	H
f66_L10	39	T	n	M
f66_L10	40	V+	g	M
f66_L11	1	dbl	n|m	M
f66_L11	2	v	li|lo	M
f66_L11	3	c	s|a	M
f66_L11	4	o	a	H
f66_L11	5	r	s	M
f66_L11	6	j	?	U
f66_L11	7	5'	?	U
f66_L11	8	n	et	M
f66_L11	9	2+	p|i	M
f66_L11	10	d	be|a	M
f66_L11	11	2+	p|i	M
f66_L11	12	del	a	H
f66_L11	13	2	sa	M
f66_L11	14	inT	n	M
f66_L11	15	l	cu	H
f66_L11	16	x	a	H
f66_L11	17	oo+	le Roy	M
f66_L11	18	d	be|a	M
f66_L13	1	g	de|f	M
f66_L13	2	u	u	M
f66_L13	3	j	?	U
f66_L13	4	5'	?	U
f66_L13	5	42	pe	H
f66_L13	6	//	c	M
f66_L13	7	v	li|lo	M
f66_L13	8	e	e|to	M
f66_L13	9	E	re	H
f66_L13	10	theta+	?	U
f66_L13	11	pl	so	M
f66_L13	12	1	n	M
f66_L13	13	4	x|i	M
f66_L13	14	X	o	M
f66_L13	15	T	n	M
f66_L13	16	pl	so	M
f66_L13	17	r	s	H
f66_L13	18	o	a	H
f66_L13	19	q	te	H
f66_L13	20	L	f	M
f66_L13	21	5'	?	U
f66_L13	22	tri+	Mr de Fresne	M
f66_L13	23	dbl	n|m	M
f66_L13	24	9	e|do	M
f66_L13	25	E	re	H
f66_L13	26	a	?	U
f66_L13	27	r	s	M
f66_L13	28	g	de|f	M
f66_L13	29	y	s	H
f66_L14	1	n	et	M
f66_L14	2	c	s|a	M
f66_L14	3	9	e|do	M
f66_L14	4	6	di|s	M
f66_L14	5	j	?	U
f66_L14	6	5'	?	U
f66_L14	7	9	e|do	M
f66_L14	8	dbl	n|m	M
f66_L14	9	7	p|s	M
f66_L14	10	9	e|do	M
f66_L14	11	L	f	M
f66_L15	1	y	s	H
f66_L15	2	g	de|f	M
f66_L15	3	n	et	M
f66_L15	4	T	n	M
f66_L15	5	1	n	M
f66_L15	6	o	a	H
f66_L15	7	v	li|lo	M
f66_L15	8	y	s	H
f66_L15	9	4+	bien	M
f66_L15	10	g	de|f	M
f66_L15	11	I	?	U
f66_L15	12	inT	n	H
f66_L15	13	1	n	M
f66_L15	14	12	du	H
f66_L15	15	oto	y	M
f66_L15	16	E	re	M
f66_L15	17	+o	le	M
f66_L15	18	y	s	H
f66_L15	19	9	e|do	M
f66_L15	20	6	di|s	M
f66_L15	21	9	e|do	M
f66_L15	22	9+	q	M
f66_L15	23	l	cu	H
f66_L15	24	x	a	H
f66_L15	25	x	a	H
f66_L15	26	e	e|to	M
f66_L15	27	m+	?	U
f66_L15	28	f	e	M
f66_L15	29	T	n	M
f66_L15	30	8	t	H
f66_L15	31	z	?	U
f66_L16	1	del	a	M
f66_L16	2	e	e|to	M
f66_L16	3	r	s	M
f66_L16	4	M	prelatz	H
f66_L16	5	=	d	M
f66_L16	6	1	n	M
f66_L16	7	d+	i	M
f66_L16	8	1	n	M
f66_L16	9	V	lo	H
f66_L16	10	inT	n	M
f66_L17	1	10	p	M
f66_L17	2	o	a	M
f66_L17	3	pl	so	M
f66_L17	4	5	comme	H
f66_L17	5	x	a	H
f66_L17	6	X	o	M
f66_L17	7	9	e|do	M
f66_L17	8	4+	bien	M
f66_L17	9	alpha	co	M
f66_L17	10	r	s	M
f66_L17	11	s	n	M
f66_L17	12	o	a	M
f66_L17	13	pl	so	M
f66_L17	14	c	s|a	M
f66_L17	15	I	?	U
f66_L17	16	4	x|i	M
f66_L17	17	inT	n	M
f66_L17	18	1	n	M
f66_L17	19	l	cu	M
f66_L17	20	4	x|i	M
f66_L17	21	n	et	M
f66_L17	22	50	ni	H
f66_L17	23	g	de|f	M
f66_L18	1	10	p	M
f66_L18	2	x	a	H
f66_L18	3	x	a	H
f66_L18	4	n	et	M
f66_L18	5	g	de|f	M
f66_L18	6	y	s	H
f66_L18	7	V	lo	H
f66_L18	8	del+	?	U
f66_L18	9	X	o	M
f66_L20	1	y	s	M
f66_L20	2	3	ri|z	M
f66_L20	3	L	f	M
f66_L20	4	o	a	H
f66_L20	5	e	e|to	M
f66_L20	6	X	o	M
f66_L20	7	y	s	H
f66_L20	8	9	e|do	M
f66_L20	9	7	p|s	M
f66_L20	10	q	te	H
f66_L20	11	r	s	M
f66_L20	12	alpha	co	M
f66_L20	13	T	n	M
f66_L20	14	tt	po	M
f66_L20	15	X	o	M
f66_L20	16	v	li|lo	M
f66_L20	17	w	fu|j'ay	M
f66_L20	18	4+	bien	M
f66_L20	19	f'	?	U
f66_L20	20	x	a	H
f66_L20	21	g	de|f	M
f66_L20	22	del	a	M
f66_L20	23	inT	n	M
f66_L20	24	j	?	U
f66_L20	25	T	n	M
f66_L21	1	X	o	M
f66_L21	2	9	e|do	M
f66_L21	3	E	re	M
f66_L21	4	I	?	U
f66_L21	5	T	n	M
f66_L21	6	L	f	H
f66_L21	7	E	re	H
f66_L21	8	X	o	M
