line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	f55r_01_001	1	59	174	37	51	y	4.021	0.60	f	
1	f55r_01_002	2	181	194	23	25	o.	4.113	1.00	o.	
1	f55r_01_003	3	193	193	34	50	y	2.081	1.00	y	
1	f55r_01_004	4	235	168	17	62	bh	2.077	1.00	bh	
1	f55r_01_005	5	259	169	43	60	e	3.243	1.00	e	
1	f55r_01_006	6	295	187	25	28	tee	2.447	0.59	_	
1	f55r_01_007	7	324	178	40	32	S7	3.132	0.72	S7	
1	f55r_01_008	8	353	196	55	16	w	1.871	1.00	w	
1	f55r_01_009	9	399	191	33	44	y	2.427	1.00	y	
1	f55r_01_010	10	432	190	25	25	lam	1.855	1.00	lam	
1	f55r_01_011	11	465	169	46	44	wd	3.503	1.00	wd	~
1	f55r_01_012	12	507	173	28	59	bh	2.423	1.00	bh	
1	f55r_01_013	13	524	160	42	82	g	2.344	1.00	g	
1	f55r_01_014	14	566	189	48	22	_	5.500	0.40	v	#
1	f55r_01_015	15	622	168	46	62	_	5.161	0.62	_	dot
1	f55r_01_016	16	662	188	60	38	nt	7.664	1.00	nt	
1	f55r_01_017	17	715	193	35	48	y	2.949	0.82	y	
1	f55r_01_018	18	760	172	42	57	e	4.147	1.00	e	
1	f55r_01_019	19	790	197	53	35	w	4.888	1.00	w	
1	f55r_01_020	20	849	189	22	29	S7	4.806	0.39	g	
1	f55r_01_021	21	877	168	46	43	Z	4.283	0.39	Z	dot
1	f55r_01_022	22	901	193	63	18	w	2.648	1.00	w	
1	f55r_01_023	23	973	180	45	32	H	3.315	1.00	H	5|1
1	f55r_01_024	24	1024	186	54	31	nt	3.573	1.00	nt	
1	f55r_01_025	25	1082	191	27	26	S7	2.761	1.00	S7	
1	f55r_01_026	26	1109	158	61	74	_	6.040	1.00	_	dot|#|~
1	f55r_01_027	27	1194	62	73	166	_	8.340	0.81	_	#|dot
1	f55r_01_028	28	1379	33	9	31	S	6.002	0.61	S	
1	f55r_01_029	29	1396	31	16	30	S	4.829	1.00	S	
2	f55r_02_001	1	178	251	48	55	e	4.578	1.00	e	
2	f55r_02_002	2	227	272	47	36	e	5.663	1.00	e	dot|#
2	f55r_02_003	3	280	269	39	34	#	4.989	1.00	#	dot|~
2	f55r_02_004	4	321	245	23	66	bh	1.420	1.00	bh	
2	f55r_02_005	5	346	275	26	31	S7	2.347	1.00	S7	
2	f55r_02_006	6	374	254	38	47	Z	4.083	1.00	Z	dot
2	f55r_02_007	7	429	252	43	53	e	4.074	1.00	e	
2	f55r_02_008	8	465	248	41	41	wd	3.146	1.00	wd	
2	f55r_02_009	9	491	269	40	46	y	2.140	1.00	y	
2	f55r_02_010	10	544	272	17	20	a	3.631	1.00	a	~
2	f55r_02_011	11	568	248	45	72	_	5.156	1.00	_	
2	f55r_02_012	12	611	240	29	76	bh	3.331	0.77	_	
2	f55r_02_013	13	644	271	18	20	a	4.245	1.00	a	1
2	f55r_02_014	14	680	271	18	20	a	4.870	1.00	a	1
2	f55r_02_015	15	704	270	14	25	S	3.935	1.00	S	
2	f55r_02_016	16	719	274	53	17	w	1.999	1.00	w	
2	f55r_02_017	17	773	265	48	20	rz	3.313	1.00	rz	
2	f55r_02_018	18	821	265	32	51	y	3.363	1.00	y	
