line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	f54r_01_001	1	85	0	271	242	_	7.313	1.00	_	#
1	f54r_01_002	2	387	0	266	172	_	5.626	1.00	_	
1	f54r_01_003	3	669	0	58	74	lam	4.407	0.38	g	
1	f54r_01_004	4	711	0	126	222	_	5.085	1.00	_	
1	f54r_01_005	5	810	94	91	132	g	3.734	0.58	y	1
1	f54r_01_006	6	945	36	103	126	p	4.105	1.00	p	
1	f54r_01_007	7	1024	91	93	80	_	5.142	0.39	dl	
1	f54r_01_008	8	1095	0	59	72	lam	4.095	0.40	lam	
1	f54r_01_009	9	1158	109	35	50	_	5.511	0.82	_	
1	f54r_01_010	10	1177	23	119	166	psi	5.837	0.62	_	
1	f54r_01_011	11	1265	68	93	94	+	4.073	0.79	Z	
1	f54r_01_012	12	1351	37	197	147	_	4.836	1.00	_	
1	f54r_01_013	13	1590	87	73	74	[	4.191	1.00	[	
1	f54r_01_014	14	1660	18	68	241	bh	2.152	0.81	bh	
1	f54r_01_015	15	1731	101	175	51	rz	4.920	0.81	rz	
1	f54r_01_016	16	1918	82	92	73	U	3.737	1.00	U	
1	f54r_01_017	17	1970	92	101	152	y	4.736	0.81	y	
1	f54r_01_018	18	2077	92	190	122	nt	2.987	0.54	_	
1	f54r_01_019	19	2274	86	84	73	[	5.575	0.60	[	
1	f54r_01_020	20	2353	22	69	183	bh	1.519	1.00	bh	
1	f54r_01_021	21	2450	83	99	74	sq	4.934	0.81	sq	ot
1	f54r_01_022	22	2530	87	99	143	psi	2.780	1.00	psi	
1	f54r_01_023	23	2623	73	73	87	lam	2.840	1.00	lam	o
1	f54r_01_024	24	2736	89	51	86	eps	4.906	1.00	eps	5
1	f54r_01_025	25	2799	83	163	172	nt	7.569	0.63	_	
1	f54r_01_026	26	2950	92	68	75	[	3.941	1.00	[	
2	f54r_02_001	1	250	314	135	57	rz	3.137	1.00	rz	
2	f54r_02_002	2	367	323	65	102	g	3.221	1.00	g	~
2	f54r_02_003	3	481	324	101	49	m	2.914	1.00	m	~
2	f54r_02_004	4	593	337	141	39	w	2.009	1.00	w	
2	f54r_02_005	5	727	412	24	49	_	2.568	1.00	_	
2	f54r_02_006	6	765	249	105	120	L	3.936	1.00	L	
2	f54r_02_007	7	848	318	78	93	g	2.685	1.00	g	~
2	f54r_02_008	8	977	307	56	64	o.	5.538	1.00	o.	
2	f54r_02_009	9	1035	316	60	66	S7	3.611	1.00	S7	
2	f54r_02_010	10	1085	300	68	72	lam	3.685	1.00	lam	dot
