line	pos	code	marks	grade
1	1	_		AB
1	2	_		AB
1	3	_		AB
1	4	_		AB
1	5	_		AB
1	6	S4		AB
1	7	dl		AB
1	8	phi		settled
1	8.5	g	+	settled
1	9	v	5|1	AB
1	10	_		AB
1	11	y		AB
1	12	nt		AB
1	13	bh		AB
1	14	w	dot	AB
1	15	e		AB
1	16	eps	5	AB
1	17	S7		AB
1	18	p		AB
1	19	g		AB
1	20	v	1|1	AB
1	21	m	1	AB
1	22	bh		AB
1	23	Z		AB
2	1	S7	+	AB
2	2	g	dot	AB
2	3	S4	~	AB
2	4	dl		AB
2	5	_		AB
2	6	_		settled
2	7	_		settled
2	8	_		settled
2	9	_		settled
2	10	_		settled
2	11	_		settled
2	12	_		settled
2	13	S4		AB
2	14	dl		AB
2	15	rz		AB
2	16	+		settled
2	17	w		AB
2	18	o.		settled
2	19	rz		AB
2	20	Z	~	AB
2	21	e		AB
2	22	wd		AB
2	23	y		AB
2	24	e	dot	AB
2	25	psi		AB
2	26	m	~	AB
3	1	L		AB
3	2	bh		AB
3	3	phi		AB
3	4	y		AB
3	5	+		settled
3	6	g		AB
3	7	]	o	AB
3	8	lam		AB
3	9	bh		AB
3	10	S7	#	AB
3	11	_	1	AB
3	12	_		settled
3	13	_		AB
3	14	_	dot	AB
3	15	_		AB
3	16	_		AB
3	17	_		AB
3	18	_		AB
3	19	_		AB
3	20	_		AB
3	21	_		AB
3	22	_		AB
3	23	_		AB
3	24	_		AB
3	25	_		settled
3	26	_		AB
4	1	_		AB
4	2	_		AB
4	3	_		settled
4	4	_		AB
4	5	_		AB
4	6	_		AB
4	7	_		AB
4	8	_		settled
4	9	_		AB
4	10	_		AB
4	11	bh		AB
4	12	S4		AB
4	13	Lx		AB
4	14	+		AB
4	15	lam		AB
4	16	nt	~	AB
4	17	y		AB
4	18	g		AB
4	19	eps		settled
4	20	_		settled
4	21	rz		AB
4	22	lam	#	AB
4	23	_		AB
4	24	_		AB
4	25	_		AB
4	26	_		AB
4	27	_		AB
4	28	ch		AB
4	29	sq	ot	AB
4	30	tee		AB
5	1	e	#	AB
5	2	wd		AB
5	3	y		AB
5	4	e	dot|+	AB
5	5	psi		AB
5	6	m	~	AB
5	7	S7		AB
5	8	g		AB
5	9	S7	#	AB
5	10	a		AB
5	11	S7	+	settled
5	12	]	o	AB
5	13	g		AB
5	14	[	~	AB
5	15	S7	+	AB
5	16	S4		AB
5	17	_		AB
5	18	_		AB
5	19	_		AB
5	20	_		AB
5	21	_		AB
5	22	_		AB
5	23	g	dot	settled
5	24	_		AB
5	25	_		AB
5	26	_		AB
5	27	_		AB
5	28	_		AB
5	29	eps		settled
6	1	_		AB
6	2	_		AB
6	3	_		AB
6	4	S7	dot	settled
6	5	S4		AB
6	6	rz		AB
6	7	tee		AB
6	8	m	1	AB
6	9	g		AB
6	10	S7	~	AB
6	11	lam		AB
6	12	e	#	AB
6	13	g		AB
6	14	lam		AB
6	15	rz		AB
6	16	S7	#	settled
6	17	m	~	AB
6	18	w		AB
6	19	L		AB
6	20	_		settled
6	21	bh		AB
6	22	phi		AB
6	23	]	o	AB
6	24	e		AB
6	25	lam	dot|dot	AB
7	1	e	+	AB
7	2	eps	5	AB
7	3	S7	#	AB
7	4	S7	#	AB
7	5	Z	dot|ot	AB
7	6	eps		AB
7	7	S7	~	AB
7	8	lam		AB
7	9	a	5|7	AB
7	10	]	o	AB
7	11	e	dot	AB
7	12	eps	1	AB
7	13	lam	7	settled
7	14	_		AB
7	15	m	3	settled
7	16	lam		AB
7	17	S7	1	AB
7	18	e		AB
7	19	e	dot	AB
7	20	#	dot|#	AB
7	21	_		AB
7	22	lam	5	AB
7	23	a		AB
7	24	S7		AB
7	25	]	o	AB
7	26	H	1	AB
7	27	tee		AB
7	28	K	1	AB
7	29	m	1|5	AB
7	30	_		settled
8	1	lam	5	AB
8	2	#	o	AB
8	3	wd		AB
8	4	bh		AB
8	5	y		AB
8	6	y		AB
8	7	psi		AB
8	8	y		AB
8	9	Z		AB
8	10	g	~	AB
8	11	S4		AB
8	12	dl		AB
8	13	H		AB
8	14	H	1|o	AB
8	15	v		settled
8	16	e		AB
8	17	a	1	AB
8	18	S7		AB
8	19	e	+	AB
8	20	S4		AB
8	21	_		AB
8	22	_		settled
8	23	_		AB
8	24	_		settled
8	25	_		AB
8	26	_		settled
8	27	_		AB
8	28	N		settled
8	29	_		AB
9	1	_		settled
9	2	_		settled
9	3	_		settled
9	4	_		AB
9	5	_	1|1	AB
9	6	_		AB
9	7	_		AB
9	8	ch		AB
9	9	S4		AB
9	10	dl		AB
9	11	tee		settled
9	12	Lx		AB
9	13	g		AB
9	14	S		settled
9	15	S7		AB
9	16	lam		AB
9	17	S7	~	AB
9	18	lam		AB
9	19	g	1	AB
9	20	_	1	AB
9	21	e	#	AB
9	22	wd		AB
9	23	y		AB
9	24	_	dot	AB
9	25	w		AB
9	26	#	#	AB
9	27	w		AB
9	28	_		AB
9	29	g		AB
10	1	]	o	settled
10	2	Lx		settled
10	3	g	1	AB
10	4	phi		settled
10	5	_		AB
10	6	lam	3	settled
10	7	bh		AB
10	8	S7		AB
10	9	#		AB
10	10	e		AB
10	11	wd		AB
10	12	bh		AB
10	13	y		AB
10	14	f		AB
10	15	f	5	AB
10	16	e		AB
10	17	Z		AB
10	18	y		AB
10	19	Lx		settled
