line	pos	code	marks	grade
1	1	L	dot|~	AB
1	2	S7		AB
1	3	y	dot|1|dot	AB
1	4	bh		AB
1	5	S7	#	AB
1	6	e		AB
1	7	tee	dot	AB
1	8	g		AB
1	9	bh	dot|dot|dot	AB
1	10	psi		AB
1	11	lam		AB
1	12	lam	5|1	AB
1	13	H	5	AB
1	14	y		AB
1	15	_		AB
1	16	U		settled
1	17	w		AB
1	18	bh		AB
1	19	a	~	AB
1	20	nt		AB
1	21	w		AB
1	22	m	~	AB
1	23	w		AB
1	24	_		AB
1	25	tee		AB
1	26	e	dot	AB
1	27	eps	dot|1	AB
1	28	U		settled
1	29	g		settled
2	1	g	dot|dot	AB
2	2	S7		AB
2	3	lam		AB
2	4	S4	~	AB
2	5	dl		AB
2	6	K		AB
2	7	_		AB
2	8	rz		AB
2	9	S7	+	AB
2	10	g		AB
2	11	a	1	AB
2	12	_		AB
2	13	e		AB
2	14	g	1	AB
2	15	U		AB
2	16	w		AB
2	17	rz		AB
2	18	psi		AB
2	19	lam	5	AB
2	20	phi		AB
2	21	[		AB
2	22	tee		AB
2	23	Z	#	AB
2	24	eps	~	AB
2	25	g		AB
2	26	y	~	AB
2	27	y		AB
2	28	g	7	AB
3	1	_		AB
3	2	eps	5	AB
3	3	w		AB
3	4	e		AB
3	5	lam	5	AB
3	6	_		AB
3	7	L		AB
3	8	g	~	AB
3	9	Z		AB
3	10	S7		AB
3	11	#	dot	settled
3	12	psi		AB
3	13	lam		AB
3	14	lam	5	AB
3	15	e	+	AB
3	16	H	#	AB
3	17	_		AB
3	18	w		AB
3	19	lam	?	AB
3	20	eps	7	AB
3	21	m	7	AB
3	22	S7		AB
3	23	w	dot|#	AB
3	24	S7		AB
3	25	_		AB
3	26	]	dot|o	AB
3	27	phi		AB
4	1	o.		AB
4	2	tee		AB
4	3	_		AB
4	4	_		AB
4	5	]	ot	AB
4	6	phi		AB
4	7	lam		AB
4	8	S		AB
4	9	bh		AB
4	10	lam		AB
4	11	rz		AB
4	12	a	5	AB
4	13	S7		AB
4	14	lam	7	AB
4	15	phi		AB
4	16	H	1|o	AB
4	17	m	~	AB
4	18	w		AB
4	19	]	o	AB
4	20	psi		AB
4	21	_		AB
4	22	_		AB
4	23	]	o|dot	AB
4	24	lam	1	AB
4	25	e		AB
4	26	_		AB
4	27	psi		AB
4	28	bh		AB
4	29	_		AB
4	30	_		AB
5	1	a	~	AB
5	2	_		AB
5	3	rz		AB
5	4	tee		AB
5	5	eps	1	AB
5	6	m	7	AB
5	7	lam		AB
5	8	S7	#	AB
5	9	e		AB
5	10	wd		AB
5	11	y		AB
5	12	_		AB
5	13	y		AB
5	14	_		AB
5	15	_		AB
5	16	S7		settled
5	17	]	o	AB
5	18	w		settled
5	19	nt		AB
5	20	y		AB
5	21	w		AB
5	22	e	dot	AB
5	23	y		AB
5	24	phi		AB
5	25	nt		AB
5	26	f		AB
6	1	eps	1	AB
6	2	_		AB
6	3	lam	1	AB
6	4	S7		AB
6	5	#		AB
6	6	e		AB
6	7	Z		AB
6	8	S7		AB
6	9	lam	~	AB
6	10	e		AB
6	11	w		AB
6	12	a	~	AB
6	13	eps	5	AB
6	14	S7		AB
6	15	L		AB
6	16	e		AB
6	17	S7		AB
6	18	lam		AB
6	19	H	1|o|~	AB
6	20	e		AB
6	21	_		AB
6	22	_		AB
6	23	e		AB
6	24	e		AB
6	25	_		AB
6	26	S4		AB
6	27	+		settled
7	1	eps		AB
7	2	_		settled
7	3	_		AB
7	4	_		AB
7	5	_		AB
7	6	_		AB
7	7	_		AB
7	8	_		AB
7	9	_		AB
7	10	_		AB
7	11	_		AB
7	12	_		AB
7	13	rz		AB
7	14	tee		AB
7	15	Z	dot	AB
7	16	Z		AB
7	17	w		AB
7	18	Z		AB
7	19	lam		AB
7	20	g	5	AB
7	21	Z		AB
7	22	H	5	AB
7	23	_		AB
7	24	_		AB
7	25	_		AB
7	26	_		AB
7	27	_		AB
8	1	_		AB
8	2	_		AB
8	3	_		settled
8	4	_		AB
8	5	_		AB
8	6	_		settled
8	7	_		settled
8	8	_		AB
8	9	_		AB
8	10	_		AB
8	11	_		AB
8	12	_		AB
8	13	_		AB
8	14	_		AB
8	15	_		settled
8	16	_		AB
8	17	_		AB
8	18	_		AB
8	19	_		settled
8	20	_		AB
8	21	_		settled
8	22	_		settled
8	23	_		AB
8	24	_		settled
8	25	_		AB
8	26	_		AB
8	27	L		settled
9	1	dl		AB
9	2	Lx		AB
9	3	[	dot	AB
9	4	S7		AB
9	5	_		AB
9	6	#	dot	settled
9	7	]		AB
9	8	w	dot|#	AB
9	9	y		AB
9	10	nt		AB
9	11	bh		AB
9	12	w		AB
9	13	e		AB
9	14	f		AB
9	15	w		AB
9	16	y		AB
9	17	nt		settled
9	17.5	S7		B-split
9	18	tee		AB
9	19	K		AB
9	20	phi		AB
9	21	_		AB
9	22	rz		AB
9	23	tee		AB
10	1	]		settled
10	2	y		AB
10	3	_		AB
10	4	g		AB
10	5	S7	1	AB
10	6	#	dot	AB
10	7	eps	5	settled
10	8	S7		AB
10	9	eps		settled
10	10	tee		AB
10	11	Lx		AB
10	12	e	#	AB
10	13	g	~	AB
10	14	y		AB
10	15	Z	ot	AB
10	16	S7		AB
10	17	lam		AB
10	18	H	o|1	AB
10	19	eps	#	AB
10	20	S7		AB
10	21	eps		AB
10	22	tee		settled
10	23	nt		AB
10	24	e		AB
10	25	S7	5	settled
11	1	Z	dot	AB
11	2	y		AB
11	3	nt		AB
11	4	bh		AB
11	5	Z		AB
11	6	S7		AB
11	7	p		AB
11	8	S		settled
11	9	phi		AB
11	10	_		settled
11	11	_		settled
11	12	_		AB
11	13	_		settled
11	14	_		settled
11	15	_		AB
11	16	_		AB
11	17	_		settled
11	18	_		AB
11	19	S4		AB
11	20	y		AB
11	21	S		AB
11	22	]	o	AB
11	23	eps	1	AB
11	24	m	7	AB
11	25	S		settled
11	25.5	lam		B-split
11	26	_		AB
12	1	L		AB
12	2	g		settled
12	3	[		AB
12	4	S7		AB
12	5	#		AB
12	6	w	1	AB
12	7	psi		AB
12	8	]	ot	AB
12	9	+		settled
12	10	e		AB
12	11	tee		AB
12	12	K		AB
12	13	g		AB
12	13.5	g		B-split
12	14	nt		AB
12	15	y		AB
12	16	S4		AB
12	17	Lx		AB
12	18	S		AB
12	19	_		AB
12	20	_		AB
12	21	_		AB
12	22	ch		AB
12	23	_		AB
12	24	N		AB
12	25	eps		AB
12	26	#		AB
12	27	p		AB
12	28	_		AB
13	1	_		AB
13	2	_		AB
13	3	eps		AB
13	4	tee		AB
13	5	_		AB
13	6	_		settled
13	7	_		AB
13	8	_		AB
13	9	+		AB
13	10	Lx		AB
13	11	y		AB
13	12	S		AB
13	13	]	o	AB
13	14	S7	dot|dot	AB
13	15	U		AB
13	16	w		AB
13	17	o.		AB
13	18	S7		AB
13	19	eps	7	settled
13	20	m	~	AB
13	21	phi		AB
13	22	y		AB
13	23	S		AB
13	24	]	o	AB
13	25	tee		AB
13	26	f		AB
13	27	w		settled
13	27.5	m		B-split
13	28	bh		AB
14	1	_		AB
14	2	_		settled
14	3	_		AB
14	4	_		settled
14	5	_		AB
14	6	_		AB
14	7	_		AB
14	8	_		settled
14	9	_		AB
14	10	_		AB
14	11	S4		AB
14	12	dl		AB
14	13	Lx		AB
14	14	H	o|1	AB
14	15	]	o	AB
14	16	g	5	AB
14	16.5	g		B-split
14	17	]		AB
14	18	g	ot	AB
14	19	psi		AB
14	20	e	#	AB
14	21	L	~	AB
14	22	g		AB
14	23	Z		AB
14	24	phi		AB
14	25	_		AB
15	1	bh		AB
15	2	_		AB
15	3	g		AB
15	4	Z	ot	AB
15	5	g		AB
15	6	tee		AB
15	7	Z		AB
15	8	H	1	AB
15	9	S4	o	AB
15	10	dl		AB
15	11	_		AB
15	12	_		settled
15	13	_		AB
15	14	_		AB
15	15	_		AB
15	16	_		AB
15	17	eps		AB
15	18	+		AB
15	19	_		AB
15	20	_		settled
15	21	eps		AB
15	22	+		AB
15	23	_		settled
15	24	_		AB
16	1	_		settled
16	2	_		settled
16	3	_		settled
16	4	_		AB
16	5	_		settled
16	6	_		AB
16	7	_		settled
16	8	_		settled
16	9	_		AB
16	10	_		settled
16	11	_		AB
16	12	_		AB
16	13	_		AB
16	14	_		AB
16	15	_		AB
16	16	_		AB
16	17	_		settled
16	18	_		AB
16	19	_		AB
16	20	_		AB
16	21	_		AB
16	22	_		settled
16	23	_		AB
16	24	_		AB
17	1	_		settled
17	2	_		AB
17	3	_		AB
17	4	_		AB
17	5	_		AB
17	6	_		AB
17	7	_		settled
17	8	_		settled
17	9	_		AB
17	10	_		AB
17	11	_		AB
17	12	_		settled
17	13	_		AB
17	14	_		AB
17	15	_		settled
17	16	_		settled
17	17	_		AB
17	18	_		AB
17	19	_		AB
18	1	S4		AB
18	2	dl		AB
18	3	+		AB
18	4	_		AB
18	5	y		AB
18	6	lam	1	AB
18	7	H	1|o	AB
18	8	Z	ot	AB
18	9	_		AB
18	10	w	1	settled
18	11	o.		settled
18	12	bh		AB
18	13	#		settled
18	13.5	S7		B-split
18	14	g	dot	AB
18	15	lam		AB
18	16	y		AB
18	17	L		AB
18	18	g		AB
18	19	y	~	AB
18	20	tee		AB
18	21	K		AB
18	22	o.		AB
18	23	S7		AB
18	24	bh		AB
18	25	w		settled
18	26	S7		AB
18	27	o.		AB
18	28	g	5	AB
18	29	phi		AB
18	30	Z		AB
18	31	_		AB
19	1	o.		AB
19	2	bh		AB
19	3	S7		AB
19	4	#		AB
19	5	L		AB
19	6	g	~	AB
19	7	m	1	AB
19	8	g		AB
19	9	S7	~	AB
19	10	lam		AB
19	11	e	dot|+	AB
19	12	eps	5	AB
19	13	S7		AB
19	14	_		AB
19	15	phi		AB
19	16	Z		AB
19	17	tee		AB
19	18	e	+	AB
19	19	e	#	AB
19	20	e	#	settled
19	21	#	dot|ot	AB
19	22	bh		AB
19	23	w		AB
19	24	Z	dot	AB
19	25	e	#	AB
19	26	nt		AB
19	27	psi		AB
19	28	_		AB
