line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	f54v_01_001	1	389	176	33	55	L	3.675	0.79	L	dot|~
1	f54v_01_002	2	426	214	27	24	S7	3.495	1.00	S7	
1	f54v_01_003	3	442	213	32	46	y	4.280	1.00	y	dot|1|dot
1	f54v_01_004	4	477	187	18	66	bh	1.507	1.00	bh	
1	f54v_01_005	5	495	216	28	29	S7	2.675	1.00	S7	#
1	f54v_01_006	6	543	190	40	55	e	3.869	1.00	e	
1	f54v_01_007	7	587	201	21	30	tee	3.281	1.00	tee	dot
1	f54v_01_008	8	612	181	32	78	g	2.174	1.00	g	
1	f54v_01_009	9	644	190	19	63	bh	1.847	1.00	bh	dot|dot|dot
1	f54v_01_010	10	667	208	34	50	psi	3.220	1.00	psi	
1	f54v_01_011	11	696	203	25	30	lam	2.898	1.00	lam	
1	f54v_01_012	12	722	203	20	27	lam	3.765	1.00	lam	5|1
1	f54v_01_013	13	757	200	39	34	H	2.839	1.00	H	5
1	f54v_01_014	14	795	209	47	51	y	5.211	1.00	y	
1	f54v_01_015	15	837	210	25	46	_	3.708	0.41	y	
1	f54v_01_016	16	873	205	36	30	_	4.705	0.43	_	
1	f54v_01_017	17	905	219	66	17	w	1.945	1.00	w	
1	f54v_01_018	18	969	188	23	72	bh	1.465	1.00	bh	
1	f54v_01_019	19	1001	214	21	20	a	5.006	1.00	a	~
1	f54v_01_020	20	1025	212	44	38	nt	3.244	1.00	nt	
1	f54v_01_021	21	1069	217	50	19	w	5.136	1.00	w	
1	f54v_01_022	22	1131	213	38	21	m	3.541	1.00	m	~
1	f54v_01_023	23	1175	218	59	16	w	2.330	1.00	w	
1	f54v_01_024	24	1249	211	26	53	_	5.647	1.00	_	
1	f54v_01_025	25	1279	205	20	29	tee	3.162	1.00	tee	
1	f54v_01_026	26	1312	197	42	57	e	4.196	1.00	e	dot
1	f54v_01_027	27	1358	218	16	29	eps	6.041	1.00	eps	dot|1
1	f54v_01_028	28	1395	215	35	49	H	5.503	0.78	H	
1	f54v_01_029	29	1433	205	27	53	bh	5.735	0.60	p	
2	f54v_02_001	1	375	259	37	83	g	2.831	1.00	g	dot|dot
2	f54v_02_002	2	415	293	27	25	S7	2.950	1.00	S7	
2	f54v_02_003	3	449	286	28	26	lam	3.963	1.00	lam	
2	f54v_02_004	4	487	274	47	54	S4	2.706	1.00	S4	~
2	f54v_02_005	5	544	283	40	32	dl	3.836	1.00	dl	
2	f54v_02_006	6	594	281	23	35	K	3.971	1.00	K	
2	f54v_02_007	7	606	253	72	90	_	5.075	1.00	_	
2	f54v_02_008	8	674	285	54	21	rz	2.221	1.00	rz	
2	f54v_02_009	9	729	291	33	33	S7	3.247	1.00	S7	+
2	f54v_02_010	10	764	264	40	77	g	3.235	1.00	g	
2	f54v_02_011	11	813	293	20	20	a	4.870	1.00	a	1
2	f54v_02_012	12	835	294	21	58	_	4.814	1.00	_	
2	f54v_02_013	13	858	272	40	58	e	3.507	1.00	e	
2	f54v_02_014	14	898	296	22	35	g	3.611	1.00	g	1
2	f54v_02_015	15	935	283	34	32	U	4.731	0.61	U	
2	f54v_02_016	16	971	299	60	17	w	2.001	1.00	w	
