line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	f56v_01_001	1	379	135	41	56	y	3.433	1.00	y	
1	f56v_01_002	2	430	137	37	52	ch	4.275	0.81	ch	
1	f56v_01_003	3	478	149	11	41	_	4.385	0.60	_	
1	f56v_01_004	4	487	168	14	19	_	3.283	1.00	_	1
1	f56v_01_005	5	516	178	5	10	_	2.893	1.00	_	
1	f56v_01_006	6	521	163	6	14	_	3.576	1.00	_	
1	f56v_01_007	7	524	165	56	67	_	5.830	1.00	_	#
1	f56v_01_008	8	581	164	37	21	w	4.613	0.80	w	
1	f56v_01_009	9	627	159	44	73	_	5.850	0.81	_	
1	f56v_01_010	10	677	139	60	78	g	6.162	0.59	_	
1	f56v_01_011	11	739	168	25	37	psi	4.809	0.80	psi	
1	f56v_01_012	12	764	165	50	39	nt	4.175	1.00	nt	
1	f56v_01_013	13	815	143	23	68	bh	1.465	1.00	bh	
1	f56v_01_014	14	849	136	27	56	_	5.664	0.80	_	
1	f56v_01_015	15	890	132	27	61	_	4.496	0.80	_	
1	f56v_01_016	16	916	164	23	28	tee	2.819	1.00	tee	
1	f56v_01_017	17	936	165	32	32	lam	2.000	1.00	lam	
1	f56v_01_018	18	968	132	15	28	S	3.393	1.00	S	
1	f56v_01_019	19	982	175	32	24	Z	3.582	1.00	Z	dot|ot
1	f56v_01_020	20	1016	180	29	35	g	1.992	1.00	g	
1	f56v_01_021	21	1050	172	28	27	lam	2.022	1.00	lam	7
1	f56v_01_022	22	1081	175	53	21	rz	2.469	1.00	rz	~
1	f56v_01_023	23	1118	151	42	67	g	3.729	1.00	g	
1	f56v_01_024	24	1170	151	24	50	_	4.252	0.75	_	
1	f56v_01_025	25	1194	173	22	30	tee	3.382	1.00	tee	
1	f56v_01_026	26	1218	174	29	30	lam	2.564	1.00	lam	
1	f56v_01_027	27	1240	142	17	27	S	3.393	1.00	S	
1	f56v_01_028	28	1264	155	34	45	_	2.823	1.00	_	dot
1	f56v_01_029	29	1303	151	27	68	bh	1.612	1.00	bh	dot
1	f56v_01_030	30	1328	160	51	50	Z	4.283	0.43	_	
1	f56v_01_031	31	1387	154	35	59	phi	3.187	0.83	phi	dot
1	f56v_01_032	32	1426	174	31	22	w	4.059	1.00	w	
2	f56v_02_001	1	392	250	38	16	v	5.404	0.40	v	dot
2	f56v_02_002	2	430	244	50	52	_	5.523	0.60	_	
2	f56v_02_003	3	481	246	26	28	S7	2.138	1.00	S7	
2	f56v_02_004	4	498	245	39	49	y	3.356	1.00	y	5
