line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	f57v_01_001	1	379	174	36	45	y	4.466	0.82	y	7|dot
1	f57v_01_002	2	426	191	25	25	o.	3.046	1.00	o.	dot
1	f57v_01_003	3	475	188	19	38	eps	3.018	1.00	eps	
1	f57v_01_004	4	493	186	24	32	+	2.819	1.00	+	
1	f57v_01_005	5	531	165	26	50	p	3.376	1.00	p	
1	f57v_01_006	6	547	190	89	23	_	3.531	1.00	_	
1	f57v_01_007	7	636	181	36	33	#	4.807	0.61	#	
1	f57v_01_008	8	691	186	68	28	_	5.211	1.00	_	
1	f57v_01_009	9	752	142	35	71	_	5.790	0.58	_	
1	f57v_01_010	10	806	187	13	51	_	4.862	1.00	_	
1	f57v_01_011	11	840	165	50	67	S4	4.945	0.61	_	
1	f57v_01_012	12	899	174	44	36	dl	3.663	1.00	dl	
1	f57v_01_013	13	930	174	36	39	+	4.412	0.41	f	
1	f57v_01_014	14	964	181	47	51	Lx	4.009	0.81	Lx	
1	f57v_01_015	15	1018	158	60	54	_	3.747	1.00	_	1
1	f57v_01_016	16	1077	185	39	42	y	3.981	1.00	y	
1	f57v_01_017	17	1099	182	41	57	y	2.834	1.00	y	
1	f57v_01_018	18	1137	186	28	39	g	2.333	1.00	g	~
1	f57v_01_019	19	1182	184	22	24	_	3.071	1.00	_	
1	f57v_01_020	20	1198	149	18	27	S	3.041	1.00	S	
1	f57v_01_021	21	1222	186	22	24	_	3.071	1.00	_	1
1	f57v_01_022	22	1252	183	24	27	o.	3.232	1.00	o.	
1	f57v_01_023	23	1291	187	43	21	m	3.528	1.00	m	7
1	f57v_01_024	24	1337	187	49	34	nt	4.053	1.00	nt	
1	f57v_01_025	25	1390	189	34	42	y	3.091	1.00	y	
1	f57v_01_026	26	1426	187	18	27	S	3.462	1.00	S	
2	f57v_02_001	1	378	273	33	41	y	3.569	1.00	y	
2	f57v_02_002	2	398	270	38	47	y	2.898	1.00	y	
2	f57v_02_003	3	441	247	55	66	_	5.385	0.44	_	
2	f57v_02_004	4	505	276	17	22	g	4.255	0.62	_	~
2	f57v_02_005	5	550	266	37	29	sq	4.562	0.42	sq	
2	f57v_02_006	6	570	236	34	31	nt	4.973	0.58	+	
2	f57v_02_007	7	589	269	38	43	psi	3.728	1.00	psi	
2	f57v_02_008	8	628	259	32	70	_	5.475	0.80	_	~
2	f57v_02_009	9	681	264	36	29	w	4.763	0.79	w	
2	f57v_02_010	10	713	267	53	22	rz	2.544	1.00	rz	
2	f57v_02_011	11	768	238	83	83	_	5.996	1.00	_	
2	f57v_02_012	12	845	260	56	72	_	4.476	1.00	_	
2	f57v_02_013	13	909	258	36	48	_	4.140	0.40	y	
2	f57v_02_014	14	935	237	47	87	g	2.197	1.00	g	
2	f57v_02_015	15	972	264	34	57	psi	4.568	0.60	psi	
2	f57v_02_016	16	1008	271	42	20	m	3.679	1.00	m	~
2	f57v_02_017	17	1058	235	30	60	_	2.286	1.00	_	
2	f57v_02_018	18	1085	265	30	32	lam	2.703	1.00	lam	
2	f57v_02_019	19	1125	271	24	28	o.	3.258	1.00	o.	ot
2	f57v_02_020	20	1148	255	41	53	S4	3.222	1.00	S4	
2	f57v_02_021	21	1202	265	50	29	dl	5.240	0.63	dl	
2	f57v_02_022	22	1258	256	46	48	Lx	2.909	0.44	Lx	
2	f57v_02_023	23	1329	252	97	24	w	6.783	0.80	_	
