line	pos	code	marks	grade
1	1	]	o|dot	settled
1	2	o.	dot	AB
1	3	_		settled
1	4	_		settled
1	5	_		settled
1	6	_		AB
1	7	_		settled
1	8	_		AB
1	9	_		AB
1	10	_		AB
1	11	S4		AB
1	12	dl		AB
1	13	+		settled
1	14	Lx		AB
1	15	w	1|5	settled
1	16	y		AB
1	17	y		AB
1	18	g	~	AB
1	19	a		settled
1	20	S		settled
1	21	a	1	settled
1	22	o.		AB
1	23	m	7	AB
1	24	nt		AB
1	25	y		AB
1	26	S		AB
2	1	y		AB
2	2	y		AB
2	3	Z		settled
2	4	g	~	AB
2	5	sq		AB
2	6	nt		AB
2	7	psi		AB
2	8	lam	~	settled
2	9	w		AB
2	10	rz		AB
2	11	#	o	settled
2	12	_		AB
2	13	phi		settled
2	14	g		AB
2	15	psi		AB
2	16	m	~	AB
2	17	_		AB
2	18	lam		AB
2	19	o.	ot	AB
2	20	S4		AB
2	21	dl		AB
2	22	Lx		AB
2	23	_		settled
3	1	S4		AB
3	2	dl		settled
3	3	Lx		AB
3	4	e		settled
3	5	lam		AB
3	6	_		AB
3	7	bh		AB
3	8	S		AB
3	9	Z		AB
3	10	wd		AB
3	11	_		AB
3	12	H		AB
3	13	e	dot	AB
3	14	g		AB
3	15	_		AB
3	16	w		AB
3	17	y		AB
3	18	y		AB
3	19	e		AB
3	20	_		AB
3	21	_		AB
3	22	e	#	AB
3	23	wd		AB
3	24	bh		AB
3	25	y		AB
3	26	w		settled
4	1	eps	7	AB
4	2	Z		settled
4	3	psi		AB
4	4	eps	5	settled
4	5	Z		AB
4	6	e	dot|+	AB
4	7	lam		AB
4	8	w	1	settled
4	9	rz		AB
4	10	e	dot|#	AB
4	11	L		settled
4	12	psi		AB
4	13	eps		AB
4	14	w		AB
4	15	[		AB
4	16	lam		AB
4	17	y	5	AB
4	18	Z	#	AB
4	19	S7		AB
4	20	lam	7	AB
4	21	]	o	AB
4	22	Z		AB
5	1	S7		AB
5	2	#		AB
5	3	lam	dot|1	AB
5	4	e	#	settled
5	5	wd		AB
5	6	rz		AB
5	7	dl	#	AB
5	8	e	#	AB
5	9	Z		settled
5	10	S7	1	settled
5	11	lam		AB
5	12	H		AB
5	13	m	o|1	AB
5	14	w		AB
5	15	]	o	AB
5	16	S7		AB
5	17	#	dot	AB
5	18	e	#	AB
5	19	wd		AB
5	20	y		AB
5	21	Z		AB
5	22	e	dot	settled
5	23	_		AB
6	1	_		AB
6	2	a	1	AB
6	3	lam		AB
6	4	bh		AB
6	5	S7		AB
6	6	#		AB
6	7	e	dot	AB
6	8	g	5	AB
6	9	w		AB
6	10	tee		AB
6	11	o.		AB
6	12	H		AB
6	13	_		AB
6	14	g	dot	AB
6	15	w		AB
6	16	S7		AB
6	17	y		AB
6	18	H	1|o	AB
6	19	m	~	AB
6	20	_		AB
6	21	_		AB
6	22	y		AB
6	23	S		AB
6	24	L		AB
6	25	g	~	settled
6	26	H		AB
7	1	w		AB
7	2	tee		AB
7	3	o.		AB
7	4	y		AB
7	5	tee		AB
7	6	f		AB
7	7	w		AB
7	8	Lx		AB
