line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	f57r_01_001	1	155	173	35	50	p	3.857	1.00	p	
1	f57r_01_002	2	181	168	89	56	_	4.314	1.00	_	
1	f57r_01_003	3	281	180	46	41	S4	4.162	0.80	S4	
1	f57r_01_004	4	338	179	42	36	dl	2.349	1.00	dl	
1	f57r_01_005	5	361	180	45	38	Z	4.211	0.41	Z	
1	f57r_01_006	6	409	192	20	22	a	4.784	0.41	a	5
1	f57r_01_007	7	433	186	22	30	tee	2.592	1.00	tee	
1	f57r_01_008	8	460	149	40	68	_	5.188	0.80	y	dot
1	f57r_01_009	9	498	187	41	37	#	3.256	0.83	#	#
1	f57r_01_010	10	545	166	21	46	lam	4.934	0.41	_	dot|~
1	f57r_01_011	11	588	190	21	29	eps	4.953	1.00	eps	7
1	f57r_01_012	12	614	200	60	17	w	2.021	1.00	w	
1	f57r_01_013	13	686	192	20	35	eps	6.521	0.41	g	1
1	f57r_01_014	14	717	188	35	21	]	3.741	1.00	]	o
1	f57r_01_015	15	753	192	31	38	g	2.282	1.00	g	7
1	f57r_01_016	16	788	162	38	48	L	3.386	1.00	L	
1	f57r_01_017	17	830	199	69	15	w	1.906	1.00	w	
1	f57r_01_018	18	905	192	23	23	a	3.324	1.00	a	1
1	f57r_01_019	19	931	188	28	26	lam	2.766	1.00	lam	7
1	f57r_01_020	20	963	163	24	78	bh	2.308	1.00	bh	
1	f57r_01_021	21	993	197	29	28	S7	2.039	1.00	S7	
1	f57r_01_022	22	1009	170	38	23	#	4.439	1.00	#	
1	f57r_01_023	23	1046	188	39	34	H	3.477	1.00	H	1|o
1	f57r_01_024	24	1095	192	35	23	Z	4.349	1.00	Z	dot|ot
1	f57r_01_025	25	1144	193	23	16	_	7.492	0.80	_	
1	f57r_01_026	26	1168	190	12	15	_	3.868	1.00	_	
1	f57r_01_027	27	1182	184	26	30	#	5.532	0.40	+	
1	f57r_01_028	28	1210	168	24	64	bh	2.245	1.00	bh	dot
1	f57r_01_029	29	1355	31	23	32	S	5.239	0.42	S	
1	f57r_01_030	30	1375	32	22	33	S7	4.381	0.41	g	dot
2	f57r_02_001	1	170	248	52	65	Z	4.801	1.00	Z	
2	f57r_02_002	2	231	244	38	50	L	3.038	1.00	L	dot
2	f57r_02_003	3	264	276	30	39	g	2.265	1.00	g	
2	f57r_02_004	4	299	271	40	55	y	3.102	1.00	y	~
2	f57r_02_005	5	344	245	48	76	g	6.795	0.80	_	
2	f57r_02_006	6	393	273	25	33	g	4.747	0.63	g	
2	f57r_02_007	7	432	269	40	23	]	4.176	1.00	]	ot
2	f57r_02_008	8	476	263	37	29	_	3.832	0.84	_	
2	f57r_02_009	9	497	273	44	50	y	3.932	1.00	y	
2	f57r_02_010	10	547	275	37	24	Z	4.041	1.00	Z	ot
2	f57r_02_011	11	597	274	21	26	eps	4.761	1.00	eps	
2	f57r_02_012	12	612	273	32	44	y	2.991	1.00	y	
2	f57r_02_013	13	649	271	26	24	[	5.692	0.60	[	
2	f57r_02_014	14	663	273	39	45	y	3.654	1.00	y	
2	f57r_02_015	15	710	253	28	64	phi	3.080	0.79	phi	
2	f57r_02_016	16	745	274	56	24	v	4.750	1.00	v	1|5
2	f57r_02_017	17	807	253	36	52	f	2.454	1.00	f	
2	f57r_02_018	18	842	276	58	18	w	1.912	1.00	w	
2	f57r_02_019	19	903	248	21	61	bh	2.290	1.00	bh	
2	f57r_02_020	20	932	244	61	95	_	5.733	0.81	_	
2	f57r_02_021	21	976	266	40	49	y	3.586	1.00	y	
2	f57r_02_022	22	1019	264	20	30	tee	4.044	1.00	tee	
2	f57r_02_023	23	1040	254	35	54	f	3.143	1.00	f	
2	f57r_02_024	24	1074	279	57	17	w	1.979	1.00	w	
2	f57r_02_025	25	1123	271	56	53	y	4.847	1.00	y	
2	f57r_02_026	26	1194	275	50	49	_	5.520	0.61	_	7|5
3	f57r_03_001	1	171	321	48	71	_	7.377	1.00	_	
3	f57r_03_002	2	226	354	22	26	a	4.314	1.00	a	5
3	f57r_03_003	3	252	346	21	35	tee	4.383	1.00	tee	
3	f57r_03_004	4	277	352	31	33	lam	2.247	1.00	lam	
3	f57r_03_005	5	315	356	26	27	o.	3.496	1.00	o.	1
3	f57r_03_006	6	343	357	18	23	_	4.762	0.82	_	
3	f57r_03_007	7	367	360	40	63	_	5.767	0.79	f	5
3	f57r_03_008	8	414	364	62	17	w	1.818	1.00	w	
3	f57r_03_009	9	479	350	30	29	lam	1.771	1.00	lam	1
3	f57r_03_010	10	514	359	29	28	S7	2.069	1.00	S7	
3	f57r_03_011	11	549	338	47	59	y	5.939	0.80	y	
3	f57r_03_012	12	587	321	47	82	g	2.703	1.00	g	
3	f57r_03_013	13	633	356	47	23	_	5.311	0.43	v	1
3	f57r_03_014	14	680	351	11	16	_	2.169	1.00	_	1
3	f57r_03_015	15	703	350	36	22	]	4.077	1.00	]	o
3	f57r_03_016	16	751	352	38	34	e	2.601	1.00	e	#|dot
3	f57r_03_017	17	792	347	19	27	eps	4.787	1.00	eps	
3	f57r_03_018	18	802	351	35	44	y	2.481	1.00	y	
3	f57r_03_019	19	840	350	46	49	_	5.520	0.80	_	
3	f57r_03_020	20	885	355	26	39	g	2.800	1.00	g	1
3	f57r_03_021	21	913	343	30	31	lam	2.200	1.00	lam	
3	f57r_03_022	22	947	329	18	70	bh	2.594	1.00	bh	
3	f57r_03_023	23	978	355	26	23	S7	3.103	1.00	S7	#
3	f57r_03_024	24	1029	354	47	33	e	2.867	1.00	e	ot
3	f57r_03_025	25	1075	329	47	46	wd	3.555	1.00	wd	
3	f57r_03_026	26	1108	355	47	44	y	4.654	1.00	y	
3	f57r_03_027	27	1173	357	29	29	eps	4.467	0.79	eps	5
3	f57r_03_028	28	1202	364	28	25	S7	3.496	1.00	S7	
4	f57r_04_001	1	163	416	37	51	f	3.112	1.00	f	
4	f57r_04_002	2	195	443	51	19	w	3.332	1.00	w	
4	f57r_04_003	3	252	437	26	24	o.	4.379	1.00	o.	
4	f57r_04_004	4	282	416	36	46	_	2.771	1.00	_	dot
4	f57r_04_005	5	327	436	26	26	o.	3.616	1.00	o.	dot
4	f57r_04_006	6	352	430	31	32	lam	2.260	1.00	lam	
4	f57r_04_007	7	386	411	30	71	bh	2.329	1.00	bh	
4	f57r_04_008	8	417	438	29	34	S7	2.842	1.00	S7	
4	f57r_04_009	9	438	408	31	29	#	2.917	1.00	#	
4	f57r_04_010	10	466	432	42	35	H	2.705	1.00	H	1
