line	pos	group	conf	note
mssDE108A_p5_L11	1	969	M	agree-flagged
mssDE108A_p5_L11	2	832	H	agree
mssDE108A_p5_L11	3	975	H	agree
mssDE108A_p5_L11	4	10	H	agree
mssDE108A_p5_L11	5	990	H	agree
mssDE108A_p5_L11	6	665	H	agree
mssDE108A_p5_L11	7	202	H	agree
mssDE108A_p5_L11	8	878	M	838 (B); first digit blotted
mssDE108A_p5_L11	9	1181	H	agree
mssDE108A_p5_L11	10	799	H	agree
mssDE108A_p5_L12	1	355	H	agree
mssDE108A_p5_L12	2	868	H	agree
mssDE108A_p5_L12	3	1060	H	agree
mssDE108A_p5_L12	4	479	H	agree
mssDE108A_p5_L12	5	538	H	agree
mssDE108A_p5_L12	6	707	H	agree
mssDE108A_p5_L12	7	112	H	agree
mssDE108A_p5_L12	8	1066	H	agree
mssDE108A_p5_L12	9	1010	H	agree
mssDE108A_p5_L12	10	486	H	agree
mssDE108A_p6_L01	1	460	H	agree
mssDE108A_p6_L01	2	1125	H	agree
mssDE108A_p6_L01	3	1043	H	agree
mssDE108A_p6_L01	4	551	M	agree-flagged
mssDE108A_p6_L01	5	941	H	agree
mssDE108A_p6_L01	6	479	H	agree
mssDE108A_p6_L01	7	170	H	agree
mssDE108A_p6_L01	8	1022	H	agree
mssDE108A_p6_L01	9	946	H	agree
mssDE108A_p6_L01	10	626	H	agree
mssDE108A_p6_L02	1	208	H	agree
mssDE108A_p6_L02	2	579	H	agree
mssDE108A_p6_L02	3	357	H	agree
mssDE108A_p6_L02	4	832	H	agree
mssDE108A_p6_L02	5	80	H	agree
mssDE108A_p6_L02	6	145	H	agree
mssDE108A_p6_L02	7	878	H	agree
mssDE108A_p6_L02	8	141	H	agree
mssDE108A_p6_L02	9	648	H	agree
mssDE108A_p6_L02	10	872	H	agree
mssDE108A_p6_L02	11	787	M	agree-flagged
mssDE108A_p6_L03	1	480	H	agree
mssDE108A_p6_L03	2	666	H	agree
mssDE108A_p6_L03	3	10	H	agree
mssDE108A_p6_L03	4	267	H	agree
mssDE108A_p6_L03	5	645	H	agree
mssDE108A_p6_L03	6	940	H	agree
mssDE108A_p6_L03	7	527	H	agree
mssDE108A_p6_L03	8	1188	H	agree
mssDE108A_p6_L03	9	347	H	agree
mssDE108A_p6_L03	10	108	H	agree
mssDE108A_p6_L03	11	949	H	agree
mssDE108A_p6_L04	1	888	H	agree
mssDE108A_p6_L04	2	232	H	agree
mssDE108A_p6_L04	3	1161	H	agree
mssDE108A_p6_L04	4	60	H	agree
mssDE108A_p6_L04	5	890	H	agree
mssDE108A_p6_L04	6	741	H	agree
mssDE108A_p6_L04	7	381	H	agree
mssDE108A_p6_L04	8	915	H	agree
mssDE108A_p6_L04	9	149	H	agree
mssDE108A_p6_L04	10	122	H	agree
mssDE108A_p6_L04	11	824	H	agree
mssDE108A_p6_L05	1	919	H	agree
mssDE108A_p6_L05	2	357	H	agree
mssDE108A_p6_L05	3	1173	H	agree
mssDE108A_p6_L05	4	839	H	agree
mssDE108A_p6_L05	5	6	H	agree
mssDE108A_p6_L05	6	381	H	agree
mssDE108A_p6_L05	7	651	H	agree
mssDE108A_p6_L05	8	884	H	agree
mssDE108A_p6_L05	9	32	H	agree
mssDE108A_p6_L05	10	1076	H	agree
mssDE108A_p6_L05	11	415	H	agree
mssDE108A_p6_L05	12	1181	H	agree
mssDE108A_p6_L06	1	355	H	agree
mssDE108A_p6_L06	2	381	H	agree
mssDE108A_p6_L06	3	830	H	agree
mssDE108A_p6_L06	4	1173	M	1143; third digit ambiguous 7/4
mssDE108A_p6_L06	5	880	H	agree
mssDE108A_p6_L06	6	202	H	agree
mssDE108A_p6_L06	7	560	M	agree-flagged
mssDE108A_p6_L06	8	993	H	agree
mssDE108A_p6_L06	9	890	H	agree
mssDE108A_p6_L06	10	262	H	agree
mssDE108A_p6_L06	11	707	H	agree
mssDE108A_p6_L07	1	697	H	agree
mssDE108A_p6_L07	2	109	H	agree
mssDE108A_p6_L07	3	463	H	agree
mssDE108A_p6_L07	4	402	H	agree
mssDE108A_p6_L07	5	947	H	agree
mssDE108A_p6_L07	6	555	H	agree
mssDE108A_p6_L07	7	1072	H	agree
mssDE108A_p6_L07	8	337	H	agree
mssDE108A_p6_L07	9	987	H	agree
mssDE108A_p6_L07	10	10	H	agree
mssDE108A_p6_L07	11	686	H	agree
mssDE108A_p6_L08	1	1028	H	agree
mssDE108A_p6_L08	2	441	H	agree
mssDE108A_p6_L08	3	316	H	agree
mssDE108A_p6_L08	4	448	H	agree
mssDE108A_p6_L08	5	224	H	agree
mssDE108A_p6_L08	6	320	H	agree
mssDE108A_p6_L08	7	366	H	agree
mssDE108A_p6_L08	8	1199	H	agree
mssDE108A_p6_L08	9	1012	H	agree
mssDE108A_p6_L08	10	425	M	agree-flagged
mssDE108A_p5_L08	1	387	H	A skipped the line; B, checked on the image
mssDE108A_p5_L08	2	744	H	A skipped the line; B, checked on the image
mssDE108A_p5_L08	3	628	H	A skipped the line; B, checked on the image
mssDE108A_p5_L08	4	103	H	A skipped the line; B, checked on the image
mssDE108A_p5_L08	5	4	H	A skipped the line; B, checked on the image
mssDE108A_p5_L08	6	476	H	A skipped the line; B, checked on the image
mssDE108A_p5_L08	7	363	H	A skipped the line; B, checked on the image
mssDE108A_p5_L08	8	1181	H	A skipped the line; B, checked on the image
mssDE108A_p5_L08	9	482	H	A skipped the line; B, checked on the image
mssDE108A_p5_L08	10	387	H	A skipped the line; B, checked on the image
mssDE108A_p5_L08	11	1113	H	B read 113; image 1113 (A skipped the line)
