line	pos	group	conf	note
mssDE108A_p2_L01	1	608	H	agree
mssDE108A_p2_L01	2	34	H	agree
mssDE108A_p2_L01	3	1153	H	agree
mssDE108A_p2_L01	4	1074	H	agree
mssDE108A_p2_L01	5	585	H	agree
mssDE108A_p2_L01	6	913	H	agree
mssDE108A_p2_L01	7	824	H	agree
mssDE108A_p2_L01	8	10	H	agree
mssDE108A_p2_L01	9	165	H	agree
mssDE108A_p2_L01	10	785	H	A 85: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p2_L01	11	1193	H	agree
mssDE108A_p2_L01	12	678	H	agree
mssDE108A_p2_L02	1	149	H	agree
mssDE108A_p2_L02	2	1181	H	agree
mssDE108A_p2_L02	3	643	H	agree
mssDE108A_p2_L02	4	52	H	agree
mssDE108A_p2_L02	5	80	H	agree
mssDE108A_p2_L02	6	135	H	agree
mssDE108A_p2_L02	7	80	H	agree
mssDE108A_p2_L02	8	620	H	agree
mssDE108A_p2_L02	9	1022	H	agree
mssDE108A_p2_L02	10	169	H	agree
mssDE108A_p2_L02	11	38	H	agree
mssDE108A_p2_L02	12	363	H	agree
mssDE108A_p2_L03	1	386	H	agree
mssDE108A_p2_L03	2	389	H	agree
mssDE108A_p2_L03	3	680	H	agree
mssDE108A_p2_L03	4	517	H	agree
mssDE108A_p2_L03	5	628	H	agree
mssDE108A_p2_L03	6	38	H	agree
mssDE108A_p2_L03	7	202	H	agree
mssDE108A_p2_L03	8	888	H	agree
mssDE108A_p2_L03	9	1158	H	agree
mssDE108A_p2_L03	10	6	H	agree
mssDE108A_p2_L03	11	301	H	agree
mssDE108A_p2_L03	12	128	H	agree
mssDE108A_p2_L04	1	1151	H	agree
mssDE108A_p2_L04	2	177	H	agree
mssDE108A_p2_L04	3	60	H	agree
mssDE108A_p2_L04	4	1070	H	agree
mssDE108A_p2_L04	5	888	H	agree
mssDE108A_p2_L04	6	536	H	agree
mssDE108A_p2_L04	7	169	H	agree
mssDE108A_p2_L04	8	434	H	agree
mssDE108A_p2_L04	9	264	H	agree
mssDE108A_p2_L04	10	80	H	agree
mssDE108A_p2_L04	11	480	H	agree
mssDE108A_p2_L05	1	666	H	agree
mssDE108A_p2_L05	2	1123	H	agree
mssDE108A_p2_L05	3	337	H	agree
mssDE108A_p2_L05	4	385	H	agree
mssDE108A_p2_L05	5	80	H	agree
mssDE108A_p2_L05	6	10	H	agree
mssDE108A_p2_L05	7	672	H	agree
mssDE108A_p2_L05	8	645	H	agree
mssDE108A_p2_L05	9	940	H	agree
mssDE108A_p2_L05	10	1185	H	agree
mssDE108A_p2_L05	11	983	H	agree
mssDE108A_p2_L05	12	628	H	agree
mssDE108A_p2_L06	1	655	H	agree
mssDE108A_p2_L06	2	947	H	agree
mssDE108A_p2_L06	3	355	H	agree
mssDE108A_p2_L06	4	385	H	agree
mssDE108A_p2_L06	5	947	H	agree
mssDE108A_p2_L06	6	830	H	agree
mssDE108A_p2_L06	7	378	H	agree
mssDE108A_p2_L06	8	824	H	agree
mssDE108A_p2_L06	9	655	H	agree
mssDE108A_p2_L06	10	1185	H	agree
mssDE108A_p2_L06	11	109	H	agree
mssDE108A_p2_L07	1	1015	H	agree
mssDE108A_p2_L07	2	301	H	agree
mssDE108A_p2_L07	3	141	H	agree
mssDE108A_p2_L07	4	648	H	agree
mssDE108A_p2_L07	5	10	H	agree
mssDE108A_p2_L07	6	422	H	agree
mssDE108A_p2_L07	7	202	H	agree
mssDE108A_p2_L07	8	70	M	agree-flagged
mssDE108A_p2_L07	9	1103	H	agree
mssDE108A_p2_L07	10	1131	H	agree
mssDE108A_p2_L07	11	363	H	agree
mssDE108A_p2_L08	1	1179	H	A 1129: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p2_L08	2	712	H	agree
mssDE108A_p2_L08	3	30	H	agree
mssDE108A_p2_L08	4	941	H	agree
mssDE108A_p2_L08	5	628	H	agree
mssDE108A_p2_L08	6	244	H	agree
mssDE108A_p2_L08	7	367	H	agree
mssDE108A_p2_L08	8	354	H	agree
mssDE108A_p2_L08	9	997	H	agree
mssDE108A_p2_L08	10	145	H	agree
mssDE108A_p2_L08	11	878	H	agree
mssDE108A_p2_L09	1	199	H	agree
mssDE108A_p2_L09	2	349	H	agree
mssDE108A_p2_L09	3	991	H	agree
mssDE108A_p2_L09	4	444	H	agree
mssDE108A_p2_L09	5	905	H	agree
mssDE108A_p2_L09	6	903	H	agree
mssDE108A_p2_L09	7	165	H	agree
mssDE108A_p2_L09	8	1193	H	agree
mssDE108A_p2_L09	9	620	H	agree
mssDE108A_p2_L09	10	10	H	agree
mssDE108A_p2_L09	11	123	H	agree
mssDE108A_p2_L10	1	903	H	agree
mssDE108A_p2_L10	2	763	H	A 63: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p2_L10	3	86	H	agree
mssDE108A_p2_L10	4	976	H	agree
mssDE108A_p2_L10	5	169	H	agree
mssDE108A_p2_L10	6	1032	H	agree
mssDE108A_p2_L10	7	487	H	agree
mssDE108A_p2_L10	8	947	H	agree
mssDE108A_p2_L10	9	1151	H	agree
mssDE108A_p2_L10	10	381	H	agree
mssDE108A_p2_L10	11	377	M	agree-flagged
mssDE108A_p2_L10	12	428	H	agree
mssDE108A_p2_L11	1	507	H	agree
mssDE108A_p2_L11	2	1022	H	agree
mssDE108A_p2_L11	3	64	H	agree
mssDE108A_p2_L11	4	137	H	agree
mssDE108A_p2_L11	5	442	H	agree
mssDE108A_p2_L11	6	266	H	agree
mssDE108A_p2_L11	7	216	H	agree
mssDE108A_p2_L11	8	1153	H	agree
mssDE108A_p2_L11	9	666	H	agree
mssDE108A_p2_L11	10	628	H	agree
mssDE108A_p2_L11	11	153	H	agree
mssDE108A_p2_L12	1	486	H	agree
mssDE108A_p2_L12	2	331	H	agree
mssDE108A_p2_L12	3	680	H	agree
mssDE108A_p2_L12	4	1082	H	agree
mssDE108A_p2_L12	5	139	H	agree
mssDE108A_p2_L12	6	961	H	agree
mssDE108A_p2_L12	7	416	H	agree
mssDE108A_p2_L12	8	80	H	agree
mssDE108A_p2_L12	9	337	H	agree
mssDE108A_p2_L12	10	962	H	agree
mssDE108A_p2_L12	11	890	H	agree
mssDE108A_p3_L01	1	830	H	agree
mssDE108A_p3_L01	2	912	H	agree
mssDE108A_p3_L01	3	1181	M	agree-flagged
mssDE108A_p3_L01	4	32	H	agree
mssDE108A_p3_L01	5	555	H	agree
mssDE108A_p3_L01	6	730	H	A 30: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p3_L01	7	933	H	agree
mssDE108A_p3_L01	8	888	H	agree
mssDE108A_p3_L01	9	310	M	agree-flagged
mssDE108A_p3_L01	10	947	H	agree
mssDE108A_p3_L01	11	29	H	agree
mssDE108A_p3_L02	1	30	H	agree
mssDE108A_p3_L02	2	931	H	agree
mssDE108A_p3_L02	3	202	H	agree
mssDE108A_p3_L02	4	10	H	agree
mssDE108A_p3_L02	5	232	H	agree
mssDE108A_p3_L02	6	595	M	agree-flagged
mssDE108A_p3_L02	7	888	H	agree
mssDE108A_p3_L02	8	551	M	agree-flagged
mssDE108A_p3_L02	9	333	H	agree
mssDE108A_p3_L02	10	301	H	agree
mssDE108A_p3_L02	11	10	H	agree
mssDE108A_p3_L02	12	64	H	agree
mssDE108A_p3_L03	1	808	H	agree
mssDE108A_p3_L03	2	1129	H	agree
mssDE108A_p3_L03	3	868	H	agree
mssDE108A_p3_L03	4	608	H	agree
mssDE108A_p3_L03	5	878	H	agree
mssDE108A_p3_L03	6	1074	H	agree
mssDE108A_p3_L03	7	500	M	agree-flagged
mssDE108A_p3_L03	8	858	H	agree
mssDE108A_p3_L03	9	80	H	agree
mssDE108A_p3_L03	10	608	H	agree
mssDE108A_p3_L04	1	645	H	agree
mssDE108A_p3_L04	2	151	H	agree
mssDE108A_p3_L04	3	30	H	agree
mssDE108A_p3_L04	4	1199	H	agree
mssDE108A_p3_L04	5	389	H	agree
mssDE108A_p3_L04	6	947	H	agree
