line	signs_A	signs_B	agree	columns	share
hstam_4_h_1411_0016_L06	10	10	8	10	0.800
hstam_4_h_1411_0016_L07	33	32	24	33	0.727
hstam_4_h_1411_0016_L08	59	26	17	59	0.288
hstam_4_h_1411_0016_L09	40	30	25	40	0.625
hstam_4_h_1411_0016_L10	26	27	23	27	0.852
hstam_4_h_1411_0016_L11	21	18	14	21	0.667
hstam_4_h_1411_0016_L12	29	18	11	33	0.333
hstam_4_h_1411_0016_L13	27	18	17	27	0.630
hstam_4_h_1411_0016_L14	25	25	22	25	0.880
hstam_4_h_1411_0016_L15	26	27	18	27	0.667
hstam_4_h_1411_0016_L16	22	23	17	23	0.739
hstam_4_h_1411_0016_L17	24	25	18	25	0.720
hstam_4_h_1411_0016_L18	29	26	17	29	0.586
hstam_4_h_1411_0016_L19	29	30	27	30	0.900
hstam_4_h_1411_0016_L20	30	30	25	30	0.833
hstam_4_h_1411_0016_L21	29	28	21	30	0.700
hstam_4_h_1411_0016_L22	29	28	21	30	0.700
hstam_4_h_1411_0016_L23	29	28	22	30	0.733
hstam_4_h_1411_0016_L24	30	30	25	30	0.833
hstam_4_h_1411_0016_L25	29	29	24	29	0.828
hstam_4_h_1411_0016_L26	30	30	29	30	0.967
hstam_4_h_1411_0016_L27	26	25	19	26	0.731
hstam_4_h_1411_0016_L28	1	1	0	1	0.000
hstam_4_h_1411_0016_L29	1	1	0	1	0.000
hstam_4_h_1411_0016_L30	1	1	0	1	0.000
hstam_4_h_1411_0016_L31	1	1	0	1	0.000
hstam_4_h_1411_0016_L32	1	1	0	1	0.000
hstam_4_h_1411_0016_L33	6	6	4	6	0.667
hstam_4_h_1411_0016_L34	1	1	0	1	0.000
hstam_4_h_1411_0016_L35	30	29	27	30	0.900
hstam_4_h_1411_0016_L36	29	28	25	29	0.862
hstam_4_h_1411_0016_L37	30	28	26	30	0.867
hstam_4_h_1411_0016_L38	27	25	24	27	0.889
hstam_4_h_1411_0016_L39	30	28	19	30	0.633
hstam_4_h_1411_0016_L40	28	25	17	28	0.607
hstam_4_h_1411_0016_L41	29	29	23	29	0.793
hstam_4_h_1411_0016_L42	32	31	29	32	0.906
