line	tomo	inv_no	shelfmark	date	place	sender	recipient	class	index_wording	key_route
49232	A	3500	A-27, f.202 a 204.	1523.03.04	Roma	Lope Hurtado de Mendoza		D	Texto descifrado de los dos documentos anteriores: Cartas de Lope Hurtado de Mendoza a Carlos	Ko.7 (Kolosova, subst. p.312, nomenclature p.333) / Ko.10 secondary
49409	A	3512	A-27, f.221 a 225.	1523.03.22	Venecia	Alonso Sánchez	Carlos V	D	Sigue una postdata, con fecha de 27 de marzo, en cifra, relacionada con los asuntos tratados en la	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
49425	A	3513	A-27, f.227.	1523.03.27	Venecia	Alonso Sánchez	Carlos V	D	Texto descifrado de la postdata inserta en la carta anterior, de Alonso Sánchez, embajador de	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
49537	A	3520	A-27, f.246 y 247.	1523.03.28	Venecia	Alonso Sánchez	Carlos V	P	Carta de Alonso Sánchez, embajador de Carlos V en Venecia, dirigida a éste, en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
49547	A	3521	A-27, f.248 y 249.	1523.03.28	Venecia	Alonso Sánchez	Carlos V	D	Venecia, dirigida a éste, en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
49559	A	3522	A-27, f.251.	1523.03.28	Venecia	Alonso Sánchez		D	Texto descifrado de los dos documentos anteriores: Cartas de Alonso Sánchez, embajador de	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
49584	A	3524	A-27, f.225 y 226.	1523.03.29	Milán	Abbot of Nájera (Fernando Marín)	Carlos V	P	Ejemplar duplicado del documento anterior, uno de cuyos párrafos está en cifra: Carta de	Ko.3 (Kolosova)
49602	A	3525	A-27, f.257.	1523.03.29	Milán	Abbot of Nájera (Fernando Marín)	Carlos V	D	Texto descifrado del párrafo en cifra de la carta anterior: Carta de Fernando Marín, abad de	Ko.3 (Kolosova)
49820	A	3540	A-27, f.284 a 286.	1523.04.10	Venecia	Alonso Sánchez	Carlos V	P	Carta de Alonso Sánchez, embajador de Carlos V en Venecia, dirigida a éste, en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
49830	A	3541	A-27, f.288 y 2809.	1523.04.10	Venecia	Alonso Sánchez	Carlos V	D	Venecia, dirigida a éste, en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
49842	A	3542	A-27, f.290.	1523.04.10	Venecia	Alonso Sánchez		D	Texto descifrado de los dos documentos anteriores: Cartas de Alonso Sánchez, embajador de	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
49904	A	3545	A-27, f.297 y 298.	1523.04.10	Roma	Lope Hurtado de Mendoza	Carlos V	D	Carta de Lope Hurtado de Mendoza a Carlos V, en cifra.	Ko.7 (Kolosova, subst. p.312, nomenclature p.333) / Ko.10 secondary
49919	A	3546	A-27, f.299.	1523.04.10	Roma	Lope Hurtado de Mendoza	Carlos V	D	Texto descifrado del documento anterior: Carta de Lope Hurtado de Mendoza a Carlos V, en la que	Ko.7 (Kolosova, subst. p.312, nomenclature p.333) / Ko.10 secondary
49976	A	3550	A-27, f.308 a 325.	1523.04.12	Roma	Duke of Sessa (Luis Fernández)	Carlos V	P	Original, en gran parte en cifra.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
49990	A	3551	A-27, f.327 a 341.	1523.04.12	Roma	Duke of Sessa (Luis Fernández)	Carlos V	D	Original, en gran parte en cifra.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
50005	A	3552	A-27, f.343 a 353.	1523.04.12	Roma	Duke of Sessa (Luis Fernández)	Carlos V	D	Texto descifrado de los párrafos en cifra de los dos documentos anteriores: Cartas de Luis	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
50108	A	3559	A-27, f.365.	1523.04.16	(Roma)	Duke of Sessa (Luis Fernández)	Carlos V	P	Original, en dos folios, con un párrafo en cifra. CON SOBRESCRITO.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
50217	A	3566	A-27, f.376 a 378.	1523.04.23	Milán	Abbot of Nájera (Fernando Marín)		P	Original, con varios pasajes en cifra.	Ko.3 (Kolosova)
50249	A	3568	A-27, f.384 y 385.	1523.04.23	Milán	Abbot of Nájera (Fernando Marín)		D	Texto descifrado de los pasajes en cifra de los dos documentos anteriores: Cartas de Fernando	Ko.3 (Kolosova)
50388	A	3578	A-27, f.405 y 406.	1523.04.25	Venecia	Alonso Sánchez	Carlos V	P	Carta de Alonso Sánchez, embajador de Carlos V en Venecia, dirigida a éste, en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
50398	A	3579	A-27, f.408 y 409.	1523.04.25	Venecia	Alonso Sánchez	Carlos V	D	Venecia, dirigida a éste, en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
