target	query	requested	status	hits
ciphers/fr2980-gramont	"Gramont" AND Florence AND 1530 AND (liberté OR liberty)	2026-09-24	done 2026-09-24	61 results, first page: Bibliographie de la littérature française (XVIe–XXIe siècles). Année 2011 | Marie Galvez | Revue d'Histoire littéraire de la France | 2012 | 11-791 | https://www.jstor.org/stable/41678540 ; Bibliographie de la littérature française (XVIe-XXIe siècles). Année 2013 | Marie Galvez | Revue d'Histoire littéraire de la France | 2014 | 11-761 | https://www.jstor.org/stable/24722091 ; Pleurant son roy pluscler que nul anticque: édition de la Complainte et de l'Epitaphe de Charles VIII par Octovien de Saint-Gelais | Lucien Dugaz | Romania | 2022 | 378-440 | https://www.jstor.org/stable/45489639 ; La bibliothèque parisienne du lieutenant général de police Lenoir (1732-1807) | Vincent Milliot | Revue d'histoire moderne et contemporaine (1954-) | 2022 | 30-60 | https://www.jstor.org/stable/27406955 ; Kelly's Directory of Kent, Surrey & Sussex, 1891 [Part 1] | - | community collection | - | - | https://www.jstor.org/stable/community.30136021 ; Semi-Clandestine Judaism in Early Modern France (chapter, pp. 113-136) | Carsten L. Wilke | book chapter | - | - | https://www.jstor.org/stable/10.1163/j.ctvrzgvqk.11 ; I Marrani di Livorno, Pisa e Firenze | Cecil Roth | La Rassegna Mensile di Israel | 1933 | 394-415 | https://www.jstor.org/stable/41275847 ; Le mariage de Renée de France avec Hercule d'Este: une inutile mésalliance. 28 juin 1528 | Gabriel Braun | Histoire, Économie et Société | 1988 | 147-168 | https://www.jstor.org/stable/23610723 ; Quelques aspects du thème timouride dans la culture française du XVIe au XIXe siècle | Vincent Fourniau | Oriente Moderno | 1996 | 283-304 | https://www.jstor.org/stable/25817417 ; Courrier de France | A. B. | La Bibliofilía | 1932 | 398-420 | https://www.jstor.org/stable/26209555 ; Supplément au N° d'Aout 1931. Ouvrages envoyés à la rédaction | - | Revue des Sciences philosophiques et théologiques | 1931 | 45*-68* | https://www.jstor.org/stable/44412507 ; Renaissance Books | Robert E. Taylor | Renaissance Quarterly | 1970 | 359-394 | https://www.jstor.org/stable/2858972 ; Rivalité de Charles-Quint et de François Ier: le siège de Naples. Paix de Cambrai | M. Mignet | Revue des Deux Mondes (1829-1971) | 1867 | 382-426 | https://www.jstor.org/stable/44726292 ; Centenaire d'un concile: le journal de Mgr Darboy au concile du Vatican (1869-1870) | André Duval, Yves Congar | Revue des Sciences philosophiques et théologiques | 1970 | 417-452 | https://www.jstor.org/stable/44406632 ; Recueils périodiques et sociétés savantes | - | Revue Historique | 1886 | 420-447 | https://www.jstor.org/stable/40937528 ; Recueils périodiques et sociétés savantes | - | Revue Historique | 1879 | 478-494 | https://www.jstor.org/stable/40935658 ; France (bulletin) | Henri Hauser, André Lichtenberger | Revue Historique | 1905 | 111-152 | https://www.jstor.org/stable/40940605 ; Managing Bergson's Crowd: Professionalism and the Mondain at the Collège de France | Marguerite Bistis | Historical Reflections / Réflexions Historiques | 1996 | 389-406 | https://www.jstor.org/stable/41299065 ; Back Matter | - | Archivio Storico Italiano | 1982 | - | https://www.jstor.org/stable/26211274 ; Review: Bibliography | - | The Journal of Modern History | 1931 | 680-700 | https://www.jstor.org/stable/1898929 ; Recherches sur l'organisation du Parlement de Paris au XVIe siècle (1515-1589) | Félix Aubert | Nouvelle revue historique de droit français et étranger | 1912 | 52-132 | https://www.jstor.org/stable/43892847 ; Bibliographie de la littérature française. Année 2009 | - | Revue d'Histoire littéraire de la France | 2010 | 7-798 | https://www.jstor.org/stable/40927429 ; Bibliographie de la littérature française (XVIe-XXe siècles). Année 2004 | Éric Férey | Revue d'Histoire littéraire de la France | 2005 | 7-737 | https://www.jstor.org/stable/24721914 ; Bibliographie de la littérature française (XVIe-XXIe siècles). Année 2012 | Marie Galvez | Revue d'Histoire littéraire de la France | 2013 | 11-832 | https://www.jstor.org/stable/42796842 ; Bibliographie de la littérature française (XVIe-XXe siècles) Année 2000 | Éric Férey | Revue d'Histoire littéraire de la France | 2001 | 391-1133 | https://www.jstor.org/stable/40534489 ; note: 61 results total, first page of 25 recorded
ciphers/fr2980-gramont	"évêque de Tarbes" AND Florence AND 1530	2026-09-24	done 2026-09-24	Chronique et bibliographie | - | Revue Historique | 1890 | 215-240 | https://www.jstor.org/stable/40938101 ; Recueils périodiques et sociétés savantes | - | Revue Historique | 1877 | 218-233 | https://www.jstor.org/stable/40936469 ; Charles-Quint en Provence (1536) | V.-L. Bourrilly | Revue Historique | 1918 | 209-280 | https://www.jstor.org/stable/40942336 ; Rivalité de Charles-Quint et de François Ier: le siège de Naples. Paix de Cambrai | M. Mignet | Revue des Deux Mondes (1829-1971) | 1867 | 382-426 | https://www.jstor.org/stable/44726292 ; Recherches sur l'organisation du Parlement de Paris au XVIe siècle (1515-1589) | Félix Aubert | Nouvelle revue historique de droit français et étranger | 1912 | 52-132 | https://www.jstor.org/stable/43892847
ciphers/fr2980-gramont	"Gabriel de Gramont" AND "Clement VII" AND Florence	2026-09-24	done 2026-09-24	Rivalité de Charles-Quint et de François Ier: le siège de Naples. Paix de Cambrai | M. Mignet | Revue des Deux Mondes (1829-1971) | 1867 | 382-426 | https://www.jstor.org/stable/44726292 ; Rivalité de Charles-Quint et de François Ier | M. Mignet | Revue des Deux Mondes (1829-1971) | 1867 | 99-136 | https://www.jstor.org/stable/44728935 ; Les légats a latere en France et leurs facultés aux XVIe et XVIIe siècles | Bernard Barbiche, Ségolène de Dainville-Barbiche | Archivum Historiae Pontificiae | 1985 | 93-165 | https://www.jstor.org/stable/23564223
ciphers/fr5160-letellier-1653	"Servien" AND (Turin OR Savoie) AND 1659	2026-09-24	done 2026-09-24	43 results, first page: Review of Hélène Duccini, Guerre et paix dans la France du Grand Siècle. Abel Servien: diplomate et serviteur de l'État (1593-1659) | Review by Alain Hugon | Revue d'histoire moderne et contemporaine (1954-) | 2012 | 201-203 | https://www.jstor.org/stable/23557940 ; Review of Daniel Séré, La paix des Pyrénées. Vingt-quatre ans de négociations entre la France et l'Espagne (1635-1659) | Review by Claude Michaud | Revue Historique | 2008 | 439-442 | https://www.jstor.org/stable/40958205 ; Un'alleanza matrimoniale mancata. Diplomazia e politica estera tra Francia e Savoia agli inizi del Seicento | Frédéric Ieva | Archivio Storico Italiano | 2022 | 643-670 | https://www.jstor.org/stable/27307578 ; Summary of the law of nations (Martens, transl. Cobbett) | Martens, G. F. de, Cobbett, William | community collection | - | - | https://www.jstor.org/stable/community.34338370 ; Magnum Bullarium Romanum, Vol. XI | Catholic Church. Pope | (1739), community collection | 1739 | - | https://www.jstor.org/stable/community.38538632 ; Les grands traités de 1648: la paix de Westphalie | Duc de La Force | Revue des Deux Mondes (1829-1971) | 1948 | 201-216 | https://www.jstor.org/stable/44853148 ; Liste des ambassadeurs, envoyés, ministres et autres agents politiques de la cour de France près les puissances étrangères | - | Annuaire historique pour l'année ... | 1848 | 145-252 | https://www.jstor.org/stable/23400147 ; Inventaire des pièces manuscrites de la collection Godefroy, conservée à la Bibliothèque de l'Institut | - | Annuaire-Bulletin de la Société de l'histoire de France | 1865 | 4-239 | https://www.jstor.org/stable/23401625 ; Liste des archevêques et évêques de France | Jules Marion | Annuaire historique pour l'année ... | 1848 | 27-144 | https://www.jstor.org/stable/23400146 ; Liste des archevêques et évêques de France | Jules Marion | Annuaire historique pour l'année ... | 1849 | 27-168 | https://www.jstor.org/stable/23399100 ; Le travail des hommes de la paix au XVIIe siècle: le cas des relations entre Louis XIV et Léopold Ier de 1668 à 1673 | Philippe Romain | Histoire, Économie et Société | 1986 | 173-186 | https://www.jstor.org/stable/23610809 ; Les princes et la protection d'intérêts étrangers à l'époque moderne | Lucien Bély | Relations internationales | 2010 | 13-22 | https://www.jstor.org/stable/48611312 ; La première campagne de Condé 1643. I. Marches et opérations | Duc d'Aumale | Revue des Deux Mondes (1829-1971) | 1883 | 481-514 | https://www.jstor.org/stable/44753050 ; Pouvoir et finance au XVIIe siècle: la fortune du cardinal Mazarin | Daniel Dessert | Revue d'histoire moderne et contemporaine (1954-) | 1976 | 161-181 | https://www.jstor.org/stable/20528330 ; Le cardinal de Mazarin | L. de Carné | Revue des Deux Mondes (1829-1971) | 1855 | 931-961 | https://www.jstor.org/stable/44713152 ; Index bibliographique | - | Revue Historique | 1936 | 672-687 | https://www.jstor.org/stable/40946746 ; Le surintendant Fouquet | L. de Carné | Revue des Deux Mondes (1829-1971) | 1863 | 340-363 | https://www.jstor.org/stable/44727298 ; Faut-il démythifier le porc familial d'Ancien Régime? | Jean-Jacques Hémardinquer | Annales. Histoire, Sciences Sociales | 1970 | 1745-1766 | https://www.jstor.org/stable/27577809 ; Le surintendant Foucquet: I. La fortune | Camille Rousset | Revue des Deux Mondes (1829-1971) | 1890 | 524-549 | https://www.jstor.org/stable/44755933 ; Table chronologique des documents | - | Annuaire-Bulletin de la Société de l'histoire de France | 1990 | 45-57 | https://www.jstor.org/stable/23406813 ; Barthélémy Herwarth, controleur général des finances (1607-1676) | G. Depping | Revue Historique | 1879 | 285-338 | https://www.jstor.org/stable/40936754 ; Histoire de France. Histoire moderne (1498-1660) | Henri Hauser | Revue Historique | 1935 | 41-63 | https://www.jstor.org/stable/40947066 ; Recueils périodiques et sociétés savantes | - | Revue Historique | 1878 | 479-492 | https://www.jstor.org/stable/40936723 ; Discours de M. le comte Bernard de Lacombe, président de la Société de l'Histoire de France, 1944-1945 | - | Annuaire-Bulletin de la Société de l'histoire de France | 1945 | 12-30 | https://www.jstor.org/stable/23411789 ; Des principes des négociations (Mably) | Mably, l'abbé de | community collection | - | - | https://www.jstor.org/stable/community.34337210 ; note: 43 results, the Duccini review (2012) concerns Abel Servien d.1659, not the Turin embassy of 1659, Ieva 2022 is early-Seicento Savoy
ciphers/fr5160-letellier-1653	"Justine de Bressac" OR "président Servien" ambassade	2026-09-24	done 2026-09-24	Trophime-Gérard Lally, vindicator of his father, Thomas Arthur | Eoghan Ó hAnnracháin | Journal of the Galway Archaeological and Historical Society | 2016 | 75-117 | https://www.jstor.org/stable/44751502 ; query run: "Justine de Bressac" OR ("président Servien" AND ambassade)
ciphers/fr5160-letellier-1653	Brienne AND Servien AND (chiffre OR déchiffrement) AND Parme	2026-09-24	done 2026-09-24	Inventaire des pièces manuscrites de la collection Godefroy, conservée à la Bibliothèque de l'Institut | - | Annuaire-Bulletin de la Société de l'histoire de France | 1865 | 4-239 | https://www.jstor.org/stable/23401625 ; Front Matter | - | Annuaire-Bulletin de la Société de l'histoire de France | 1866 | - | https://www.jstor.org/stable/23401627
ciphers/fr2980-gramont	"Gramont" AND ("Asti" OR "Scalenga") AND 1530 AND (intercepted OR intercettate OR interceptées)	2026-09-24	done 2026-09-24	Recueils périodiques et sociétés savantes | - | Revue Historique | 1892 | 165-215 | https://www.jstor.org/stable/40938259
ciphers/fr2980-gramont	"Berthault" AND "Gramont" AND (secrétaire OR chiffre)	2026-09-24	done 2026-09-24	Le dossier "Naples" des archives Nicolay: documents pour servir à l'histoire de l'occupation française du royaume de Naples sous Louis XII | Henri Courteault (ed.) | Annuaire-Bulletin de la Société de l'histoire de France | 1915 | 117-245 | https://www.jstor.org/stable/23411565 ; note: Louis XII period, R. de Gramont, not the 1530 bishop
ciphers/thurloe-printed	"Stamford" AND Thurloe AND (Calais OR cipher OR cypher) AND 1655	2026-09-24	done 2026-09-24	66 results, first page: Back Matter | - | Transactions of the Royal Historical Society | 1937 | 225-284 | https://www.jstor.org/stable/3678599 ; Back Matter | - | Transactions of the Royal Historical Society | 1939 | 195-255 | https://www.jstor.org/stable/3678504 ; Back Matter | - | Transactions of the Royal Historical Society | 1941 | 205-265 | https://www.jstor.org/stable/3678660 ; Back Matter | - | Transactions of the Royal Historical Society | 1936 | 225-284 | https://www.jstor.org/stable/3678693 ; Back Matter | - | Transactions of the Royal Historical Society | 1934 | 252-308 | https://www.jstor.org/stable/3678527 ; Back Matter | - | Transactions of the Royal Historical Society | 1940 | 255-315 | https://www.jstor.org/stable/3678588 ; Back Matter | - | Transactions of the Royal Historical Society | 1950 | 163-226 | https://www.jstor.org/stable/3678484 ; Back Matter | - | Transactions of the Royal Historical Society | 1949 | 169-229 | https://www.jstor.org/stable/3678640 ; Back Matter | - | Transactions of the Royal Historical Society | 1952 | 181-239 | https://www.jstor.org/stable/3678790 ; Back Matter | - | Transactions of the Royal Historical Society | 1953 | 169-228 | https://www.jstor.org/stable/3678715 ; Back Matter | - | Transactions of the Royal Historical Society | 1951 | 173-236 | https://www.jstor.org/stable/3678569 ; Index to Vertue MSS. Volumes I-V | - | The Volume of the Walpole Society | 1942 | ix-xvi, 1-298 | https://www.jstor.org/stable/41830732 ; The history and antiquities of the county of Leicester: Vol. 3, Part 2 | Nichols, John | (1804), community collection | 1804 | - | https://www.jstor.org/stable/community.39293198 ; Directory of Manchester & Salford, 1853 | - | community collection | - | - | https://www.jstor.org/stable/community.30136112 ; History, Gazetteer & Directory of Cambridgeshire, 1851 | - | community collection | - | - | https://www.jstor.org/stable/community.30136190 ; Index to Transactions I to XXV, Miscellanies I to X | - | Transactions & Miscellanies (Jewish Historical Society of England) | 1975 | v-vii, 1-243 | https://www.jstor.org/stable/29778859 ; Oliver Cromwell's letters and speeches, with elucidations by Thomas Carlyle, Vol. IV, 3rd ed. | Carlyle, Thomas (ed.) | (1850), community collection | 1850 | - | https://www.jstor.org/stable/community.35015669 ; Robson's Commercial Directory of Beds, Bucks ..., 1839 | - | community collection | - | - | https://www.jstor.org/stable/community.30136113 ; Oliver Cromwell's letters and speeches, with elucidations by Thomas Carlyle, Vol. I, 3rd ed. | Carlyle, Thomas (ed.) | (1850), community collection | 1850 | - | https://www.jstor.org/stable/community.35015666 ; Post Office London Directory, 1915 [Part 6] | - | community collection | - | - | https://www.jstor.org/stable/community.30136516 ; Business Directory of London, 1884 [Part 2] | - | community collection | - | - | https://www.jstor.org/stable/community.30136179 ; Hallam, Constitutional History, vol. 2 | - | community collection | - | - | https://www.jstor.org/stable/community.34338290 ; Post Office London Directory, 1882 [Part 4] | - | community collection | - | - | https://www.jstor.org/stable/community.30136527 ; Post Office London Directory, 1914 [Part 6] | - | community collection | - | - | https://www.jstor.org/stable/community.30135941 ; Slater's Manchester, Salford & Suburban Directory, 1909 [Part 2] | - | community collection | - | - | https://www.jstor.org/stable/community.30135964 ; note: 66 results, first page is back matter, directories and Carlyle's Cromwell volumes, no article on Thurloe's Calais intelligence
ciphers/thurloe-printed	"Penruddock" AND (Calais OR Stamford OR "W. S.") AND (intelligence OR spy OR informer)	2026-09-24	done 2026-09-24	81 results, first page: Kelly's Directory of Berkshire, 1915 | - | community collection | - | - | https://www.jstor.org/stable/community.30136095 ; Post Office London Directory, 1895 [Part 6] | - | community collection | - | - | https://www.jstor.org/stable/community.30136508 ; Post Office London Directory, 1882 [Part 4] | - | community collection | - | - | https://www.jstor.org/stable/community.30136527 ; Post Office London Directory, 1882 [Part 1] | - | community collection | - | - | https://www.jstor.org/stable/community.30136523 ; Post Office Directory of Cumberland, 1858 | - | community collection | - | - | https://www.jstor.org/stable/community.30136394 ; Volume Information | - | The British Medical Journal | 1883 | - | https://www.jstor.org/stable/25261674 ; Discipliana, Vol. 11, No. 3-4 (October 1951 and January 1952) | - | community collection | - | - | https://www.jstor.org/stable/community.42135836 ; Letters, Notes, and Answers to Correspondents | - | The British Medical Journal | 1891 | 878-882 | https://www.jstor.org/stable/20244056 ; Post Office London Directory, 1915 [Part 6] | - | community collection | - | - | https://www.jstor.org/stable/community.30136516 ; Post Office Directory of Hampshire, Wiltshire & Dorsetshire, 1855 | - | community collection | - | - | https://www.jstor.org/stable/community.30136321 ; Post Office Directory of Wiltshire, 1855 | - | community collection | - | - | https://www.jstor.org/stable/community.30136167 ; Exeter Pocket Journal & Almanac, 1857 | - | community collection | - | - | https://www.jstor.org/stable/community.30136458 ; Post Office Bath Directory, 1884-85 | - | community collection | - | - | https://www.jstor.org/stable/community.30136381 ; Post Office London Directory, 1899 [Part 6] | - | community collection | - | - | https://www.jstor.org/stable/community.30136477 ; Post Office Directory of Wiltshire, 1859 | - | community collection | - | - | https://www.jstor.org/stable/community.30136319 ; Post Office Directory of Gloucestershire, Bath & Bristol, 1856 | - | community collection | - | - | https://www.jstor.org/stable/community.30136215 ; Post Office Directory of Sussex, 1866 | - | community collection | - | - | https://www.jstor.org/stable/community.30136331 ; Deacon's Leicestershire, Rutland & Northamptonshire, 1890 | - | community collection | - | - | https://www.jstor.org/stable/community.30136058 ; Kelly's Directory of Cornwall, 1897 | - | community collection | - | - | https://www.jstor.org/stable/community.30136175 ; Kelly's Directory of Somerset, 1914 | - | community collection | - | - | https://www.jstor.org/stable/community.30136465 ; History, Gazetteer & Directory of Devon, 1878-79 | - | community collection | - | - | https://www.jstor.org/stable/community.30136177 ; Kelly's Directory of Dorsetshire, 1895 | - | community collection | - | - | https://www.jstor.org/stable/community.30136536 ; Kelly's Directory of Somerset, 1919 | - | community collection | - | - | https://www.jstor.org/stable/community.30136223 ; The gentleman's and citizen's almanack for 1778 | - | community collection | - | - | https://www.jstor.org/stable/community.29823988 ; The Treble Almanack for the year 1833 | - | community collection | - | - | https://www.jstor.org/stable/community.29823959 ; note: 81 results, the whole first page is trade directories and almanacs (Penruddock as a surname), no article on the 1655 rising
ciphers/thurloe-printed	"Rawlinson" AND "A. 24" AND (Stamford OR Kelsey)	2026-09-24	done 2026-09-24	379 results, first page: General Index to Volumes XXI-XXX, October 1915 to July 1925 | - | The American Historical Review | 1925 | 1-183 | https://www.jstor.org/stable/24020015 ; Slater's Commercial Directory of Durham, Northumberland & Yorkshire, 1855 | - | community collection | - | - | https://www.jstor.org/stable/community.30135970 ; Slater's Manchester, Salford & Suburban Directory, 1903 [Part 1] | - | community collection | - | - | https://www.jstor.org/stable/community.30135957 ; A Biographical Dictionary of Royal Academy Students 1769-1830 | Martin Myrone | The Volume of the Walpole Society | 2022 | 1-605 | https://www.jstor.org/stable/27400160 ; The Gentleman's Magazine, Vol. IV New Series, 1835 | - | (1835), community collection | 1835 | - | https://www.jstor.org/stable/community.35015805 ; A new and complete history of the County of Kent, Vol. IV | Ireland, W. H. | (1830), community collection | 1830 | - | https://www.jstor.org/stable/community.35014923 ; Kelly's Directory of Somerset, 1914 | - | community collection | - | - | https://www.jstor.org/stable/community.30136465 ; Cardiff Directory, 1914 | - | community collection | - | - | https://www.jstor.org/stable/community.30136427 ; Front Matter | - | PMLA | 1968 | 971-1221 | https://www.jstor.org/stable/1261121 ; Front Matter | - | PMLA | 1969 | 1221-1459 | https://www.jstor.org/stable/1261252 ; Hunt & Co.'s Directory of Bristol and South Wales, 1850 | - | community collection | - | - | https://www.jstor.org/stable/community.30136291 ; Pigot & Co.'s Directory of Derbys, Dorset ..., 1842 | - | community collection | - | - | https://www.jstor.org/stable/community.30135936 ; The history and antiquities of the county of Leicester: Vol. 4, Part 2 | Nichols, John | (1811), community collection | 1811 | - | https://www.jstor.org/stable/community.39293203 ; Slater's Directory of Berks, Corn, Devon ..., 1852-53 | - | community collection | - | - | https://www.jstor.org/stable/community.30136429 ; Robson's Commercial Directory of Beds, Bucks ..., 1839 | - | community collection | - | - | https://www.jstor.org/stable/community.30136113 ; Hunt & Co's Directory of Gloucester & Bristol, 1849 | - | community collection | - | - | https://www.jstor.org/stable/community.30136070 ; History, Directory & Gazetteer of Yorkshire, Vol. I: West Riding, 1822 | - | community collection | - | - | https://www.jstor.org/stable/community.30135929 ; History, Gazetteer & Directory of Warwickshire, 1850 | - | community collection | - | - | https://www.jstor.org/stable/community.30136004 ; Post Office Directory of Derbyshire & Nottinghamshire, 1855 | - | community collection | - | - | https://www.jstor.org/stable/community.30136228 ; Pigot & Co.'s Directory of Berks, Bucks ..., 1844 [Part 2] | - | community collection | - | - | https://www.jstor.org/stable/community.30136102 ; Post Office Directory of Gloucestershire, Bath & Bristol, 1856 | - | community collection | - | - | https://www.jstor.org/stable/community.30136215 ; Hunt & Co.'s Directory of Dorset, Hants, Wilts, Som, 1851 | - | community collection | - | - | https://www.jstor.org/stable/community.30136087 ; Back Matter | - | Journal of the Royal Society of Arts | 1966 | - | https://www.jstor.org/stable/41371722 ; Back Matter | - | Journal of the Royal Society of Arts | 1967 | - | https://www.jstor.org/stable/41371775 ; The cult of King Alfred the Great | Simon Keynes | Anglo-Saxon England | 1999 | 225-356 | https://www.jstor.org/stable/44512350 ; note: 379 results, JSTOR tokenises 'A. 24' loosely, first page is indexes and directories, nothing on Rawlinson A. 24
ciphers/oxenstierna-gustav-adolf-1632	"Torpadie" AND (chiffer OR chifferskrift OR Oxenstierna)	2026-09-24	done 2026-09-24	no hits
ciphers/thurloe-printed	"Stamford" AND ("Kelsey" OR Thurloe) AND 1655 AND (spy OR intelligence OR informer OR Calais)	2026-09-24	done 2026-09-24	235 results, first page: Wright's Directory of Leicestershire & Rutland, 1880 | - | community collection | - | - | https://www.jstor.org/stable/community.30136060 ; Graham's Temperance Guide for 1869 plus other publications | Graham, George Henry | community collection | - | - | https://www.jstor.org/stable/community.36718498 ; Front Matter | - | PMLA | 1992 | 709-1055 | https://www.jstor.org/stable/462699 ; 2005 Mega Directory | - | National Defense | 2005 | 73-215 | https://www.jstor.org/stable/45372642 ; A Biographical Dictionary of Royal Academy Students 1769-1830 | Martin Myrone | The Volume of the Walpole Society | 2022 | 1-605 | https://www.jstor.org/stable/27400160 ; January 29, 2022 (Weekend) Daily Journal | - | KDJ 2022, community collection | - | - | https://www.jstor.org/stable/community.41582192 ; Proceedings: American Philological Association One Hundredth Annual Meeting | - | Transactions and Proceedings of the American Philological Association | 1968 | i-cxi | https://www.jstor.org/stable/2935862 ; List of Members of the Modern Language Association of America | - | PMLA | 1964 | 120-231 | https://www.jstor.org/stable/2699202 ; List of Members of the Modern Language Association of America | - | PMLA | 1961 | 6-108 | https://www.jstor.org/stable/2699319 ; History, Directory & Gazetteer of Durham & Northumberland, 1827 | - | community collection | - | - | https://www.jstor.org/stable/community.30135930 ; History, Topography and Directory of Warwickshire, 1830 | - | community collection | - | - | https://www.jstor.org/stable/community.30136079 ; Pigot & Co.'s Directory of Derbys, Herefs ..., 1835 | - | community collection | - | - | https://www.jstor.org/stable/community.30136082 ; A new and complete history of the County of Kent, Vol. IV | Ireland, W. H. | (1830), community collection | 1830 | - | https://www.jstor.org/stable/community.35014923 ; Back Matter | - | Transactions (Jewish Historical Society of England) | 1894 | - | https://www.jstor.org/stable/29777570 ; Back Matter | - | Transactions of the Royal Historical Society | 1937 | 225-284 | https://www.jstor.org/stable/3678599 ; Back Matter | - | Transactions of the Royal Historical Society | 1939 | 195-255 | https://www.jstor.org/stable/3678504 ; Back Matter | - | Transactions of the Royal Historical Society | 1941 | 205-265 | https://www.jstor.org/stable/3678660 ; Back Matter | - | Transactions of the Royal Historical Society | 1936 | 225-284 | https://www.jstor.org/stable/3678693 ; Back Matter | - | Transactions of the Royal Historical Society | 1934 | 252-308 | https://www.jstor.org/stable/3678527 ; Back Matter | - | Transactions of the Royal Historical Society | 1940 | 255-315 | https://www.jstor.org/stable/3678588 ; Back Matter | - | Transactions of the Royal Historical Society | 1950 | 163-226 | https://www.jstor.org/stable/3678484 ; Back Matter | - | Transactions of the Royal Historical Society | 1949 | 169-229 | https://www.jstor.org/stable/3678640 ; Back Matter | - | Transactions of the Royal Historical Society | 1952 | 181-239 | https://www.jstor.org/stable/3678790 ; Back Matter | - | Transactions of the Royal Historical Society | 1953 | 169-228 | https://www.jstor.org/stable/3678715 ; 2006 Mega Directory | - | National Defense | 2006 | 73-227 | https://www.jstor.org/stable/45368744 ; note: 235 results, first page is directories, member lists and back matter, nothing on Stamford/Kelsey 1655
ciphers/thurloe-printed	Peacock (not Marshall; corrected 24 Sept 2026) "Cromwell's spymaster" Thurloe intelligence -- read for Stamford / Calais / Kelsey (doi 10.1080/0268117X.2018.1524786)	2026-09-24	done 2026-09-24	95 results, first page: 2005 Mega Directory | - | National Defense | 2005 | 73-215 | https://www.jstor.org/stable/45372642 ; Oliver Cromwell's letters and speeches, with elucidations by Thomas Carlyle, Vol. II, 3rd ed. | Carlyle, Thomas (ed.) | (1850), community collection | 1850 | - | https://www.jstor.org/stable/community.35015667 ; Some Notes on Andrew Marvell | Hilton Kelliher | The British Library Journal | 1978 | 122-144 | https://www.jstor.org/stable/42554071 ; Post Office London Directory, 1910 [Vol. I Part 2] | - | community collection | - | - | https://www.jstor.org/stable/community.30136494 ; Post Office London Directory, 1895 [Part 2] | - | community collection | - | - | https://www.jstor.org/stable/community.30136503 ; Post Office London Directory, 1915 [Part 2] | - | community collection | - | - | https://www.jstor.org/stable/community.30136519 ; Back Matter | - | The British Medical Journal | 1881 | - | https://www.jstor.org/stable/25257315 ; Oliver Cromwell's letters and speeches, with elucidations by Thomas Carlyle, Vol. I, 3rd ed. | Carlyle, Thomas (ed.) | (1850), community collection | 1850 | - | https://www.jstor.org/stable/community.35015666 ; Back Matter | - | The British Medical Journal | 1882 | - | https://www.jstor.org/stable/25261672 ; Post Office London Directory, 1899 [Part 4] | - | community collection | - | - | https://www.jstor.org/stable/community.30136479 ; Webster's Royal Red Book, 1897 | - | community collection | - | - | https://www.jstor.org/stable/community.30136471 ; Webster's Royal Red Book, 1897 | - | community collection | - | - | https://www.jstor.org/stable/community.30136472 ; The Congregational Independents and the Cromwellian Constitutions | Sarah Gibbard Cook | Church History | 1977 | 335-357 | https://www.jstor.org/stable/3164132 ; Index to Transactions I to XXV, Miscellanies I to X | - | Transactions & Miscellanies (Jewish Historical Society of England) | 1975 | v-vii, 1-243 | https://www.jstor.org/stable/29778859 ; Cumulative Index to Jewish Historical Studies, Transactions XXVI to XXXV | - | Jewish Historical Studies | 1998 | 347-453 | https://www.jstor.org/stable/29780006 ; Kelly's London Suburban Directory, 1901 [Vol. I Northern, Part 1] | - | community collection | - | - | https://www.jstor.org/stable/community.30136366 ; Post Office London Directory, 1915 [Part 3] | - | community collection | - | - | https://www.jstor.org/stable/community.30136522 ; Post Office London Directory, 1895 [Part 5] | - | community collection | - | - | https://www.jstor.org/stable/community.30136504 ; Journal of the Society for Arts, Vol. 25, no. 1267 | John Yeats, George Percy Badger, J. F. D., Hahnemann Epps | The Journal of the Society of Arts | 1877 | 291-320 | https://www.jstor.org/stable/41326323 ; Post Office London Directory, 1882 [Part 4] | - | community collection | - | - | https://www.jstor.org/stable/community.30136527 ; Post Office London Directory, 1882 [Part 1] | - | community collection | - | - | https://www.jstor.org/stable/community.30136523 ; UCL Calendars 1908-09 | - | community collection | - | - | https://www.jstor.org/stable/community.31331445 ; Kelly's Directory of Devon & Cornwall, 1893 [Part 3] | - | community collection | - | - | https://www.jstor.org/stable/community.30135997 ; UCL Calendars 1909-10 | - | community collection | - | - | https://www.jstor.org/stable/community.31331446 ; History, Gazetteer & Directory of Suffolk, 1891-2 | - | community collection | - | - | https://www.jstor.org/stable/community.30136202 ; query run: Marshall AND Thurloe AND ("Cromwell's spymaster" OR (intelligence AND (Stamford OR Calais OR Kelsey))), The Seventeenth Century (doi 10.1080/0268117X.2018.1524786) is a Taylor & Francis title not hosted on JSTOR ; note: 95 results, first page is directories and Carlyle, Marshall's article is not on JSTOR ; searched under the previous row wording (Marshall), before the Peacock correction
