target	query	requested	status	hits
ciphers/courten-diary	"William Courten" AND diary AND cipher	2026-09-24	done 2026-09-24	no hits
ciphers/courten-diary	Courten AND Sloane AND cipher AND Charleton	2026-09-24	done 2026-09-24	Post Office London Directory, 1895 [Part 6] | - | community collection | - | - | https://www.jstor.org/stable/community.30136508 ; History, Gazetteer & Directory of Devon, 1878-79 | - | community collection | - | - | https://www.jstor.org/stable/community.30136177 ; The universal biographical dictionary | - | community collection | - | - | https://www.jstor.org/stable/community.29824052
ciphers/courten-diary	"William Charleton" Middle Temple naturalist collection 17th century	2026-09-24	done 2026-09-24	The Scotch-Irish: or, The Scot in North Britain, north Ireland, and North America | - | community collection | - | - | https://www.jstor.org/stable/community.29823294 ; Slater's Directory of Berks, Corn, Devon ..., 1852-53 | - | community collection | - | - | https://www.jstor.org/stable/community.30136429
ciphers/courten-diary	"Frederic Madden" AND manuscript AND key AND cipher AND cataloguing	2026-09-24	done 2026-09-24	The Hebrew Collection of the British Library: Past and Present | Ilana Tahan | European Judaism: A Journal for the New Europe | 2008 | 43-55 | https://www.jstor.org/stable/41443966
ciphers/fr20140-danzay-1557	"Danzay" AND 1557 AND (chiffre OR cipher)	2026-09-24	done 2026-09-24	Un ambassadeur en Ecosse au XVI e siècle : Henri Clutin d'Oisel | Marie-Noëlle Baudouin-Matuszek | Revue Historique | 1989 | 77-131 | https://www.jstor.org/stable/40954840 ; HISTOIRE DE FRANCE (bulletin) | Henri Hauser | Revue Historique | 1923 | 233-256 | https://www.jstor.org/stable/40944190
ciphers/fr20140-danzay-1557	"Dançay" AND "cardinal de Lorraine"	2026-09-24	done 2026-09-24	no hits
ciphers/fr20140-danzay-1557	Delavaud AND Danzay AND 1911	2026-09-24	done 2026-09-24	La Prusse orientale dans le commerce baltique au XVI e siècle | Marie-Louise Pelus-Kaplan | Histoire, Économie et Société | 2013 | 39-49 | https://www.jstor.org/stable/23614337 ; I. — PARTIE GÉNÉRALE (XXIe Bibliographie géographique annuelle 1911) | - | Annales de Géographie | 1912 | 7-88 | https://www.jstor.org/stable/23440036 ; Back Matter | - | Annales de Géographie | 1912 | - | https://www.jstor.org/stable/23440038
ciphers/fr20140-danzay-1557	"Charles de Danzay" AND Danemark AND 1557	2026-09-24	done 2026-09-24	French Diplomacy and the Wars of Religion | De Lamar Jensen | The Sixteenth Century Journal | 1974 | 23-46 | https://www.jstor.org/stable/2539820 ; LE CAPITAINE PEYROT MONLUC | Paul Gaffarel | Revue Historique | 1879 | 273-332 | https://www.jstor.org/stable/40935833 ; Un ambassadeur en Ecosse au XVI e siècle : Henri Clutin d'Oisel | Marie-Noëlle Baudouin-Matuszek | Revue Historique | 1989 | 77-131 | https://www.jstor.org/stable/40954840 ; Les relations économiques des villes de la Baltique avec Anvers au XVIème siècle (suite) | Pierre Jeannin | Vierteljahrschrift für Sozial- und Wirtschaftsgeschichte | 1956 | 323-355 | https://www.jstor.org/stable/20728041
ciphers/eckert-1864	"Fox to Butler" AND 1864 AND cipher	2026-09-24	done 2026-09-24	no hits
ciphers/eckert-1864	"Meigs" AND "Butler" AND "April 22, 1864"	2026-09-24	done 2026-09-24	Back Matter | - | Proceedings of the American Philosophical Society | 1889 | 107-213 | https://www.jstor.org/stable/982881
ciphers/eckert-1864	"Eckert" AND "cipher" AND "Military Telegraph" AND 1864	2026-09-24	done 2026-09-24	The Military Telegraph in the Civil War | Roscoe Pound | Proceedings of the Massachusetts Historical Society | 1941 | 185-203 | https://www.jstor.org/stable/25080325 ; THE TELEGRAPH: A STRATEGIC MEANS OF COMMUNICATION DURING THE AMERICAN CIVIL WAR | Pierre Wilhelm | Revista de Historia de América | 1999 | 81-98 | https://www.jstor.org/stable/23800946 ; THE WAR YEARS OF ALBERT JAMES MYER, M. D.: ARMY SIGNAL SERVICE, 1861-1863 | Frank G. Halstead | Bulletin of the History of Medicine | 1944 | 43-63 | https://www.jstor.org/stable/44440960 ; Subject Index (Current Bibliography in the History of Technology 1995) | - | Technology and Culture | 1997 | 206-265 | https://www.jstor.org/stable/3106999 ; Appletons' cyclopaedia of American biography, Vol. III Grinnell-Lockwood | Wilson, James G. and Fiske, John (eds.) | (1887), community collection | 1887 | - | https://www.jstor.org/stable/community.35014926 ; Book and Periodicals - Impeachment | - | (1867-11-25), community collection | 1867 | - | https://www.jstor.org/stable/community.39245424
ciphers/fr20140-danzay-1557	"Danzay" AND "Christian III" AND (1557 OR 1558)	2026-09-24	done 2026-09-24	Un ambassadeur en Ecosse au XVI e siècle : Henri Clutin d'Oisel | Marie-Noëlle Baudouin-Matuszek | Revue Historique | 1989 | 77-131 | https://www.jstor.org/stable/40954840 ; LE CAPITAINE PEYROT MONLUC | Paul Gaffarel | Revue Historique | 1879 | 273-332 | https://www.jstor.org/stable/40935833
ciphers/fr20140-danzay-1557	"Quissarme" AND Danzay	2026-09-24	done 2026-09-24	HISTOIRE DE FRANCE (bulletin historique) | Ch. Petit-Dutaillis, Henri Hauser | Revue Historique | 1910 | 353-397 | https://www.jstor.org/stable/40943205
ciphers/fr20140-danzay-1557	Daussy AND Danzay AND (lettres OR épistolaire)	2026-09-24	done 2026-09-24	Le "Convoi" des vaisseaux marchands aux XVIe et XVIIe siècles | Gaston Zeller | Revue d'histoire moderne et contemporaine (1954-) | 1956 | 67-87 | https://www.jstor.org/stable/20527113
ciphers/fr20140-danzay-1557	"Danzay" AND ("marchands de Lyon" OR Augsbourg) AND 1557	2026-09-24	done 2026-09-24	Les relations économiques des villes de la Baltique avec Anvers au XVIème siècle (suite) | Pierre Jeannin | Vierteljahrschrift für Sozial- und Wirtschaftsgeschichte | 1956 | 323-355 | https://www.jstor.org/stable/20728041 ; INVENTAIRE DES PIÈCES MANUSCRITES DE LA COLLECTION GODEFROY, CONSERVÉE A LA BIBLIOTHÈQUE DE L'INSTITUT | - | Annuaire-Bulletin de la Société de l'histoire de France | 1865 | 4-239 | https://www.jstor.org/stable/23401625
