line	position	sign	confidence	alt	why
04614_p1_L01_a	1	w:Pour	M	A:-	gap
04614_p1_L01_a	2	w:luy	M	A:-	gap
04614_p1_L01_a	3	w:dire	M	A:-	gap
04614_p1_L01_a	4	w:Monsieur	M	B:w:que	differ
04614_p1_L01_a	5	w:Vous	M	B:w:vous	differ
04614_p1_L01_a	6	w:ne	H		agree
04614_p1_L01_a	7	w:pourriez	M		agree-flagged
04614_p1_L01_a	8	w:croire	M	B:w:trop	differ
04614_p1_L01_a	9	w:le	H		agree
04614_p1_L01_a	10	w:grand	H		agree
04614_p1_L01_a	11	w:contentement	H		agree
04614_p1_L01_a	12	w:que	H		agree
04614_p1_L01_a	13	w:toute	H		agree
04614_p1_L01_a	14	w:la	M		agree-flagged
04614_p1_L01_a	15	w:compagnie	M	B:w:compaignie	differ
04614_p1_L01_b	1	w:a	H		agree
04614_p1_L01_b	2	w:eu	H		agree
04614_p1_L01_b	3	w:d'entendre	M		agree-flagged
04614_p1_L01_b	4	w:toutes	H		agree
04614_p1_L01_b	5	w:les	H		agree
04614_p1_L01_b	6	w:particularites	M	B:w:particularitez	differ
04614_p1_L01_b	7	w:de	H		agree
04614_p1_L01_b	8	w:l'estat	M		agree-flagged
04614_p1_L01_b	9	w:de	H		agree
04614_p1_L01_b	10	w:vos	H		agree
04614_p1_L01_b	11	w:affaires	H		agree
04614_p1_L01_b	12	w:par	M		agree-flagged
04614_p1_L01_b	13	76	M		agree-flagged
04614_p1_L01_b	14	61	M		agree-flagged
04614_p1_L01_b	15	31	H		agree
04614_p1_L01_c	1	32	H		agree
04614_p1_L01_c	2	98	M	B:96	differ
04614_p1_L01_c	3	81	H		agree
04614_p1_L01_c	4	1	M	B:6	differ
04614_p1_L01_c	5	36	H		agree
04614_p1_L01_c	6	26	H		agree
04614_p1_L01_c	7	w:et	M		agree-flagged
04614_p1_L01_c	8	w:et	M	B:w:ce	differ
04614_p1_L01_c	9	w:d'autant	H		agree
04614_p1_L01_c	10	w:plus	H		agree
04614_p1_L01_c	11	w:qui	M	B:w:que	differ
04614_p1_L01_c	12	w:nous	H		agree
04614_p1_L01_c	13	w:a	H		agree
04614_p1_L01_c	14	w:rendu	M		agree-flagged
04614_p1_L01_c	15	w:certaines	M	B:w:certains	differ
04614_p1_L01_c	16	w:du	H		agree
04614_p1_L01_c	17	w:prouffit	M	B:w:bruit	differ
04614_p1_L01_d	1	w:que	M	B:w:qui	differ
04614_p1_L01_d	2	w:nous	H		agree
04614_p1_L01_d	3	w:faisoit	M	B:w:disoit	differ
04614_p1_L01_d	4	w:courir	M		agree-flagged
04614_p1_L01_d	5	w:que	H		agree
04614_p1_L01_d	6	8	M	B:84	differ
04614_p1_L01_d	7	2	H		agree
04614_p1_L01_d	8	83	H		agree
04614_p1_L01_d	9	118	M	B:116	differ
04614_p1_L01_d	10	101	H		agree
04614_p1_L01_d	11	71	M		agree-flagged
04614_p1_L01_d	12	94	M		agree-flagged
04614_p1_L01_d	13	27	H		agree
04614_p1_L01_d	14	32	H		agree
04614_p1_L01_d	15	6	H		agree
04614_p1_L01_d	16	102	H	B:102	settled on page image (AX-COMP): 102
04614_p1_L01_d	17	27	H		agree
04614_p1_L01_d	18	91	M	B:81	differ
04614_p1_L02_a	1	85	H		agree
04614_p1_L02_a	2	34	H		agree
04614_p1_L02_a	3	103	H		agree
04614_p1_L02_a	4	22	H		agree
04614_p1_L02_a	5	81	H		agree
04614_p1_L02_a	6	77	H		agree
04614_p1_L02_a	7	82	H		agree
04614_p1_L02_a	8	112	H		agree
04614_p1_L02_a	9	62	H		agree
04614_p1_L02_a	10	97	M		agree-flagged
04614_p1_L02_a	11	63	H		agree
04614_p1_L02_a	12	51	M		agree-flagged
04614_p1_L02_a	13	82	H		agree
04614_p1_L02_a	14	83	H		agree
04614_p1_L02_a	15	3	H		agree
04614_p1_L02_a	16	221	M		agree-flagged
04614_p1_L02_a	17	77	H		agree
04614_p1_L02_a	18	64	H		agree
04614_p1_L02_a	19	34	H		agree
04614_p1_L02_a	20	32	H		agree
04614_p1_L02_a	21	98	M		agree-flagged
04614_p1_L02_b	1	81	H		agree
04614_p1_L02_b	2	5	H		agree
04614_p1_L02_b	3	37	H		agree
04614_p1_L02_b	4	28	H		agree
04614_p1_L02_b	5	84	H		agree
04614_p1_L02_b	6	29	H		agree
04614_p1_L02_b	7	35	H		agree
04614_p1_L02_b	8	11	H		agree
04614_p1_L02_b	9	65	H		agree
04614_p1_L02_b	10	24	H		agree
04614_p1_L02_b	11	31	H		agree
04614_p1_L02_b	12	104	H		agree
04614_p1_L02_b	13	12	H		agree
04614_p1_L02_b	14	8	H		agree
04614_p1_L02_b	15	40	H		agree
04614_p1_L02_b	16	27	H		agree
04614_p1_L02_b	17	289	M		agree-flagged
04614_p1_L02_b	18	7	H		agree
04614_p1_L02_b	19	39	H		agree
04614_p1_L02_b	20	105	H		agree
04614_p1_L02_b	21	112	H		agree
04614_p1_L02_c	1	31	H		agree
04614_p1_L02_c	2	21	H		agree
04614_p1_L02_c	3	6	H		agree
04614_p1_L02_c	4	36	H		agree
04614_p1_L02_c	5	40	H		agree
04614_p1_L02_c	6	82	H		agree
04614_p1_L02_c	7	22	H		agree
04614_p1_L02_c	8	63	H		agree
04614_p1_L02_c	9	117	M		agree-flagged
04614_p1_L02_c	10	7	H		agree
04614_p1_L02_c	11	2	H		agree
04614_p1_L02_c	12	86	H		agree
04614_p1_L02_c	13	23	H		agree
04614_p1_L02_c	14	84	H		agree
04614_p1_L02_c	15	24	H		agree
04614_p1_L02_c	16	82	H		agree
04614_p1_L02_c	17	172	M		agree-flagged
04614_p1_L02_c	18	111	H		agree
04614_p1_L02_c	19	81	H		agree
04614_p1_L02_c	20	16	H		agree
04614_p1_L02_c	21	37	H		agree
04614_p1_L02_c	22	83	H		agree
04614_p1_L02_c	23	111	H		agree
04614_p1_L02_d	1	85	H		agree
04614_p1_L02_d	2	28	H		agree
04614_p1_L02_d	3	33	H		agree
04614_p1_L02_d	4	63	H		agree
04614_p1_L02_d	5	111	H		agree
04614_p1_L02_d	6	113	H		agree
04614_p1_L02_d	7	82	H		agree
04614_p1_L02_d	8	121	H		agree
04614_p1_L02_d	9	132	M		agree-flagged
04614_p1_L02_d	10	12	H		agree
04614_p1_L02_d	11	7	H		agree
04614_p1_L02_d	12	40	H		agree
04614_p1_L02_d	13	25	H		agree
04614_p1_L02_d	14	62	H		agree
04614_p1_L02_d	15	31	H		agree
04614_p1_L02_d	16	35	H		agree
04614_p1_L02_d	17	63	H		agree
04614_p1_L02_d	18	2	H		agree
04614_p1_L02_d	19	78	H		agree
04614_p1_L02_d	20	21	H		agree
04614_p1_L02_d	21	85	H		agree
04614_p1_L02_e	1	79	H		agree
04614_p1_L02_e	2	81	H		agree
04614_p1_L02_e	3	112	H		agree
04614_p1_L02_e	4	64	H		agree
04614_p1_L02_e	5	30	H		agree
04614_p1_L02_e	6	72	H		agree
04614_p1_L02_e	7	97	M		agree-flagged
04614_p1_L02_e	8	65	H		agree
04614_p1_L02_e	9	22	H		agree
04614_p1_L02_e	10	91	M		agree-flagged
04614_p1_L02_e	11	82	H		agree
04614_p1_L02_e	12	76	M		agree-flagged
04614_p1_L02_e	13	81	H		agree
04614_p1_L02_e	14	30	H		agree
04614_p1_L02_e	15	103	H		agree
04614_p1_L02_e	16	82	H		agree
04614_p1_L02_e	17	40	H		agree
04614_p1_L02_e	18	21	H		agree
04614_p1_L02_e	19	90	H		agree
04614_p1_L02_e	20	81	H		agree
04614_p1_L02_e	21	21	H		agree
04614_p1_L03_a	1	92	H		agree
04614_p1_L03_a	2	6	H		agree
04614_p1_L03_a	3	37	H		agree
04614_p1_L03_a	4	28	H		agree
04614_p1_L03_a	5	82	H		agree
04614_p1_L03_a	6	w:le	M	B:w:ce	differ
04614_p1_L03_a	7	w:que	H		agree
04614_p1_L03_a	8	w:nous	H		agree
04614_p1_L03_a	9	w:a	H		agree
04614_p1_L03_a	10	w:mande	M		agree-flagged
04614_p1_L03_a	11	w:par	H		agree
04614_p1_L03_a	12	w:un	H		agree
04614_p1_L03_a	13	w:homme	M		agree-flagged
04614_p1_L03_a	14	w:expres	M		agree-flagged
04614_p1_L03_a	15	w:qui	H		agree
04614_p1_L03_a	16	w:nous	H		agree
04614_p1_L03_a	17	w:supplioit	M	B:w:soubzploit	differ
04614_p1_L03_b	1	w:De	M	B:w:Le	differ
04614_p1_L03_b	2	w:poinct	M	B:w:point	differ
04614_p1_L03_b	3	40	H		agree
04614_p1_L03_b	4	7	H		agree
04614_p1_L03_b	5	36	H		agree
04614_p1_L03_b	6	111	H		agree
04614_p1_L03_b	7	112	H		agree
04614_p1_L03_b	8	9	H		agree
04614_p1_L03_b	9	21	H		agree
04614_p1_L03_b	10	12	H		agree
04614_p1_L03_b	11	61	M		agree-flagged
04614_p1_L03_b	12	26	H		agree
04614_p1_L03_b	13	30	H		agree
04614_p1_L03_b	14	82	H		agree
04614_p1_L03_b	15	23	H		agree
04614_p1_L03_b	16	114	H		agree
04614_p1_L03_b	17	64	M		agree-flagged
04614_p1_L03_b	18	117	M		agree-flagged
04614_p1_L03_b	19	82	H		agree
04614_p1_L03_b	20	38	H		agree
04614_p1_L03_c	1	26	H		agree
04614_p1_L03_c	2	85	H		agree
04614_p1_L03_c	3	65	M		agree-flagged
04614_p1_L03_c	4	36	H		agree
04614_p1_L03_c	5	64	M		agree-flagged
04614_p1_L03_c	6	3	H		agree
04614_p1_L03_c	7	33	H		agree
04614_p1_L03_c	8	115	M		agree-flagged
04614_p1_L03_c	9	81	H		agree
04614_p1_L03_c	10	63	H		agree
04614_p1_L03_c	11	40	H		agree
04614_p1_L03_c	12	10	H		agree
04614_p1_L03_c	13	22	H		agree
04614_p1_L03_c	14	6	H		agree
04614_p1_L03_c	15	37	H		agree
04614_p1_L03_c	16	13	H		agree
04614_p1_L03_c	17	7	H		agree
04614_p1_L03_c	18	36	H		agree
04614_p1_L03_c	19	22	H		agree
04614_p1_L03_c	20	72	H		agree
04614_p1_L03_c	21	81	H		agree
04614_p1_L03_d	1	16	H		agree
04614_p1_L03_d	2	38	H		agree
04614_p1_L03_d	3	102	H		agree
04614_p1_L03_d	4	13	H		agree
04614_p1_L03_d	5	6	H		agree
04614_p1_L03_d	6	36	H		agree
04614_p1_L03_d	7	21	H		agree
04614_p1_L03_d	8	33	H		agree
04614_p1_L03_d	9	7	H		agree
04614_p1_L03_d	10	31	H		agree
04614_p1_L03_d	11	26	H		agree
04614_p1_L03_d	12	72	H		agree
04614_p1_L03_d	13	96	M		agree-flagged
04614_p1_L03_d	14	8	H		agree
04614_p1_L03_d	15	27	H		agree
04614_p1_L03_d	16	82	H		agree
04614_p1_L03_d	17	94	M		agree-flagged
04614_p1_L03_d	18	25	H		agree
04614_p1_L03_d	19	61	M		agree-flagged
04614_p1_L03_d	20	2	H		agree
04614_p1_L03_d	21	76	M		agree-flagged
04614_p1_L03_d	22	85	H		agree
04614_p1_L03_d	23	117	M		agree-flagged
04614_p1_L04_a	1	90	M	B:-	gap
04614_p1_L04_a	2	87	M	B:-	gap
04614_p1_L04_a	3	61	M	B:-	gap
04614_p1_L04_a	4	21	M	B:57	differ
04614_p1_L04_a	5	82	M		agree-flagged
04614_p1_L04_a	6	138	M	A:-	gap
04614_p1_L04_a	7	29	M	B:64	differ
04614_p1_L04_a	8	126	M	B:2	differ
04614_p1_L04_a	9	132	M	B:32	differ
04614_p1_L04_a	10	75	M	B:65	differ
04614_p1_L04_a	11	82	M	B:92	differ
04614_p1_L04_a	12	20	M	B:85	differ
04614_p1_L04_a	13	36	M	B:76	differ
04614_p1_L04_a	14	81	H		agree
04614_p1_L04_a	15	114	M	B:-	gap
04614_p1_L04_a	16	37	M	B:-	gap
04614_p1_L04_a	17	102	M	B:-	gap
04614_p1_L04_a	18	62	M	B:-	gap
04614_p1_L04_a	19	39	M	B:-	gap
04614_p1_L04_a	20	8	M	B:40	differ
04614_p1_L04_a	21	2	M	B:6	differ
04614_p1_L04_a	22	27	M	B:36	differ
04614_p1_L04_a	23	65	M	B:26	differ
04614_p1_L04_a	24	77	M	B:64	differ
04614_p1_L04_b	1	90	M	A:-	gap
04614_p1_L04_b	2	87	M	A:-	gap
04614_p1_L04_b	3	61	M	A:-	gap
04614_p1_L04_b	4	72	M	B:21	differ
04614_p1_L04_b	5	6	M	B:82	differ
04614_p1_L04_b	6	24	M	B:29	differ
04614_p1_L04_b	7	79	M	B:126	differ
04614_p1_L04_b	8	85	M	B:132	differ
04614_p1_L04_b	9	31	M	B:75	differ
04614_p1_L04_b	10	10	M	B:82	differ
04614_p1_L04_b	11	40	M	B:20	differ
04614_p1_L04_b	12	32	M	B:36	differ
04614_p1_L04_b	13	81	H		agree
04614_p1_L04_b	14	87	M	B:-	gap
04614_p1_L04_b	15	6	M	B:114	differ
04614_p1_L04_b	16	103	M	B:37	differ
04614_p1_L04_b	17	28	M	B:102	differ
04614_p1_L04_b	18	62	H		agree
04614_p1_L04_b	19	39	H		agree
04614_p1_L04_b	20	84	M	B:-	gap
04614_p1_L04_b	21	73	M	B:8	differ
04614_p1_L04_b	22	35	M	B:2	differ
04614_p1_L04_b	23	23	M	B:27	differ
04614_p1_L04_b	24	84	M	B:65	differ
04614_p1_L04_b	25	28	M	B:77	differ
04614_p1_L04_c	1	91	M	B:72	differ
04614_p1_L04_c	2	21	M	B:6	differ
04614_p1_L04_c	3	61	M	B:24	differ
04614_p1_L04_c	4	2	M	B:79	differ
04614_p1_L04_c	5	76	M	B:85	differ
04614_p1_L04_c	6	82	M	B:31	differ
04614_p1_L04_c	7	77	M	B:10	differ
04614_p1_L04_c	8	103	M	B:40	differ
04614_p1_L04_c	9	88	M	B:32	differ
04614_p1_L04_c	10	86	M	B:81	differ
04614_p1_L04_c	11	105	M	B:87	differ
04614_p1_L04_c	12	71	M	B:6	differ
04614_p1_L04_c	13	74	M	B:103	differ
04614_p1_L04_c	14	37	M	B:28	differ
04614_p1_L04_c	15	113	M	B:62	differ
04614_p1_L04_c	16	33	M	B:39	differ
04614_p1_L04_c	17	81	M	B:84	differ
04614_p1_L04_c	18	74	M	B:73	differ
04614_p1_L04_c	19	6	M	B:35	differ
04614_p1_L04_c	20	118	M	B:23	differ
04614_p1_L04_c	21	120	M	B:84	differ
04614_p1_L04_c	22	85	M	B:28	differ
04614_p1_L04_d	1	91	M	A:-	gap
04614_p1_L04_d	2	21	M	A:-	gap
04614_p1_L04_d	3	61	M	A:-	gap
04614_p1_L04_d	4	2	M	A:-	gap
04614_p1_L04_d	5	76	M	A:-	gap
04614_p1_L04_d	6	82	M	A:-	gap
04614_p1_L04_d	7	77	M	A:-	gap
04614_p1_L04_d	8	103	M	A:-	gap
04614_p1_L04_d	9	88	M	A:-	gap
