code	plaintext
b	A
p	A
q-	C
y	D
tt	E
nn	F
ny	G
Z	I
8	I
a	L
9	N
5	N
m	O
u	P
f	P
q=	R
d	S
l	S
w	T
Y	U
ss	U
35_	BA
36_	BE
37_	BI
38_	BO
39_	BU
40_	CA
41_	CE
42_	CI
43_	CO
44_	CU
45_	DA
46_	DE
47_	DI
48_	DO
49_	DU
50_	FA
51_	FE
52_	FI
53_	FO
54_	FU
55_	GA
56_	GE
57_	GI
58_	GO
59_	GU
60_	HA
61_	HE
62_	HI
63_	HO
64_	HU
65_	JA
66_	JE
67_	JI
68_	JO
69_	JU
70_	LA
71_	LE
1_	LE ROY
72_	LI
73_	LO
74_	LU
75_	MA
76_	ME
77_	MI
78_	MO
79_	MU
80_	NA
81_	NE
82_	NI
83_	NO
84_	NU
85_	PA
86_	PE
87_	PI
88_	PO
89_	PU
90	QUA
91	QUE
92	QUI
93	QUO
94	QUU
10	RA
11	RE
12	RI
13	RO
14	RU
15	SA
16	SE
17	SI
18	SO
19	SU
20	TA
21	TE
22	TI
23	TO
24	TU
25	VA
26	VE
27	VI
28	VO
29	VU
