line	signs_A	signs_B	agree	columns	share
p1_L01	19	21	13	21	0.619
p1_L02	20	22	4	23	0.174
p1_L03	27	28	23	28	0.821
p1_L04	27	27	26	27	0.963
p1_L05	24	24	20	24	0.833
p1_L06	26	26	22	26	0.846
p1_L07	22	22	14	23	0.609
p1_L08	22	23	0	23	0.000
p1_L09	23	23	2	25	0.080
p1_L10	23	24	3	28	0.107
p1_L11	24	23	1	25	0.040
p1_L12	23	22	0	23	0.000
p1_L13	19	23	0	23	0.000
p1_L14	22	26	2	26	0.077
p1_L15	26	18	1	26	0.038
p1_L16	34	28	1	34	0.029
p1_L17	16	17	0	17	0.000
p1_L18	15	20	1	21	0.048
p1_L19	19	18	1	19	0.053
p1_L20	17	21	1	21	0.048
p1_L21	19	21	0	21	0.000
p1_L22	21	24	1	24	0.042
p1_L23	48	24	23	48	0.479
p1_L24	42	42	40	42	0.952
p1_L25	16	19	13	19	0.684
p1_L26	15	18	11	19	0.579
p1_L27	18	21	18	21	0.857
p1_L28	20	21	19	21	0.905
p1_L29	20	20	18	20	0.900
p1_L30	19	21	17	21	0.810
p1_L31	21	24	19	24	0.792
p1_L32	24	24	21	24	0.875
p1_L33	23	23	17	24	0.708
p1_L34	1	1	1	1	1.000
p1_L35	1	1	1	1	1.000
p1_L36	1	1	1	1	1.000
p2_L01	21	22	21	22	0.955
p2_L02	19	19	9	19	0.474
p2_L03	20	18	7	20	0.350
p2_L04	18	19	6	19	0.316
p2_L05	23	23	22	23	0.957
p2_L06	22	22	22	22	1.000
p2_L07	23	23	20	23	0.870
p2_L08	22	22	17	22	0.773
p2_L09	21	21	17	21	0.810
p2_L10	17	19	10	19	0.526
p2_L11	13	15	5	15	0.333
p2_L12	17	16	4	17	0.235
p2_L13	16	16	5	19	0.263
p2_L14	14	15	8	15	0.533
p2_L15	15	17	5	17	0.294
p2_L16	13	14	3	14	0.214
p2_L17	17	15	6	17	0.353
p2_L18	7	7	3	7	0.429
p2_L19	7	7	4	8	0.500
p2_L20	12	14	7	14	0.500
p2_L21	1	1	1	1	1.000
p2_L22	1	1	1	1	1.000
p2_L23	1	1	1	1	1.000
