page	block	line	pos	token
0030	dup10	5	1	66
0030	dup10	5	2	d
0030	dup10	5	3	24
0030	dup10	5	4	88
0030	dup10	5	5	zz
0030	dup10	5	6	90
0030	dup10	5	7	37
0030	dup10	5	8	70
0030	dup10	5	9	30
0030	dup10	5	10	98
0030	dup10	5	11	35
0030	dup10	5	12	zi
0030	dup10	5	13	99
0030	dup10	5	14	74
0030	dup10	5	15	93
0030	dup10	5	16	7b
0030	dup10	5	17	55
0030	dup10	5	18	15
0030	dup10	5	19	60
0030	dup10	5	20	4z
0030	dup10	5	21	ii
0030	dup10	5	22	pl
0030	dup10	5	23	#
0030	dup10	5	24	z
0030	dup10	5	25	b
0030	dup10	5	26	30
0030	dup10	5	27	ILLEGIBLE
0030	dup10	5	28	zi
0030	dup10	5	29	58
0030	dup10	5	30	35
0030	dup10	5	31	83
0030	dup10	5	32	4z
0030	dup10	5	33	z6
0030	dup10	5	34	ib
0030	dup10	5	35	z6
0030	dup10	5	36	18
0030	dup10	5	37	73
0030	dup10	5	38	78
0030	dup10	5	39	4i
0030	dup10	5	40	79
0030	dup10	5	41	56
0030	dup10	6	1	60
0030	dup10	6	2	98
0030	dup10	6	3	v
0030	dup10	6	4	hf
0030	dup10	6	5	zz7
0030	dup10	6	6	7i
0030	dup10	6	7	z5
0030	dup10	6	8	79
0030	dup10	6	9	30
0030	dup10	6	10	38
0030	dup10	6	11	5i
0030	dup10	6	12	84
0030	dup10	6	13	z5
0030	dup10	6	14	7i
0030	dup10	6	15	73
0030	dup10	6	16	30
0030	dup10	6	17	48
0030	dup10	6	18	60
0030	dup10	6	19	15
0030	dup10	6	20	36
0030	dup10	6	21	n
0030	dup10	6	22	60
0030	dup10	6	23	70
0030	dup10	6	24	73
0030	dup10	6	25	84
0030	dup10	6	26	44
0030	dup10	6	27	z3
0030	dup10	6	28	46
0030	dup10	6	29	84
0030	dup10	6	30	zz
0030	dup10	6	31	37
0030	dup10	6	32	70
0030	dup10	6	33	ILLEGIBLE
0030	dup10	6	34	u
0030	dup10	6	35	63
0030	dup10	6	36	z40
0030	dup10	6	37	4
0030	dup10	6	38	99
0030	dup10	6	39	55
0030	dup10	6	40	zz
0030	dup10	7	1	63
0030	dup10	7	2	67
0030	dup10	7	3	88
0030	dup10	7	4	30
0030	dup10	7	5	N
0030	dup10	7	6	z35
0030	dup10	7	7	z8
0030	dup10	7	8	3i
0030	dup10	7	9	10
0030	dup10	7	10	48
0030	dup10	7	11	F
0030	dup10	7	12	36
0030	dup10	7	13	56
0030	dup10	7	14	z6
0030	dup10	7	15	16
0030	dup10	7	16	3i
0030	dup10	7	17	73
0030	dup10	7	18	30
0030	dup10	7	19	z6
0030	dup10	7	20	56
0030	dup10	7	21	ii
0030	dup10	7	22	4i
0030	dup10	7	23	4
0030	dup10	7	24	73
0030	dup10	7	25	A
0030	dup10	7	26	v6
0030	dup10	7	27	777z
0030	dup10	7	28	7i
0030	dup10	7	29	99
0030	dup10	7	30	B
0030	dup10	7	31	48
0030	dup10	7	32	55
0030	dup10	7	33	14
0030	dup10	7	34	i5
0030	dup10	7	35	70
0030	dup10	7	36	zz
0030	dup10	7	37	43
0030	dup10	7	38	78
0030	dup10	7	39	z
0030	dup10	7	40	87
0030	dup10	7	41	87
0030	dup10	8	1	193
0030	dup10	8	2	ziz
0030	dup10	8	3	O
0030	dup10	8	4	88
0030	dup10	8	5	38
0030	dup10	8	6	51
0030	dup10	8	7	ILLEGIBLE
0030	dup10	8	8	197
0030	dup10	8	9	7z
0030	dup10	8	10	z6
0030	dup10	8	11	L
0030	dup10	8	12	76
0030	dup10	8	13	30
0030	dup10	8	14	ii
0030	dup10	8	15	zz
0030	dup10	8	16	i5
0030	dup10	8	17	31
0030	dup10	8	18	i5
0030	dup10	8	19	73
0030	dup10	8	20	K
0030	dup10	8	21	77
0030	dup10	8	22	i6
0030	dup10	8	23	25
0030	dup10	8	24	8i
0030	dup10	8	25	G
0030	dup10	8	26	60
0030	dup10	8	27	55
0030	dup10	8	28	i0
0030	dup10	8	29	i6
0030	dup10	8	30	97
0030	dup10	8	31	i37
0030	dup10	8	32	i6
0030	dup10	8	33	99
0030	dup10	8	34	N
0030	dup10	8	35	61
0030	dup10	8	36	130
0030	dup10	8	37	ziz
0030	dup10	8	38	z
0030	dup10	8	39	p
0030	dup10	8	40	z78
0030	dup10	8	41	36
0030	dup10	8	42	N
0030	dup10	8	43	79
0030	dup10	8	44	10
0030	dup10	8	45	i6
0030	dup10	8	46	30
0030	dup10	9	1	65
0030	dup10	9	2	7i
0030	dup10	9	3	7z
0030	dup10	9	4	30
0030	dup10	9	5	89
0030	dup10	9	6	44
0030	dup10	9	7	3z
0030	dup10	9	8	ii
0030	dup10	9	9	84
0030	dup10	9	10	b
0030	dup10	9	11	z73
0030	dup10	9	12	193
0030	dup10	9	13	e
0030	dup10	9	14	n
0030	dup10	9	15	z73
0030	dup10	9	16	z00
0030	dup10	9	17	p
0030	dup10	9	18	i
0030	dup10	9	19	z73
0030	dup10	9	20	94
0030	dup10	9	21	25
0030	dup10	9	22	70
0030	dup10	9	23	54
0030	dup10	9	24	53
0030	dup10	9	25	zz77
0030	dup10	9	26	99
0030	dup10	9	27	ii
0030	dup10	9	28	37
0030	dup10	9	29	79
0030	dup10	9	30	83
0030	dup10	9	31	7z
0030	dup10	9	32	55
0030	dup10	9	33	A
0030	dup10	9	34	5
0030	dup10	9	35	d
0030	dup10	9	36	3i
0030	dup10	9	37	79
0030	dup10	9	38	X
0030	dup10	9	39	i
0030	dup10	9	40	5i
0030	dup10	9	41	24
0030	dup10	9	42	148
0030	dup10	10	1	99
0030	dup10	10	2	73
0030	dup10	10	3	ct
0030	dup10	10	4	36
0030	dup10	10	5	ii
0030	dup10	10	6	zz
0030	dup10	10	7	54
0030	dup10	10	8	i6
0030	dup10	10	9	zz
0030	dup10	10	10	79
0030	dup10	10	11	60
0030	dup10	10	12	37
0030	dup10	10	13	76
0030	dup10	10	14	ct
0030	dup10	10	15	4y
0030	dup10	10	16	4bi
0030	dup10	10	17	zz379
0030	dup10	10	18	30
0030	dup10	10	19	60
0030	dup10	10	20	O
0030	dup10	10	21	55
0030	dup10	10	22	30
0030	dup10	10	23	38
0030	dup10	10	24	5i
0030	dup10	10	25	b7
0030	dup10	10	26	55
0030	dup10	10	27	90
0030	dup10	10	28	7i
0030	dup10	10	29	5i
0030	dup10	10	30	73
0030	dup10	10	31	R
0030	dup10	10	32	6i
0030	dup10	10	33	44
0030	dup10	10	34	36
0030	dup10	10	35	5z
0030	dup10	10	36	75
0030	dup10	10	37	407i
