line	pos	sign
52	1	[PLAIN:ILLEGIBLE]
52	2	83
52	3	36
52	4	30
52	5	93
52	6	16
52	7	zz
52	8	60
52	9	74
52	10	79
52	11	7
52	12	z
52	13	16
52	14	30
52	15	[PLAIN:ILLEGIBLE]
52	16	96
52	17	z
52	18	1
52	19	54
52	20	78
52	21	1
52	22	1
52	23	N
52	24	16
52	25	30
53	1	55
53	2	99
53	3	13
53	4	10
53	5	Y
53	6	z
53	7	25
53	8	1
53	9	80
53	10	78
53	11	73
53	12	8
53	13	z
53	14	z
53	15	16
53	16	zz
53	17	76
53	18	88
53	19	30
53	20	73
53	21	93
53	22	zz
53	23	16
53	24	25
53	25	7
53	26	z
53	27	79
53	28	N
53	29	60
53	30	6
53	31	z
53	32	73
53	33	6
53	34	z
53	35	79
53	36	7
53	37	z
53	38	16
53	39	83
53	40	87
53	41	55
53	42	74
53	43	77
53	44	1
53	45	1
53	46	16
53	47	16
53	48	7
53	49	z
53	50	44
53	51	65
54	1	z
54	2	84
54	3	73
54	4	14
54	5	74
54	6	z
54	7	11
54	8	zz
54	9	3
54	10	z
54	11	16
54	12	84
54	13	74
54	14	70
54	15	88
54	16	85
54	17	7
54	18	1
54	19	55
54	20	80
54	21	9
54	22	z
54	23	16
54	24	zz
54	25	91
54	26	30
54	27	36
54	28	6
54	29	z
54	30	29
54	31	16
54	32	44
54	33	87
54	34	99
54	35	77
54	36	7
54	37	80
54	38	88
54	39	67
54	40	84
54	41	55
54	42	67
54	43	16
54	44	zz
54	45	28
54	46	44
54	47	67
54	48	6
54	49	z
55	1	30
55	2	55
55	3	H
55	4	1
55	5	6
55	6	30
55	7	13
55	8	Y
55	9	83
55	10	5
55	11	1
55	12	73
55	13	zz
55	14	16
55	15	44
55	16	6
55	17	82
55	18	55
55	19	91
55	20	1
55	21	16
55	22	zz
55	23	68
55	24	11
55	25	16
55	26	75
55	27	W
55	28	zz
55	29	6
55	30	z
55	31	76
55	32	25
55	33	7
55	34	1
55	35	80
55	36	9
55	37	zz
55	38	28
55	39	31
55	40	2
55	41	6
55	42	1
55	43	6
55	44	30
55	45	77
55	46	Y
55	47	60
55	48	6
55	49	1
55	50	63
56	1	9
56	2	z
56	3	87
56	4	83
56	5	S
56	6	N
56	7	7
56	8	1
56	9	93
56	10	4
56	11	z
56	12	zz
56	13	3
56	14	G
56	15	44
56	16	60
56	17	36
56	18	7
56	19	zz
56	20	25
56	21	9
56	22	z
56	23	Y
56	24	zz
56	25	X
56	26	55
56	27	67
56	28	16
56	29	44
56	30	3
56	31	8
56	32	1
56	33	29
56	34	8
56	35	zz
56	36	79
56	37	83
56	38	6
56	39	1
56	40	4
56	41	80
56	42	99
56	43	73
56	44	8
56	45	1
56	46	53
56	47	16
56	48	zz
56	49	10
56	50	88
56	51	30
56	52	43
57	1	[PLAIN:ILLEGIBLE]
