page	block	line	pos	token
0012	postscript2	1	1	47
0012	postscript2	1	2	O
0012	postscript2	1	3	60
0012	postscript2	1	4	93
0012	postscript2	1	5	54
0012	postscript2	1	6	61
0012	postscript2	1	7	7
0012	postscript2	1	8	97
0012	postscript2	1	9	95
0012	postscript2	1	10	10
0012	postscript2	1	11	16
0012	postscript2	1	12	63
0012	postscript2	1	13	18
0012	postscript2	1	14	61
0012	postscript2	1	15	83
0012	postscript2	1	16	129
0012	postscript2	1	17	76
0012	postscript2	1	18	G
0012	postscript2	1	19	42
0012	postscript2	1	20	51
0012	postscript2	1	21	35
0012	postscript2	1	22	22
0012	postscript2	1	23	11
0012	postscript2	1	24	29
0012	postscript2	1	25	58
0012	postscript2	1	26	89
0012	postscript2	1	27	31
0012	postscript2	1	28	91
0012	postscript2	1	29	35
0012	postscript2	1	30	42
0012	postscript2	1	31	49
0012	postscript2	1	32	63
0012	postscript2	2	1	63
0012	postscript2	2	2	58
0012	postscript2	2	3	22
0012	postscript2	2	4	56
0012	postscript2	2	5	84
0012	postscript2	2	6	85
0012	postscript2	2	7	55
0012	postscript2	2	8	10
0012	postscript2	2	9	48
0012	postscript2	2	10	97
0012	postscript2	2	11	46
0012	postscript2	2	12	61
0012	postscript2	2	13	42
0012	postscript2	2	14	97
0012	postscript2	2	15	35
0012	postscript2	2	16	42
0012	postscript2	2	17	69
0012	postscript2	2	18	7
0012	postscript2	2	19	61
0012	postscript2	2	20	63
0012	postscript2	2	21	92
0012	postscript2	2	22	45
0012	postscript2	2	23	83
0012	postscript2	2	24	66
0012	postscript2	2	25	29
0012	postscript2	2	26	49
0012	postscript2	2	27	Y
0012	postscript2	2	28	63
0012	postscript2	2	29	92
0012	postscript2	2	30	49
0012	postscript2	2	31	42
0012	postscript2	3	1	61
0012	postscript2	3	2	31
0012	postscript2	3	3	27
0012	postscript2	3	4	36
0012	postscript2	3	5	13
0012	postscript2	3	6	99
0012	postscript2	3	7	91
0012	postscript2	3	8	61
0012	postscript2	3	9	22
0012	postscript2	3	10	44
0012	postscript2	3	11	89
0012	postscript2	3	12	N
0012	postscript2	3	13	98
0012	postscript2	3	14	45
0012	postscript2	3	15	H
0012	postscript2	3	16	G
0012	postscript2	3	17	22
0012	postscript2	3	18	84
0012	postscript2	3	19	44
0012	postscript2	3	20	43
0012	postscript2	3	21	24
0012	postscript2	3	22	60
0012	postscript2	3	23	49
0012	postscript2	3	24	83
0012	postscript2	3	25	86
0012	postscript2	3	26	97
0012	postscript2	3	27	95
0012	postscript2	3	28	27
0012	postscript2	3	29	61
0012	postscript2	3	30	63
0012	postscript2	3	31	61
0012	postscript2	3	32	30
0012	postscript2	4	1	21
0012	postscript2	4	2	28
0012	postscript2	4	3	99
0012	postscript2	4	4	41
0012	postscript2	4	5	61
0012	postscript2	4	6	63
0012	postscript2	4	7	13
0012	postscript2	4	8	35
0012	postscript2	4	9	99
0012	postscript2	4	10	60
0012	postscript2	4	11	84
0012	postscript2	4	12	83
0012	postscript2	4	13	42
0012	postscript2	4	14	66
0012	postscript2	4	15	O
0012	postscript2	4	16	46
0012	postscript2	4	17	49
0012	postscript2	4	18	97
0012	postscript2	4	19	140
0012	postscript2	4	20	98
0012	postscript2	4	21	58
0012	postscript2	4	22	65
0012	postscript2	4	23	67
0012	postscript2	4	24	49
0012	postscript2	4	25	42
0012	postscript2	4	26	39
0012	postscript2	4	27	63
0012	postscript2	4	28	27
0012	postscript2	4	29	71
0012	postscript2	4	30	97
0012	postscript2	5	1	D
0012	postscript2	5	2	137
0012	postscript2	5	3	39
0012	postscript2	5	4	81
0012	postscript2	5	5	70
0012	postscript2	5	6	30
0012	postscript2	5	7	26
0012	postscript2	5	8	52
0012	postscript2	5	9	58
0012	postscript2	5	10	130
0012	postscript2	5	11	45
0012	postscript2	5	12	46
0012	postscript2	5	13	48
0012	postscript2	5	14	65
0012	postscript2	5	15	99
0012	postscript2	5	16	88
0012	postscript2	5	17	76
0012	postscript2	5	18	49
0012	postscript2	5	19	19
0012	postscript2	5	20	92
0012	postscript2	5	21	60
0012	postscript2	5	22	30
0012	postscript2	5	23	70
0012	postscript2	5	24	80
0012	postscript2	5	25	60
0012	postscript2	5	26	61
0012	postscript2	5	27	63
0012	postscript2	5	28	49
0012	postscript2	5	29	83
0012	postscript2	6	1	99
0012	postscript2	6	2	55
0012	postscript2	6	3	W
0012	postscript2	6	4	79
0012	postscript2	6	5	63
