page	block	line	pos	token
0028	dup10	5	1	73
0028	dup10	5	2	79
0028	dup10	5	3	71
0028	dup10	5	4	79
0028	dup10	5	5	56
0028	dup10	5	6	68
0028	dup10	5	7	D
0028	dup10	5	8	11
0028	dup10	5	9	88
0028	dup10	5	10	zz
0028	dup10	5	11	90
0028	dup10	5	12	57
0028	dup10	5	13	70
0028	dup10	5	14	30
0028	dup10	5	15	98
0028	dup10	5	16	35
0028	dup10	5	17	zi
0028	dup10	5	18	99
0028	dup10	5	19	71
0028	dup10	5	20	95
0028	dup10	5	21	70
0028	dup10	5	22	55
0028	dup10	5	23	15
0028	dup10	5	24	60
0028	dup10	5	25	1z
0028	dup10	5	26	11
0028	dup10	5	27	Ct
0028	dup10	5	28	#
0028	dup10	5	29	z6
0028	dup10	5	30	30
0028	dup10	5	31	Q
0028	dup10	5	32	3i
0028	dup10	5	33	58
0028	dup10	5	34	35
0028	dup10	5	35	85
0028	dup10	5	36	8z
0028	dup10	5	37	66
0028	dup10	5	38	V6
0028	dup10	5	39	z5
0028	dup10	5	40	S
0028	dup10	5	41	86
0028	dup10	5	42	1z
0028	dup10	5	43	39
0028	dup10	5	44	N
0028	dup10	5	45	5i
0028	dup10	5	46	65
0028	dup10	5	47	ILLEGIBLE
0028	dup10	5	48	3
0028	dup10	5	49	40
0028	dup10	5	50	zz
0028	dup10	5	51	99
0028	dup10	5	52	5z
0028	dup10	6	1	zz
0028	dup10	6	2	60
0028	dup10	6	3	98
0028	dup10	6	4	V
0028	dup10	6	5	Hf
0028	dup10	6	6	zz
0028	dup10	6	7	7i
0028	dup10	6	8	zz
0028	dup10	6	9	5i
0028	dup10	6	10	79
0028	dup10	6	11	30
0028	dup10	6	12	38
0028	dup10	6	13	5i
0028	dup10	6	14	84
0028	dup10	6	15	25
0028	dup10	6	16	7i
0028	dup10	6	17	73
0028	dup10	6	18	30
0028	dup10	6	19	18
0028	dup10	6	20	60
0028	dup10	6	21	15
0028	dup10	6	22	30
0028	dup10	6	23	N
0028	dup10	6	24	60
0028	dup10	6	25	70
