line	pos	sign
hstam_4_h_1411_0023_L34	1	ILLEGIBLE
hstam_4_h_1411_0023_L34	2	ILLEGIBLE
hstam_4_h_1411_0023_L34	3	70
hstam_4_h_1411_0023_L34	4	Y
hstam_4_h_1411_0023_L34	5	V
hstam_4_h_1411_0023_L34	6	z0
hstam_4_h_1411_0023_L34	7	67
hstam_4_h_1411_0023_L34	8	z7
hstam_4_h_1411_0023_L34	9	30
hstam_4_h_1411_0023_L34	10	N
hstam_4_h_1411_0023_L34	11	z7
hstam_4_h_1411_0023_L34	12	10
hstam_4_h_1411_0023_L34	13	83
hstam_4_h_1411_0023_L34	14	V
hstam_4_h_1411_0023_L34	15	zz
hstam_4_h_1411_0023_L34	16	ILLEGIBLE
hstam_4_h_1411_0023_L34	17	j
hstam_4_h_1411_0023_L34	18	79
hstam_4_h_1411_0023_L34	19	B
hstam_4_h_1411_0023_L34	20	84
hstam_4_h_1411_0023_L34	21	z5
hstam_4_h_1411_0023_L34	22	zz
hstam_4_h_1411_0023_L34	23	58
hstam_4_h_1411_0023_L34	24	56
hstam_4_h_1411_0023_L34	25	10
hstam_4_h_1411_0023_L34	26	79
hstam_4_h_1411_0023_L34	27	z5
hstam_4_h_1411_0023_L34	28	15
hstam_4_h_1411_0023_L34	29	10
hstam_4_h_1411_0023_L34	30	z0
hstam_4_h_1411_0023_L34	31	58
hstam_4_h_1411_0023_L34	32	83
hstam_4_h_1411_0023_L34	33	z3
hstam_4_h_1411_0023_L34	34	zx
hstam_4_h_1411_0023_L34	35	ILLEGIBLE
hstam_4_h_1411_0023_L34	36	ILLEGIBLE
hstam_4_h_1411_0023_L35	1	95
hstam_4_h_1411_0023_L35	2	z2
hstam_4_h_1411_0023_L35	3	83
hstam_4_h_1411_0023_L35	4	87
hstam_4_h_1411_0023_L35	5	30
hstam_4_h_1411_0023_L35	6	z3
hstam_4_h_1411_0023_L35	7	15
hstam_4_h_1411_0023_L35	8	35
hstam_4_h_1411_0023_L35	9	W
hstam_4_h_1411_0023_L35	10	48
hstam_4_h_1411_0023_L35	11	83
hstam_4_h_1411_0023_L35	12	10
hstam_4_h_1411_0023_L35	13	zz
hstam_4_h_1411_0023_L35	14	z7
hstam_4_h_1411_0023_L35	15	10
hstam_4_h_1411_0023_L35	16	38
hstam_4_h_1411_0023_L35	17	z9
hstam_4_h_1411_0023_L35	18	56
hstam_4_h_1411_0023_L35	19	76
hstam_4_h_1411_0023_L35	20	186
hstam_4_h_1411_0023_L35	21	87
hstam_4_h_1411_0023_L35	22	H
hstam_4_h_1411_0023_L35	23	11
hstam_4_h_1411_0023_L35	24	z3
hstam_4_h_1411_0023_L35	25	z3
hstam_4_h_1411_0023_L35	26	79
hstam_4_h_1411_0023_L35	27	37
hstam_4_h_1411_0023_L35	28	10
hstam_4_h_1411_0023_L35	29	74
hstam_4_h_1411_0023_L35	30	61
hstam_4_h_1411_0023_L35	31	83
hstam_4_h_1411_0023_L35	32	61
hstam_4_h_1411_0023_L35	33	A
hstam_4_h_1411_0023_L35	34	H
hstam_4_h_1411_0023_L35	35	60
hstam_4_h_1411_0023_L35	36	z0
hstam_4_h_1411_0023_L35	37	V
hstam_4_h_1411_0023_L35	38	D
hstam_4_h_1411_0023_L35	39	13
hstam_4_h_1411_0023_L35	40	60
hstam_4_h_1411_0023_L36	1	27
hstam_4_h_1411_0023_L36	2	70
hstam_4_h_1411_0023_L36	3	56
hstam_4_h_1411_0023_L36	4	11
hstam_4_h_1411_0023_L36	5	z6
hstam_4_h_1411_0023_L36	6	57
hstam_4_h_1411_0023_L36	7	55
hstam_4_h_1411_0023_L36	8	83
hstam_4_h_1411_0023_L36	9	96
hstam_4_h_1411_0023_L36	10	66
hstam_4_h_1411_0023_L36	11	29
hstam_4_h_1411_0023_L36	12	39
hstam_4_h_1411_0023_L36	13	83
hstam_4_h_1411_0023_L36	14	73
hstam_4_h_1411_0023_L36	15	10
hstam_4_h_1411_0023_L36	16	zz
hstam_4_h_1411_0023_L36	17	84
hstam_4_h_1411_0023_L36	18	31
hstam_4_h_1411_0023_L36	19	10
hstam_4_h_1411_0023_L36	20	18
hstam_4_h_1411_0023_L36	21	79
hstam_4_h_1411_0023_L36	22	98
hstam_4_h_1411_0023_L36	23	48
hstam_4_h_1411_0023_L36	24	30
hstam_4_h_1411_0023_L36	25	70
hstam_4_h_1411_0023_L36	26	z
hstam_4_h_1411_0023_L36	27	A
hstam_4_h_1411_0023_L36	28	zz
hstam_4_h_1411_0023_L36	29	zz
hstam_4_h_1411_0023_L36	30	29
hstam_4_h_1411_0023_L36	31	01
hstam_4_h_1411_0023_L36	32	83
hstam_4_h_1411_0023_L36	33	9z
hstam_4_h_1411_0023_L36	34	35
hstam_4_h_1411_0023_L36	35	N
hstam_4_h_1411_0023_L36	36	z6
hstam_4_h_1411_0023_L36	37	84
hstam_4_h_1411_0023_L36	38	63
hstam_4_h_1411_0023_L36	39	G
hstam_4_h_1411_0023_L36	40	B
hstam_4_h_1411_0023_L36	41	50
hstam_4_h_1411_0023_L36	42	59
hstam_4_h_1411_0023_L37	1	97
hstam_4_h_1411_0023_L37	2	49
hstam_4_h_1411_0023_L37	3	63
hstam_4_h_1411_0023_L37	4	70
hstam_4_h_1411_0023_L37	5	H
hstam_4_h_1411_0023_L37	6	10
hstam_4_h_1411_0023_L37	7	30
hstam_4_h_1411_0023_L37	8	z1
hstam_4_h_1411_0023_L37	9	55
hstam_4_h_1411_0023_L37	10	83
hstam_4_h_1411_0023_L37	11	60
hstam_4_h_1411_0023_L37	12	51
hstam_4_h_1411_0023_L37	13	30
hstam_4_h_1411_0023_L37	14	11
hstam_4_h_1411_0023_L37	15	z51
hstam_4_h_1411_0023_L37	16	77
hstam_4_h_1411_0023_L37	17	31
hstam_4_h_1411_0023_L37	18	73
hstam_4_h_1411_0023_L37	19	z71
hstam_4_h_1411_0023_L37	20	25
hstam_4_h_1411_0023_L37	21	23
hstam_4_h_1411_0023_L37	22	z6
hstam_4_h_1411_0023_L37	23	95
hstam_4_h_1411_0023_L37	24	83
hstam_4_h_1411_0023_L37	25	5z
hstam_4_h_1411_0023_L37	26	V
hstam_4_h_1411_0023_L37	27	94
hstam_4_h_1411_0023_L37	28	84
hstam_4_h_1411_0023_L37	29	63
hstam_4_h_1411_0023_L37	30	8z
hstam_4_h_1411_0023_L37	31	48
hstam_4_h_1411_0023_L37	32	30
hstam_4_h_1411_0023_L37	33	10
hstam_4_h_1411_0023_L37	34	G
hstam_4_h_1411_0023_L37	35	X
hstam_4_h_1411_0023_L37	36	6z
hstam_4_h_1411_0023_L37	37	R
hstam_4_h_1411_0023_L37	38	30
