line	position	code	confidence	left_context	right_context
0033_L1	11	27	H	sollt gleichwohl	48.
0033_L1	12	48	H	gleichwohl 27.	30.
0033_L1	13	30	H	27. 48.	19.
0033_L1	14	19	H	48. 30.	21.
0033_L1	15	21	M	30. 19.	29.
0033_L1	16	29	H	19. 21.	30.
0033_L1	17	30	H	21. 29.	85.
0033_L1	18	85	H	29. 30.	56.
0033_L1	19	56	H	30. 85.	11.
0033_L1	20	11	H	85. 56.	26.
0033_L1	21	26	H	56. 11.	27.
0033_L1	22	27	H	11. 26.
0033_L2	1	16	H		63.
0033_L2	2	63	H	16.	j[?]
0033_L2	3	j[?]	L	16. 63.	T.48.
0033_L2	4	T.48	M	63. j[?].	63.
0033_L2	5	63	H	j[?]. T.48.	70.
0033_L2	6	70	H	T.48. 63.	64.
0033_L2	7	64	H	63. 70.	32.
0033_L2	8	32	H	70. 64.	69.
0033_L2	9	69	H	64. 32.	13.
0033_L2	10	13	H	32. 69.	12.
0033_L2	11	12	H	69. 13.	93.
0033_L2	12	93	H	13. 12.	22.
0033_L2	13	22	M	12. 93.	11.
0033_L2	14	11	H	93. 22.	30.
0033_L2	15	30	H	22. 11.	83.
0033_L2	16	83	H	11. 30.	13.
0033_L2	17	13	H	30. 83.	11.N
0033_L2	18	11.N	M	83. 13.	mit GG. A.A.
0033_L8	2	F.13	M	[triangle mark]	123.
0033_L8	3	123	M	[triangle mark] F.13.	5. April. 1637 [date, excluded]
0033_L9	12	Y.22	M	...und Engelland	73.
0033_L9	13	73	H	Engelland Y.22.	D.13.
0033_L9	14	D.13	M	Y.22. 73.	48.
0033_L9	15	48	H	73. D.13.	21.
0033_L9	16	21	M	D.13. 48.	30.
0033_L9	17	30	H	48. 21.	27.
0033_L9	18	27	H	21. 30.
0033_L10	1	24	H		63.
0033_L10	2	63	H	24.	51.
0033_L10	3	51	M	24. 63.	79.
0033_L10	4	79	H	63. 51.	25.
0033_L10	5	25	H	51. 79.	gefahr
0033_L10	7	77	H	25. gefahr	61.
0033_L10	8	61	M	gefahr 77.	75.
0033_L10	9	75	H	77. 61.	90.
0033_L10	10	90	H	61. 75.	70.
0033_L10	11	70	H	75. 90.	57.
0033_L10	12	57	H	90. 70.	48.
0033_L10	13	48	H	70. 57.	46.
0033_L10	14	46	M	57. 48.	11.
0033_L10	15	11	H	48. 46.	83.
0033_L10	16	83	H	46. 11.	29.
0033_L10	17	29	H	11. 83.	16.
0033_L10	18	16	H	83. 29.	24.
0033_L10	19	24	H	29. 16.	42.
0033_L10	20	42	H	16. 24.	10.
0033_L10	21	10	H	24. 42.	mit
0033_L10	23	11	H	10. mit	haben sie in Land
0033_L11	3	11	H	hab gemacht	O.28.
0033_L11	4	O.28	H	hab gemacht 11.	H.16.
0033_L11	5	H.16	H	11. O.28.	13.
0033_L11	6	13	H	O.28. H.16.	24.
0033_L11	7	24	H	H.16. 13.	57.
0033_L11	8	57	H	13. 24.	77.
0033_L11	9	77	H	24. 57.	89.
0033_L11	10	89	H	57. 77.	31.Z
0033_L11	11	31.Z	M	77. 89.
0033_L15	1	21	H		73.
0033_L15	2	73	H	21.	D.24.
0033_L15	3	D.24	M	21. 73.	35.
0033_L15	4	35	H	73. D.24.	156.
0033_L15	5	156	M	D.24. 35.	17./27. Mart. 1637 [date, excluded]
