line	pos	sign
hstam_4_h_1411_0023_L17	9	71
hstam_4_h_1411_0023_L17	10	84
hstam_4_h_1411_0023_L17	11	4z
hstam_4_h_1411_0023_L17	12	61
hstam_4_h_1411_0023_L17	13	zz
hstam_4_h_1411_0023_L17	14	60
hstam_4_h_1411_0023_L17	15	83
hstam_4_h_1411_0023_L17	16	58
hstam_4_h_1411_0023_L17	17	97
hstam_4_h_1411_0023_L17	18	z7
hstam_4_h_1411_0023_L17	19	66
hstam_4_h_1411_0023_L17	20	z6
hstam_4_h_1411_0023_L17	21	z4
hstam_4_h_1411_0023_L17	22	79
hstam_4_h_1411_0023_L17	23	97
hstam_4_h_1411_0023_L17	24	43
hstam_4_h_1411_0023_L17	25	z6
hstam_4_h_1411_0023_L17	26	15
hstam_4_h_1411_0023_L17	27	60
hstam_4_h_1411_0023_L17	28	z4
hstam_4_h_1411_0023_L17	29	83
hstam_4_h_1411_0023_L17	30	43
hstam_4_h_1411_0023_L17	31	48
hstam_4_h_1411_0023_L17	32	47
hstam_4_h_1411_0023_L17	33	89
hstam_4_h_1411_0023_L17	34	97
hstam_4_h_1411_0023_L17	35	z7
hstam_4_h_1411_0023_L17	36	36
hstam_4_h_1411_0023_L17	37	z9
hstam_4_h_1411_0023_L17	38	7z
hstam_4_h_1411_0023_L17	39	84
hstam_4_h_1411_0023_L17	40	50
hstam_4_h_1411_0023_L18	1	61
hstam_4_h_1411_0023_L18	2	15
hstam_4_h_1411_0023_L18	3	13
hstam_4_h_1411_0023_L18	4	7z
hstam_4_h_1411_0023_L18	5	55
hstam_4_h_1411_0023_L18	6	91
hstam_4_h_1411_0023_L18	7	z6
hstam_4_h_1411_0023_L18	8	65
hstam_4_h_1411_0023_L18	9	6z
hstam_4_h_1411_0023_L18	10	31
hstam_4_h_1411_0023_L18	11	43
hstam_4_h_1411_0023_L18	12	61
hstam_4_h_1411_0023_L18	13	8z
hstam_4_h_1411_0023_L18	14	61
hstam_4_h_1411_0023_L18	15	98
hstam_4_h_1411_0023_L18	16	Y
hstam_4_h_1411_0023_L18	17	99
hstam_4_h_1411_0023_L18	18	77
hstam_4_h_1411_0023_L18	19	G
hstam_4_h_1411_0023_L18	20	zz
hstam_4_h_1411_0023_L18	21	49
hstam_4_h_1411_0023_L18	22	8z
hstam_4_h_1411_0023_L18	23	55
hstam_4_h_1411_0023_L18	24	44
hstam_4_h_1411_0023_L18	25	71
hstam_4_h_1411_0023_L18	26	Y
hstam_4_h_1411_0023_L18	27	30
hstam_4_h_1411_0023_L18	28	11
hstam_4_h_1411_0023_L18	29	z3
hstam_4_h_1411_0023_L18	30	60
hstam_4_h_1411_0023_L18	31	F
hstam_4_h_1411_0023_L18	32	z9
hstam_4_h_1411_0023_L18	33	z6
hstam_4_h_1411_0023_L18	34	15
