line	pos	sign
hstam_4_h_1411_0016_L19	8	61
hstam_4_h_1411_0016_L19	9	z
hstam_4_h_1411_0016_L19	10	6
hstam_4_h_1411_0016_L19	11	18
hstam_4_h_1411_0016_L19	12	35
hstam_4_h_1411_0016_L19	13	25
hstam_4_h_1411_0016_L19	14	z
hstam_4_h_1411_0016_L19	15	7
hstam_4_h_1411_0016_L19	16	48
hstam_4_h_1411_0016_L19	17	44
hstam_4_h_1411_0016_L19	18	18
hstam_4_h_1411_0016_L19	19	11
hstam_4_h_1411_0016_L19	20	16
hstam_4_h_1411_0016_L19	21	z
hstam_4_h_1411_0016_L19	22	7
hstam_4_h_1411_0016_L19	23	55
hstam_4_h_1411_0016_L19	24	77
hstam_4_h_1411_0016_L19	25	67
hstam_4_h_1411_0016_L19	26	84
hstam_4_h_1411_0016_L19	27	97
hstam_4_h_1411_0016_L19	28	z
hstam_4_h_1411_0016_L19	29	8
hstam_4_h_1411_0016_L19	30	56
hstam_4_h_1411_0016_L19	31	ILLEGIBLE
hstam_4_h_1411_0016_L19	32	10
hstam_4_h_1411_0016_L19	33	30
hstam_4_h_1411_0016_L19	34	W
hstam_4_h_1411_0016_L20	1	55
hstam_4_h_1411_0016_L20	2	32
hstam_4_h_1411_0016_L20	3	79
hstam_4_h_1411_0016_L20	4	58
hstam_4_h_1411_0016_L20	5	65
hstam_4_h_1411_0016_L20	6	X
hstam_4_h_1411_0016_L20	7	35
hstam_4_h_1411_0016_L20	8	z
hstam_4_h_1411_0016_L20	9	4
hstam_4_h_1411_0016_L20	10	93
hstam_4_h_1411_0016_L20	11	z
hstam_4_h_1411_0016_L20	12	5
hstam_4_h_1411_0016_L20	13	z
hstam_4_h_1411_0016_L20	14	7
hstam_4_h_1411_0016_L20	15	30
hstam_4_h_1411_0016_L20	16	6
hstam_4_h_1411_0016_L20	17	X
hstam_4_h_1411_0016_L20	18	X
hstam_4_h_1411_0016_L20	19	67
hstam_4_h_1411_0016_L20	20	36
hstam_4_h_1411_0016_L20	21	z
hstam_4_h_1411_0016_L20	22	9
hstam_4_h_1411_0016_L20	23	S
hstam_4_h_1411_0016_L20	24	50
hstam_4_h_1411_0016_L20	25	67
hstam_4_h_1411_0016_L20	26	84
hstam_4_h_1411_0016_L20	27	63
hstam_4_h_1411_0016_L20	28	ILLEGIBLE
hstam_4_h_1411_0016_L20	29	44
hstam_4_h_1411_0016_L20	30	66
hstam_4_h_1411_0016_L20	31	90
hstam_4_h_1411_0016_L20	32	4
hstam_4_h_1411_0016_L20	33	16
hstam_4_h_1411_0016_L20	34	44
hstam_4_h_1411_0016_L21	1	40
hstam_4_h_1411_0016_L21	2	84
hstam_4_h_1411_0016_L21	3	38
hstam_4_h_1411_0016_L21	4	z
hstam_4_h_1411_0016_L21	5	6
hstam_4_h_1411_0016_L21	6	56
hstam_4_h_1411_0016_L21	7	76
