line	pos	sign	conf	left	right
p2L22	1	15		Quant aux
p2L22	2	16
p2L22	3	22
p2L22	4	23
p2L22	5	1
p2L22	6	10
p2L22	7	3
p2L22	8	14
p2L22	9	5
p2L22	10	10~	M
p2L22	11	11
p2L22	12	11^
p2L22	13	13
p2L22	14	14
p2L22	15	3
p2L22	16	15
p2L22	17	17
p2L22	18	12
p2L22	19	15
p2L22	20	6
p2L22	21	19
p2L22	22	14			Je ny ay
p2L24	1	10		et
p2L24	2	16^
p2L24	3	14
p2L24	4	7
p2L24	5	17
p2L24	6	22
p2L24	7	10
p2L24	8	2~	M
p2L24	9	1
p2L24	10	12
p2L24	11	19^
p2L24	12	24^
p2L24	13	14
p2L24	14	20
p2L24	15	2^
p2L24	16	6
p2L24	17	17
p2L24	18	20^
p2L24	19	11^
p2L24	20	8
p2L24	21	11
p2L24	22	6
p2L24	23	1
p2L24	24	2
p2L24	25	20
p2L25	1	9^
p2L25	2	9
p2L25	3	14^
p2L25	4	3
p2L25	5	20
p2L25	6	14
p2L25	7	5
p2L25	8	15
p2L25	9	10			Et quoy
p2L26	1	24		quelle
p2L26	2	1
p2L26	3	2
p2L26	4	11
p2L26	5	21
p2L26	6	10
p2L26	7	3
p2L26	8	4
p2L27	1	29^
p2L27	2	12
p2L27	3	24
p2L27	4	21
p2L27	5	6
p2L27	6	10
p2L27	7	20
p2L27	8	16
p2L27	9	4
p2L27	10	7^
p2L27	11	11
p2L27	12	17
p2L27	13	10
p2L27	14	16
p2L27	15	[mark]	M
p2L27	16	12	M
p2L27	17	15
p2L27	18	7^
p2L27	19	10
p2L27	20	23^
p2L27	21	16
p2L27	22	3
p2L27	23	11^
p2L27	24	19
p2L27	25	3
p2L27	26	5
p2L27	27	1
p2L27	28	16^
p2L27	29	1
p2L28	1	16
p2L28	2	10^
p2L28	3	7
p2L28	4	23^
p2L28	5	17
p2L28	6	24
p2L28	7	29^
p2L28	8	12^
p2L28	9	16
p2L28	10	10^
p2L28	11	8
p2L28	12	12
p2L28	13	10	M
p2L28	14	8	M
p2L28	15	16
p2L28	16	4
p2L28	17	6
p2L28	18	22
p2L28	19	24
p2L28	20	4			Il ne cesse
p3L6	1	8		de
p3L6	2	16
p3L6	3	9
p3L6	4	21
p3L6	5	5
p3L6	6	10^
p3L6	7	18^
p3L6	8	9
p3L6	9	16
p3L6	10	19
p3L6	11	1
p3L6	12	13
p3L6	13	8
p3L6	14	10
p3L6	15	[mark]	M
p3L6	16	12
p3L6	17	12
p3L6	18	9
p3L6	19	20
p3L6	20	21
p3L7	1	8
p3L7	2	2
p3L7	3	[mark]	M
p3L7	4	15
p3L7	5	6	M
p3L7	6	18
p3L7	7	12
p3L7	8	5
p3L7	9	9
p3L7	10	12
p3L7	11	[mark]	M
p3L7	12	18
p3L7	13	14
p3L7	14	24
p3L7	15	17
p3L7	16	21
p3L7	17	18
p3L7	18	12
p3L7	19	[mark]	M		de vre Segre
p3L8	1	1		Luy escripre
p3L8	2	16
p3L8	3	7
p3L8	4	17
p3L8	5	2^
p3L8	6	6
p3L8	7	10
p3L8	8	[mark]	M
p3L8	9	10
p3L8	10	3
p3L8	11	9
p3L8	12	21
p3L8	13	23^
p3L8	14	5
p3L8	15	3
p3L8	16	[mark]	M
p3L8	17	2
p3L8	18	13
p3L8	19	23^
p3L8	20	5
p3L8	21	1
p3L8	22	10
p3L8	23	8^	M
p3L8	24	[mark]	M
p3L8	25	24^
p3L9	1	20^	M
p3L9	2	8
p3L9	3	9
p3L9	4	9^	M	ou Il y eust
p3L9	5	13		chose
p3L9	6	7
p3L9	7	22
p3L9	8	3
p3L9	9	8
p3L9	10	4
p3L9	11	14
p3L9	12	[mark]	M
p3L9	13	11
p3L9	14	19
p3L9	15	7
p3L9	16	15			Car les aultres
