line	position	sign	confidence	alt	why
hstam_4_h_1411_0003_L24_s1	1	79	H		agree
hstam_4_h_1411_0003_L24_s1	2	74	H		agree
hstam_4_h_1411_0003_L24_s1	3	36	H		agree
hstam_4_h_1411_0003_L24_s1	4	7	H		agree
hstam_4_h_1411_0003_L24_s1	5	22	H		agree
hstam_4_h_1411_0003_L24_s1	6	73	H		agree
hstam_4_h_1411_0003_L24_s1	7	N	H		agree
hstam_4_h_1411_0003_L24_s1	8	52	H		agree
hstam_4_h_1411_0003_L24_s1	9	Y	H		agree
hstam_4_h_1411_0003_L24_s1	10	94	H		agree
hstam_4_h_1411_0003_L24_s1	11	27	H		agree
hstam_4_h_1411_0003_L24_s1	12	39	H		agree
hstam_4_h_1411_0003_L24_s1	13	13	H		agree
hstam_4_h_1411_0003_L24_s1	14	57	H		agree
hstam_4_h_1411_0003_L24_s1	15	55	H		agree
hstam_4_h_1411_0003_L24_s1	16	83	H		agree
hstam_4_h_1411_0003_L24_s1	17	77	H		agree
hstam_4_h_1411_0003_L25_s1	1	95	H		agree
hstam_4_h_1411_0003_L25_s1	2	D	H		agree
hstam_4_h_1411_0003_L25_s1	3	10	H		agree
hstam_4_h_1411_0003_L25_s1	4	G	M	B:Y	differ
hstam_4_h_1411_0003_L25_s1	5	42	H		agree
hstam_4_h_1411_0003_L25_s1	6	92	H		agree
hstam_4_h_1411_0003_L25_s1	7	35	H		agree
hstam_4_h_1411_0003_L25_s1	8	44	H		agree
hstam_4_h_1411_0003_L25_s1	9	11	H		agree
hstam_4_h_1411_0003_L25_s1	10	43	H		agree
hstam_4_h_1411_0003_L25_s1	11	58	H		agree
hstam_4_h_1411_0003_L25_s1	12	93	H		agree
hstam_4_h_1411_0003_L25_s1	13	63	H		agree
hstam_4_h_1411_0003_L25_s1	14	88	H		agree
hstam_4_h_1411_0003_L25_s1	15	63	H		agree
hstam_4_h_1411_0003_L25_s1	16	43	H		agree
hstam_4_h_1411_0003_L25_s1	17	79	M	B:49	differ
hstam_4_h_1411_0003_L25_s1	18	65	H		agree
hstam_4_h_1411_0003_L25_s1	19	63	H		agree
hstam_4_h_1411_0003_L26_s1	1	55	H		agree
hstam_4_h_1411_0003_L26_s1	2	83	H		agree
hstam_4_h_1411_0003_L26_s1	3	29	H		agree
hstam_4_h_1411_0003_L26_s1	4	84	H		agree
hstam_4_h_1411_0003_L26_s1	5	91	H		agree
hstam_4_h_1411_0003_L26_s1	6	61	H		agree
hstam_4_h_1411_0003_L26_s1	7	18	H		agree
hstam_4_h_1411_0003_L26_s1	8	48	H		agree
hstam_4_h_1411_0003_L26_s1	9	29	M	B:27	differ
hstam_4_h_1411_0003_L26_s1	10	16	H		agree
hstam_4_h_1411_0003_L26_s1	11	22	H		agree
hstam_4_h_1411_0003_L26_s1	12	27	H		agree
hstam_4_h_1411_0003_L26_s1	13	84	H		agree
hstam_4_h_1411_0003_L26_s1	14	97	H		agree
hstam_4_h_1411_0003_L26_s1	15	50	H		agree
hstam_4_h_1411_0003_L26_s1	16	97	H		agree
hstam_4_h_1411_0003_L26_s1	17	95	H		agree
hstam_4_h_1411_0003_L26_s1	18	27	H		agree
hstam_4_h_1411_0003_L26_s1	19	79	H		agree
hstam_4_h_1411_0003_L26_s1	20	44	M	B:11	differ
hstam_4_h_1411_0003_L26_s1	21	38	M	B:58	differ
hstam_4_h_1411_0003_L26_s1	22	41	M	B:21	differ
hstam_4_h_1411_0003_L26_s1	23	30	H		agree
hstam_4_h_1411_0003_L26_s1	24	70	H		agree
hstam_4_h_1411_0003_L26_s1	25	19	H		agree
hstam_4_h_1411_0003_L26_s1	26	60	H		agree
hstam_4_h_1411_0003_L26_s1	27	87	H		agree
