page	line	idx	word	sign	unit
p2	1	1	1	3	e
p2	1	2	1	Sb	s
p2	1	3	2	8	w
p2	1	4	2	Z	i
p2	1	5	2	Or	r
p2	1	6	2	9	d~
p2	1	7	2	9	t
p2	1	8	3	Pb	b
p2	1	9	3	3	e
p2	1	10	3	X	y
p2	1	11	4	HX	uns~
p2	1	12	5	Pf	f
p2	1	13	5	5	u
p2	1	14	5	Or	r
p2	1	15	6	Qg	g
p2	1	16	6	3	e
p2	1	17	6	8	w
p2	1	18	6	Z	i
p2	1	19	6	Sb	s
p2	1	20	6	Sb	s
p2	1	21	7	Qg	g
p2	1	22	7	3	e
p2	1	23	7	Sb	s
p2	1	24	7	0	a
p2	1	25	7	Qg	g
p2	1	26	7	9	t
p2	1	27	8	EL8	das~
p2	1	28	9	8	w
p2	1	29	9	Z	i
p2	1	30	9	L	l
p2	1	31	9	1	h
p2	1	32	9	0	a
p2	1	33	9	L	l
p2	1	34	9	Lf	m
p2	2	1	1	5	v
p2	2	2	1	4	o
p2	2	3	1	N	n
p2	2	4	2	Qg	g
p2	2	5	2	Or	r
p2	2	6	2	5	u
p2	2	7	2	L	m~
p2	2	8	2	Pb	b
p2	2	9	2	0	a
p2	2	10	2	D	c
p2	2	11	2	1	h
p2	2	12	3	5	u
p2	2	13	3	Pf	f
p2	2	14	3	Pf	f
p2	2	15	4	Yz	z
p2	2	16	4	8	w
p2	2	17	4	4	o
p2	2	18	4	L	l
p2	2	19	4	Pf	f
p2	2	20	4	Pf	f
p2	2	21	5	BAR	hundert_pferde~
p2	2	22	6	Mf	und~
p2	2	23	7	Ma	st
p2	2	24	7	0	a
p2	2	25	7	5	u
p2	2	26	7	Dp	p
p2	2	27	7	Z	i
p2	2	28	7	9	t
p2	2	29	7	Yz	z
p2	3	1	1	5	u
p2	3	2	1	Pf	f
p2	3	3	1	Pf	f
p2	3	4	2	Td	d
p2	3	5	2	Or	r
p2	3	6	2	3	e
p2	3	7	2	Z	i
p2	3	8	2	Sb	s
p2	3	9	2	Sb	s
p2	3	10	2	Z	i
p2	3	11	2	Qg	g
p2	3	12	3	Dl	fendlein~
p2	3	13	3	Sb	landtsknecht~
p2	3	14	4	5	v
p2	3	15	4	4	o
p2	3	16	4	Lf	m
p2	3	17	5	0	König~
p2	3	18	5	Sb	zu_Frankreich~
p2	3	19	6	Pb	b
p2	3	20	6	3	e
p2	3	21	6	Ma	st
p2	3	22	6	0	a
p2	3	23	6	L	l
p2	3	24	6	L	l
p2	3	25	6	5	u
p2	3	26	6	N	n
p2	3	27	6	Qg	g
p2	3	28	7	1	h
p2	3	29	7	0	a
p2	3	30	7	Pb	b
p2	3	31	7	3	e
p2	3	32	7	N	n
p2	4	1	1	Sb	s
p2	4	2	1	4	o
p2	4	3	1	L	l
p2	4	4	1	L	l
p2	4	5	2	NW	wir~
p2	4	6	3	Pb	b
p2	4	7	3	Z	i
p2	4	8	3	9	t
p2	4	9	3	1	t~
p2	4	10	3	3	e
p2	4	11	3	N	n
p2	4	12	4	0	a
p2	4	13	4	Pb	b
p2	4	14	4	3	e
p2	4	15	4	Or	r
p2	4	16	5	R	E.L.~
p2	4	17	6	R	?~
p2	4	18	6	8	w
p2	4	19	6	4	o
p2	4	20	6	Lf	l
p2	4	21	6	Lf	l~
p2	4	22	6	3	e
p2	4	23	6	N	n
p2	4	24	7	Lf	m
p2	4	25	7	3	e
p2	4	26	7	Z	i
p2	4	27	7	N	n
p2	4	28	7	3	e
p2	4	29	7	Or	r
p2	5	1	1	5	u
p2	5	2	1	N	n
p2	5	3	1	5	v
p2	5	4	1	3	e
p2	5	5	1	Or	r
p2	5	6	1	Lf	m
p2	5	7	1	3	e
p2	5	8	1	L	l
p2	5	9	1	Td	d
p2	5	10	1	9	t
p2	5	11	2	N	n
p2	5	12	2	0	a
p2	5	13	2	D	c
p2	5	14	2	1	h
p2	5	15	2	Qf	f~
p2	5	16	2	Or	r
p2	5	17	2	0	a
p2	5	18	2	Qg	g
p2	5	19	2	3	e
p2	5	20	2	N	n
p2	5	21	3	Sb	?~
p2	5	22	4	1	h
p2	5	23	4	0	a
p2	5	24	4	Pb	b
p2	5	25	4	3	e
p2	5	26	4	N	n
p2	5	27	5	M	und
p2	5	28	6	Lf	m
p2	5	29	6	Z	i
p2	5	30	6	D	c
p2	5	31	6	1	h
p2	6	1	1	Z	i
p2	6	2	1	Or	r
p2	6	3	1	3	e
p2	6	4	1	Or	r
p2	6	5	2	3	e
p2	6	6	2	Or	r
p2	6	7	2	V	k
p2	6	8	2	5	u
p2	6	9	2	N	n
p2	6	10	2	Td	d
p2	6	11	2	Z	i
p2	6	12	2	Qg	g
p2	6	13	2	5	u
p2	6	14	2	N	n
p2	6	15	2	Qg	g
p2	6	16	3	Qg	?~
p2	6	17	3	3	?~
p2	6	18	4	Sg	b~
p2	6	19	4	3	e
p2	6	20	4	0	a
p2	6	21	4	N	n
p2	6	22	4	Td	t~
p2	6	23	4	9	?~
p2	6	24	4	9	?~
p2	6	25	4	8	w
p2	6	26	4	4	o
p2	6	27	4	Or	r
p2	6	28	4	3	e
p2	6	29	4	N	n~
