page	line	idx	sign
p3	1	1	Z
p3	1	2	G6
p3	1	3	1
p3	1	4	Z
p3	1	5	V
p3	1	6	1
p3	1	7	Xy
p3	1	8	G1
p3	1	9	5
p3	1	10	3
p3	1	11	X
p3	1	12	G4
p3	1	13	1
p3	1	14	7
p3	1	15	G1
p3	1	16	T
p3	1	17	F
p3	1	18	3
p3	1	19	7
p3	1	20	G6
p3	1	21	1
p3	1	22	V
p3	1	23	XX
p3	1	24	1
p3	1	25	6
p3	1	26	4
p3	1	27	5
p3	1	28	1
p3	1	29	X
p3	1	30	7
p3	1	31	T
p3	1	32	1
p3	1	33	V
p3	1	34	VmV
p3	1	35	Z
p3	1	36	1
p3	1	37	G3
p3	2	1	9
p3	2	2	V
p3	2	3	3
p3	2	4	7
p3	2	5	G1
p3	2	6	Zb
p3	2	7	G2
p3	2	8	T
p3	2	9	1
p3	2	10	7
p3	2	11	ZZ
p3	2	12	5
p3	2	13	X
p3	2	14	6
p3	2	15	9
p3	2	16	9
p3	2	17	TL
p3	2	18	G6
p3	2	19	4
p3	2	20	Xk
p3	2	21	G1
p3	2	22	G1
p3	2	23	6
p3	2	24	G6
p3	2	25	1
p3	2	26	0
p3	2	27	1
p3	2	28	7
p3	2	29	X
p3	2	30	9
p3	2	31	9
p3	2	32	Z
p3	2	33	1
p3	2	34	V
p3	2	35	T
p3	2	36	F
p3	2	37	3
p3	2	38	7
p3	2	39	G6
p3	2	40	TL
p3	2	41	1
p3	2	42	7
p3	3	1	0
p3	3	2	V
p3	3	3	1
p3	3	4	7
p3	3	5	G6
p3	3	6	G1
p3	3	7	Zb
p3	3	8	1
p3	3	9	7
p3	3	10	X
p3	3	11	7
p3	3	12	Z
p3	3	13	G1
p3	3	14	T
p3	3	15	1
p3	3	16	G6
p3	3	17	7
p3	3	18	G1
p3	3	19	9
p3	3	20	1
p3	3	21	V
p3	3	22	G1
p3	3	23	G6
p3	3	24	0
p3	3	25	G6
p3	3	26	7
p3	3	27	Wm
p3	3	28	ZZ
p3	3	29	Zb
p3	3	30	G6
p3	3	31	1
p3	3	32	5
p3	3	33	1
p3	3	34	7
p3	3	35	T
p3	3	36	G2
p3	3	37	T
p3	3	38	1
p3	3	39	G6
p3	3	40	7
p3	3	41	G1
p3	4	1	3
p3	4	2	X
p3	4	3	4
p3	4	4	5
p3	4	5	Z
p3	4	6	G6
p3	4	7	1
p3	4	8	Z
p3	4	9	V
p3	4	10	1
p3	4	11	G6
p3	4	12	G1
p3	4	13	5
p3	4	14	3
p3	4	15	X
p3	4	16	G4
