line	pos	sign	value	grade
53_L01	1	5	n	S
53_L01	2	1	e	S
53_L01	3	X	i	S
53_L01	4	7	u	S
53_L01	5	7	u	S
53_L01	6	1	e	S
53_L01	7	V	r	M
53_L01	9	Z	z	M
53_L01	10	1	e	S
53_L01	11	X	i	S
53_L01	12	Xk	t	M
53_L01	13	Xk	t	M
53_L01	14	7	u	S
53_L01	15	5	n	S
53_L01	16	0	g	S
53_L01	18	G3	h	M
53_L01	19	3	a	S
53_L01	20	8	b	S
53_L01	22	X	i	S
53_L01	23	4	c	S
53_L01	24	G3	h	M
53_L01	26	X	i	S
53_L01	27	Xk	t	M
53_L01	28	4	c	M
53_L02	1	F	m	M
53_L02	2	3	a	S
53_L02	3	SG	l	M
53_L02	4	G1	s	M
53_L02	5	5	n	S
53_L02	7	X	i	S
53_L02	8	4	c	S
53_L02	9	G3	h	M
53_L02	10	Xk	t	M
53_L02	12	Z	z	M
53_L02	13	7	u	S
53_L02	14	8	b	S
53_L02	15	1	e	S
53_L02	16	V	r	M
53_L02	17	Z	z	M
53_L02	18	7	u	S
53_L02	19	G1	s	M
53_L02	20	4	c	S
53_L02	21	G3	h	M
53_L02	22	V	r	M
53_L02	23	1	e	S
53_L02	24	X	i	S
53_L02	25	8	b	S
53_L02	26	1	e	S
53_L02	27	5	n	S
53_L03	1	2	d	S
53_L03	2	3	a	S
53_L03	3	5	n	S
53_L03	5	2	d	S
53_L03	6	3	a	S
53_L03	7	G7	s	M
53_L03	9	2	d	S
53_L03	10	1	e	S
53_L03	11	F	m	M
53_L03	12	G4	p	M
53_L03	13	V	r	M
53_L03	14	X	i	S
53_L03	15	5	n	S
53_L03	16	Xk	t	M
53_L03	17	Z	z	M
53_L03	18	1	e	S
53_L03	19	5	n	M
53_L03	20	Z	z	M
53_L03	21	7	u	S
53_L03	22	G3	h	M
53_L03	23	X	i	S
53_L03	24	G7	s	M
53_L03	25	G4	p	M
53_L03	26	3	a	S
53_L03	27	5	n	S
53_L03	28	X	i	S
53_L03	29	1	e	S
53_L03	30	5	n	S
53_L04	1	G7	s	M
53_L04	2	1	e	S
53_L04	3	X	i	S
53_L04	4	5	n	S
53_L04	5	1	e	S
53_L04	6	G1	s	M
53_L04	7	G3	h	M
53_L04	8	1	e	S
53_L04	9	V	r	M
53_L04	10	5	n	S
53_L04	11	7	u	S
53_L04	12	3	a	S
53_L04	13	Xk	t	M
53_L04	14	Xk	t	M
53_L04	15	1	e	S
53_L04	16	V	r	M
53_L04	17	G7	s	M
53_L04	18	G7	s	M
53_L04	19	4	c	S
53_L04	20	G3	h	M
53_L04	21	7	u	S
53_L04	22	7	u	S
53_L04	23	1	e	S
53_L04	24	G1	s	M
53_L04	25	Xk	t	M
53_L04	26	1	e	S
53_L04	27	V	r	M
53_L05	1	1	e	S
53_L05	2	G3	h	M
53_L05	3	SG	l	M
53_L05	4	X	i	S
53_L05	5	4	c	S
53_L05	6	G3	h	M
53_L05	7	7	u	S
53_L05	8	1	e	S
53_L05	9	V	r	M
53_L05	10	F	m	M
53_L05	11	3	a	S
53_L05	12	G3	h	M
53_L05	13	SG	l	M
53_L05	14	1	e	S
53_L05	15	Xk	t	M
53_L05	17	7	u	S
53_L05	18	7	u	S
53_L05	19	1	e	S
53_L05	20	V	r	M
53_L05	21	2	d	S
53_L05	22	1	e	S
53_L05	23	5	n	S
53_L05	25	7	u	S
53_L05	26	5	n	M
53_L05	27	2	d	S
53_L05	29	G3	h	M
53_L05	30	X	i	S
53_L05	31	1	e	S
53_L05	32	V	r	M
53_L05	33	7	u	S
53_L05	34	8	b	S
53_L05	35	1	e	S
53_L05	36	V	r	M
53_L06	1	2	d	S
53_L06	2	X	i	S
53_L06	3	1	e	S
53_L06	4	G7	s	M
53_L06	5	G7	s	M
53_L06	6	1	e	S
53_L06	7	SG	l	M
53_L06	8	3	a	S
53_L06	9	5	n	S
53_L06	10	2	d	S
53_L06	11	1	e	S
53_L06	13	Z	z	M
53_L06	15	7	u	S
53_L06	16	7	u	S
53_L06	17	V	r	M
53_L06	18	1	e	S
53_L06	19	0	g	S
53_L06	20	X	i	S
53_L06	21	1	e	S
53_L06	22	V	r	M
53_L06	23	1	e	S
53_L06	24	5	n	S
53_L06	26	G6	k	M
53_L06	27	G3	h	M
53_L06	28	G2	o	M
53_L06	29	F	m	M
53_L06	30	1	e	S
53_L06	31	5	n	S
53_L06	32	G7	s	M
53_L06	33	G2	o	M
53_L06	34	SG	l	M
53_L06	35	SG	l	M
53_L06	36	1	e	S
53_L06	37	5	n	S
53_L07	1	7	u	S
53_L07	2	5	n	S
53_L07	3	2	d	S
53_L07	5	2	d	S
53_L07	6	3	a	S
53_L07	7	5	n	S
53_L07	8	1	e	S
53_L07	9	X	i	S
53_L07	10	5	n	S
53_L07	12	0	g	S
53_L07	13	1	e	S
53_L07	14	F	m	M
53_L07	15	1	e	S
53_L07	16	X	i	S
53_L07	17	5	n	S
53_L07	18	0	g	S
53_L07	19	1	e	S
53_L07	21	G1	s	M
53_L07	22	4	c	S
53_L07	23	G3	h	M
53_L07	24	V	r	M
53_L07	25	1	e	S
53_L07	26	Xk	t	M
53_L07	28	X	i	S
53_L07	29	G1	s	M
53_L07	30	Xk	t	M
53_L07	31	1	e	S
53_L07	32	G1	s	M
53_L08	1	7	u	S
53_L08	2	7	u	S
53_L08	3	G2	o	M
53_L08	4	SG	l	M
53_L08	5	SG	l	M
53_L08	6	1	e	M
53_L08	8	2	d	S
53_L08	9	1	e	S
53_L08	10	V	r	M
53_L08	12	G3	h	M
53_L08	13	1	e	S
53_L08	14	V	r	M
53_L08	15	Xk	t	M
53_L08	16	Z	z	M
53_L08	17	G2	o	M
53_L08	18	0	g	S
53_L08	19	7	u	S
53_L08	20	G2	o	M
53_L08	21	5	n	M
53_L08	23	7	u	S
53_L08	24	3	a	S
53_L08	25	5	n	M
53_L08	26	2	d	S
53_L08	27	G2	o	M
53_L08	28	G7	s	M
53_L08	29	F	m	S
53_L08	30	1	e	S
53_L08	31	5	n	M
53_L09	1	G1	s	M
53_L09	2	1	e	S
53_L09	3	X	i	S
53_L09	4	5	n	M
53_L09	5	G6	k	M
53_L09	6	G2	o	M
53_L09	7	5	n	M
53_L09	8	X	i	S
53_L09	9	0	g	S
53_L09	10	V	r	M
53_L09	11	1	e	S
53_L09	12	X	i	S
53_L09	13	4	c	S
53_L09	14	G3	h	M
53_L09	16	5	n	M
53_L09	17	3	a	S
53_L09	18	7	u	S
53_L09	19	3	a	S
53_L09	20	V	r	M
53_L09	21	V	r	M
53_L09	22	3	a	S
53_L09	23	F	m	M
53_L09	24	X	i	S
53_L09	25	Xk	t	M
53_L09	26	2	d	S
53_L09	27	1	e	S
53_L09	28	V	r	M
53_L10	1	0	g	S
53_L10	2	7	u	S
53_L10	3	Xk	t	M
53_L10	4	1	e	S
53_L10	5	G2	o	M
53_L10	6	2	d	S
53_L10	7	1	e	S
53_L10	8	V	r	M
53_L10	9	G6	k	M
53_L10	10	V	r	M
53_L10	11	X	i	S
53_L10	12	0	g	S
53_L10	13	7	u	S
53_L10	14	7	u	S
53_L10	15	X	i	S
53_L10	16	1	e	S
53_L10	17	2	d	S
53_L10	18	1	e	S
53_L10	19	V	r	M
53_L10	20	G3	h	S
53_L10	21	G2	o	M
53_L10	22	SG	l	M
53_L10	23	1	e	S
53_L10	24	5	n	M
53_L10	25	F	m	M
53_L10	26	V	r	M
53_L10	27	4	c	S
53_L10	28	G3	h	M
