line	pos	sign	value	grade
57_L01	1	3	a	C
57_L01	2	X	u	C
57_L01	3	9	f	C
57_L01	4	9	f	C
57_L01	6	9	f	C
57_L01	7	V	r	C
57_L01	8	1	e	C
57_L01	9	X	u	C
57_L01	10	7	n	C
57_L01	11	Z	d	C
57_L01	12	G1	t	M
57_L01	13	6	l	M
57_L01	14	G6	i	M
57_L01	15	4	c	C
57_L01	16	5	h	C
57_L01	17	5	h	C
57_L01	18	G2	o	M
57_L01	19	4	c	C
57_L01	20	5	h	C
57_L01	21	X	u	C
57_L01	22	1	e	C
57_L01	23	V	r	C
57_L01	24	G1	t	M
57_L01	25	V	r	C
57_L01	26	3	a	C
57_L01	27	XX	w	C
57_L01	28	1	e	C
57_L01	29	7	n	C
57_L01	30	XX	w	C
57_L01	31	G2	o	C
57_L01	32	6	l	M
57_L01	33	6	l	M
57_L01	34	1	e	C
57_L01	35	7	n	C
57_L01	36	OQ	wir	M
57_L01	37	EL	E.L.	C
57_L01	39	7	n	C
57_L01	40	G6	i	M
57_L01	41	G1	t	M
57_L01	42	G1	t	M
57_L02	1	8	b	C
57_L02	2	1	e	C
57_L02	3	V	r	C
57_L02	4	0	g	C
57_L02	5	1	e	C
57_L02	6	7	n	C
57_L02	7	Z	d	C
57_L02	8	3	a	C
57_L02	9	T	s	C
57_L02	10	Z	d	C
57_L02	11	1	e	C
57_L02	12	V	r	C
57_L02	13	THE	Keiser	M
57_L02	14	9	f	C
57_L02	15	X	u	C
57_L02	16	V	r	C
57_L02	17	XX	w	C
57_L02	18	1	e	C
57_L02	19	7	n	C
57_L02	20	G6	i	C
57_L02	21	0	g	C
57_L02	22	G1	t	C
57_L02	23	3	a	C
57_L02	24	0	g	C
57_L02	25	1	e	C
57_L02	26	7	n	C
57_L02	27	Z	d	C
57_L02	28	X	u	C
57_L02	29	V	r	C
57_L02	30	4	c	C
57_L02	31	S	h	C
57_L02	32	T	s	C
57_L02	33	1	e	C
57_L02	34	G6	i	M
57_L02	35	7	n	C
57_L02	36	1	e	C
57_L02	37	T	s	C
57_L02	38	G1	t	M
57_L02	39	3	a	C
57_L02	40	Z	d	C
57_L02	41	G1	t	M
57_L02	42	6	l	M
57_L02	43	G6	i	M
57_L02	44	4	c	C
57_L02	45	S	h	C
57_L02	46	1	e	C
