line	pos	sign	value	grade
57_L03	1	0	g	C
57_L03	2	1	e	C
57_L03	3	T	s	C
57_L03	4	3	a	C
57_L03	5	7	n	C
57_L03	6	7	n	C
57_L03	7	Z	d	C
57_L03	8	G1	t	M
57_L03	9	5	h	C
57_L03	10	1	e	C
57_L03	11	7	n	C
57_L03	12	7	n	C
57_L03	13	8	b	C
57_L03	14	1	e	C
57_L03	15	G6	i	M
57_L03	16	X	u	C
57_L03	17	7	n	C
57_L03	18	T	s	C
57_L03	19	T	s	C
57_L03	20	X	u	C
57_L03	21	4	c	C
57_L03	22	5	h	C
57_L03	23	1	e	C
57_L03	24	7	n	C
57_L03	25	6	l	C
57_L03	26	3	a	C
57_L03	27	G4	s	M
57_L03	28	1	e	C
57_L03	29	7	n	C
57_L03	30	T	s	C
57_L03	31	1	e	C
57_L03	32	G6	i	M
57_L03	33	7	n	C
57_L03	34	1	e	C
57_L03	35	7	n	C
57_L03	36	T	s	C
57_L03	37	G2	o	M
57_L03	38	5	h	C
57_L03	39	7	n	C
57_L03	40	VmV	König	C
57_L03	42	G3	m	C
57_L03	43	3	a	C
57_L03	44	G1h	x	M
57_L04	1	G6	i	C
57_L04	2	G3	m	C
57_L04	3	G6	i	C
57_L04	4	6	l	M
57_L04	5	G6	i	M
57_L04	6	3	a	C
57_L04	7	7	n	C
57_L04	8	X	u	C
57_L04	9	G3	m	C
57_L04	10	7	n	C
57_L04	11	G2	o	M
57_L04	12	4	c	C
57_L04	13	5	h	C
57_L04	14	8	b	C
57_L04	15	1	e	C
57_L04	16	G6	i	M
57_L04	17	T	s	C
57_L04	18	1	e	C
57_L04	19	G6	i	M
57_L04	20	7	n	C
57_L04	21	1	e	C
57_L04	22	G3	m	C
57_L04	23	Z	d	C
57_L04	24	1	e	C
57_L04	25	T	s	C
57_L04	26	THE	Keiser	M
57_L04	27	T	s	C
57_L04	29	6	l	M
57_L04	30	1	e	C
57_L04	31	8	b	C
57_L04	32	1	e	C
57_L04	33	7	n	C
57_L04	34	ZZ	zu	C
57_L04	35	1	e	C
57_L04	36	G6	i	M
57_L04	38	1	e	C
57_L04	39	G3	m	C
57_L04	40	V	r	C
57_L04	41	G2	o	M
57_L04	42	G3	m	C
57_L04	43	G6	i	M
57_L04	44	T	s	C
57_L04	45	4	c	C
57_L04	46	5	h	C
57_L04	47	1	e	C
57_L04	48	7	n	M
57_L05	1	VmV	König	C
57_L05	2	1	e	C
57_L05	4	ZZ	zu	C
57_L05	5	1	e	C
57_L05	6	V	r	C
57_L05	7	XX	w	C
57_L05	8	1	e	C
57_L05	9	6	l	M
57_L05	10	1	e	C
57_L05	11	7	n	C
57_L05	12	Xk	k	C
57_L05	13	G2	o	M
57_L05	14	7	n	C
57_L05	15	7	n	C
57_L05	16	1	e	C
57_L05	17	7	n	C
57_L05	18	1	e	C
57_L05	19	V	r	C
57_L05	20	3	a	C
57_L05	21	4	c	C
57_L05	22	5	h	C
57_L05	23	G1	t	M
57_L05	24	1	e	C
57_L05	25	7	n	C
57_L05	26	T	s	C
57_L05	27	G2	o	M
57_L05	28	6	l	M
57_L05	29	4	c	C
57_L05	30	5	h	C
57_L05	31	T	s	C
57_L05	32	XX	w	C
57_L05	33	1	e	C
57_L05	34	V	r	C
57_L05	35	Z	d	C
57_L05	36	1	e	C
57_L05	37	8	b	C
57_L05	38	1	e	C
57_L05	39	G6	i	M
57_L05	40	Z	d	C
57_L05	41	1	e	C
57_L05	42	7	n	C
57_L05	43	3	a	C
57_L05	44	7	n	C
57_L06	1	Z	d	C
57_L06	2	1	e	C
57_L06	3	V	r	C
57_L06	4	7	n	C
57_L06	5	BOX	Churfurs	M
57_L06	6	G1	t	M
57_L06	7	1	e	C
57_L06	8	7	n	C
57_L06	10	0	g	C
57_L06	11	6	l	M
57_L06	12	1	e	C
57_L06	13	G6	i	C
57_L06	14	4	c	C
57_L06	15	5	h	C
57_L06	16	1	e	C
57_L06	17	V	r	C
57_L06	18	0	g	C
57_L06	19	1	e	C
57_L06	20	T	s	C
57_L06	21	G1	t	M
57_L06	22	3	a	C
57_L06	23	6	l	C
57_L06	24	G1	t	M
57_L06	25	3	a	C
57_L06	26	X	u	C
57_L06	27	4	c	C
57_L06	28	5	h	C
57_L06	29	0	g	C
57_L06	30	1	e	C
57_L06	31	T	s	C
57_L06	32	X	u	C
57_L06	33	4	c	C
57_L06	34	5	h	C
57_L06	35	G1	t	M
57_L06	36	XX	w	C
57_L06	37	1	e	C
57_L06	38	V	r	C
57_L06	39	Z	d	C
57_L06	40	1	e	C
57_L06	41	7	n	C
57_L06	43	XX	w	C
57_L06	44	1	e	C
57_L06	45	6	l	M
57_L06	46	4	c	C
57_L06	47	5	h	C
57_L06	48	T	s	M
57_L07	1	EL	E.L.	C
57_L07	2	8	b	M
57_L07	3	1	e	C
57_L07	4	G6	i	C
57_L07	5	T	s	C
57_L07	6	G6	i	C
57_L07	7	4	c	C
57_L07	8	S	h	C
57_L07	9	G6	i	C
57_L07	10	7	n	C
57_L07	11	7	n	C
57_L07	12	0	g	M
57_L07	13	1	e	C
57_L07	14	5	h	C
57_L07	15	1	e	C
57_L07	16	G6	i	M
57_L07	17	G3	m	C
57_L07	18	XX	w	C
57_L07	19	1	e	C
57_L07	20	V	r	C
57_L07	21	Z	d	C
57_L07	22	1	e	C
57_L07	23	7	n	C
57_L07	24	ZZ	zu	C
57_L07	25	5	h	C
57_L07	26	3	a	C
57_L07	27	6	l	C
57_L07	28	G1	t	M
57_L07	29	1	e	C
57_L07	30	7	n	C
57_L07	31	XX	w	C
57_L07	32	G6	i	C
57_L07	33	G4	s	M
57_L07	34	1	e	C
57_L07	35	7	n	C
57_L07	36	7	n	C
