order	djvu_line	raw	cleaned	doubtful	clear_words_around
1	47931	13	13	no	THE [[13]] 409 413 40 913
2	47931	409	409	no	THE 13 [[409]] 413 40 913 Was
3	47931	413	413	no	THE 13 409 [[413]] 40 913 Was fo
4	47931	40	40	no	THE 13 409 413 [[40]] 913 Was fo long
5	47931	913	913	no	13 409 413 40 [[913]] Was fo long 403
6	47931	403	403	no	913 Was fo long [[403]] 401 19 26 417
7	47931	401	401	no	Was fo long 403 [[401]] 19 26 417 31
8	47931	19	19	no	fo long 403 401 [[19]] 26 417 31 44
9	47931	26	26	no	long 403 401 19 [[26]] 417 31 44 60
10	47931	417	417	no	403 401 19 26 [[417]] 31 44 60 405,
11	47931	31	31	no	401 19 26 417 [[31]] 44 60 405, that
12	47931	44	44	no	19 26 417 31 [[44]] 60 405, that Vol.
13	47931	60	60	no	26 417 31 44 [[60]] 405, that Vol. xxlv.
14	47931	405,	405	no	417 31 44 60 [[405,]] that Vol. xxlv.
15	47932	2°8.	208	no	arrived Rotterdam P- [[2°8.]]
16	47934	400	400	no	I [[400]] 44 417 16 420
17	47934	44	44	no	I 400 [[44]] 417 16 420 405
18	47934	417	417	no	I 400 44 [[417]] 16 420 405 40
19	47934	16	16	no	I 400 44 417 [[16]] 420 405 40 att
20	47934	420	420	no	400 44 417 16 [[420]] 405 40 att 417
21	47934	405	405	no	44 417 16 420 [[405]] 40 att 417 2
22	47934	40	40	no	417 16 420 405 [[40]] att 417 2 26
23	47934	417	417	no	420 405 40 att [[417]] 2 26 419 405
24	47934	2	2	no	405 40 att 417 [[2]] 26 419 405 44
25	47934	26	26	no	40 att 417 2 [[26]] 419 405 44 406
26	47934	419	419	no	att 417 2 26 [[419]] 405 44 406 400
27	47934	405	405	no	417 2 26 419 [[405]] 44 406 400 ^
28	47934	44	44	no	2 26 419 405 [[44]] 406 400 ^ 350
29	47934	406	406	no	26 419 405 44 [[406]] 400 ^ 350
30	47934	400	400	no	419 405 44 406 [[400]] ^ 350
31	47934	350	350	no	44 406 400 ^ [[350]]
32	47938	405	405	no	only trpon the [[405]] 60 10 408 26
33	47938	60	60	no	only trpon the 405 [[60]] 10 408 26 5
34	47938	10	10	no	trpon the 405 60 [[10]] 408 26 5 405
35	47938	408	408	no	the 405 60 10 [[408]] 26 5 405 19
36	47938	26	26	no	405 60 10 408 [[26]] 5 405 19 418
37	47938	5	5	no	60 10 408 26 [[5]] 405 19 418 405
38	47938	405	405	no	10 408 26 5 [[405]] 19 418 405 24
39	47938	19	19	no	408 26 5 405 [[19]] 418 405 24 419
40	47938	418	418	no	26 5 405 19 [[418]] 405 24 419 405
41	47938	405	405	no	5 405 19 418 [[405]] 24 419 405 412
42	47938	24	24	no	405 19 418 405 [[24]] 419 405 412 401
43	47938	419	419	no	19 418 405 24 [[419]] 405 412 401 405
44	47938	405	405	no	418 405 24 419 [[405]] 412 401 405
45	47938	412	412	no	405 24 419 405 [[412]] 401 405
46	47938	401	401	no	24 419 405 412 [[401]] 405
47	47938	405	405	no	419 405 412 401 [[405]]
48	47942	44	44	no	[[44]] 913 2 43 406
49	47942	913	913	no	44 [[913]] 2 43 406 48
50	47942	2	2	no	44 913 [[2]] 43 406 48 26
51	47942	43	43	no	44 913 2 [[43]] 406 48 26 60
52	47942	406	406	no	44 913 2 43 [[406]] 48 26 60 49.
53	47942	48	48	no	913 2 43 406 [[48]] 26 60 49. I
54	47942	26	26	no	2 43 406 48 [[26]] 60 49. I flayed
55	47942	60	60	no	43 406 48 26 [[60]] 49. I flayed not
56	47942	49.	49	no	406 48 26 60 [[49.]] I flayed not there
57	47946	419	419	no	[[419]] 50 405 708 2
58	47946	50	50	no	419 [[50]] 405 708 2 6
59	47946	405	405	no	419 50 [[405]] 708 2 6 13
60	47946	708	708	no	419 50 405 [[708]] 2 6 13 405
61	47946	2	2	no	419 50 405 708 [[2]] 6 13 405 413
62	47946	6	6	no	50 405 708 2 [[6]] 13 405 413 419
63	47946	13	13	no	405 708 2 6 [[13]] 405 413 419 60
64	47946	405	405	no	708 2 6 13 [[405]] 413 419 60 405
65	47946	413	413	no	2 6 13 405 [[413]] 419 60 405 914
66	47946	419	419	no	6 13 405 413 [[419]] 60 405 914 414
67	47946	60	60	no	13 405 413 419 [[60]] 405 914 414 19
68	47946	405	405	no	405 413 419 60 [[405]] 914 414 19 405
69	47946	914	914	no	413 419 60 405 [[914]] 414 19 405 548
70	47946	414	414	no	419 60 405 914 [[414]] 19 405 548 2
71	47946	19	19	no	60 405 914 414 [[19]] 405 548 2 404
72	47946	405	405	no	405 914 414 19 [[405]] 548 2 404 910
73	47946	548	548	no	914 414 19 405 [[548]] 2 404 910
74	47946	2	2	no	414 19 405 548 [[2]] 404 910
75	47946	404	404	no	19 405 548 2 [[404]] 910
76	47946	910	910	no	405 548 2 404 [[910]]
77	47949	26	26	no	[[26]] 50 5 500 fame
78	47949	50	50	no	26 [[50]] 5 500 fame 208
79	47949	5	5	no	26 50 [[5]] 500 fame 208 710
